ScientificName,BirdTreeName,Avibase.ID,gbif_dwnld_date,gbif_TaxonKey,maxrecords_in_gbif,maxrecords_PRESENT_only,comments_gbif,gbif_dwnld_type,cleaned_records
Setophaga petechia,Dendroica aestiva,AVIBASE-A6C0C4A9,9/30/2022,7341834,4353769,4353049,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7341834&occurrence_status=present,manual,1943374
Setophaga petechia,Dendroica petechia,AVIBASE-A6C0C4A9,9/30/2022,7341834,4353769,4353049,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7341834&occurrence_status=present,manual,1943374
Setophaga caerulescens,Dendroica caerulescens,AVIBASE-67B455A7,9/30/2022,7341828,802118,802074,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7341828&occurrence_status=present,manual,636996
Setophaga coronata coronata,Dendroica coronata,AVIBASE-524C7116,9/24/2022,7341806,8394,8392,NA,code,6320
Setophaga coronata audoboni,Dendroica coronata,NA,NA,NA,NA,NA,NA,NA,NA
Setophaga magnolia,Dendroica magnolia,AVIBASE-1E82CE1E,9/30/2022,6093209,1280105,1280023,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6093209&occurrence_status=present,manual,402853
Setophaga pensylvanica,Dendroica pensylvanica,AVIBASE-7AB1229B,9/30/2022,6092942,1238082,1238016,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6092942&occurrence_status=present,manual,561022
Setophaga striata,Dendroica striata,AVIBASE-544A5E6B,9/30/2022,6092935,724781,724686,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6092935&occurrence_status=present,manual,138411
Setophaga fusca,Dendroica fusca,AVIBASE-4168AF09,9/30/2022,6093199,746928,746873,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6093199&occurrence_status=present,manual,226563
Setophaga dominica,Dendroica dominica,AVIBASE-136451CF,9/30/2022,7341800,605052,605030,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7341800&occurrence_status=present,manual,284019
