ScientificName,BirdTreeName,Avibase.ID,gbif_dwnld_date,gbif_TaxonKey,maxrecords_in_gbif,maxrecords_PRESENT_only,comments_gbif,gbif_dwnld_type,cleaned_records
Aythya americana,Aythya americana,AVIBASE-3072CC16,9/26/2022,2498263,1082867,1082806,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2498263&occurrence_status=present,manual,406558
Branta canadensis,Branta canadensis,AVIBASE-B59E1863,9/26/2022,5232437,14722574,14713871,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5232437&occurrence_status=present,manual,5810572
Cygnus buccinator,Cygnus buccinator,AVIBASE-B86C504C,9/27/2022,2498345,598468,598451,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2498345&occurrence_status=present,manual,356444
Eudocimus albus,Eudocimus albus,AVIBASE-74EDE3CA,9/27/2022,5229205,1426994,1426470,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229205&occurrence_status=present,manual,589072
Ardea herodias,Ardea herodias,AVIBASE-93694BB5,9/25/2022,9630752,9144347,9143709,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9630752&occurrence_status=present,manual,4066692
Ardea alba,Casmerodius albus,AVIBASE-49D9148A,9/25/2022,9752617,7733878,7726754,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9752617&occurrence_status=present,manual,3410038
Bubulcus ibis,Bubulcus ibis,AVIBASE-6CCDAC53,9/26/2022,2480830,2936877,2931084,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480830&occurrence_status=present,manual,1267568
Butorides virescens,Butorides virescens,AVIBASE-9973F7CE,9/26/2022,9539567,2136010,2135336,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9539567&occurrence_status=present,manual,1125021
Antigone canadensis,Grus canadensis,AVIBASE-E196D6F9,9/25/2022,9036008,1481312,1481256,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9036008&occurrence_status=present,manual,653638
Porzana carolina,Porzana carolina,AVIBASE-2CC21529,9/30/2022,2474639,649123,649045,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2474639&occurrence_status=present,manual,219663
Fulica americana,Fulica americana,AVIBASE-4FB248BA,9/27/2022,2474393,4088057,4087992,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2474393&occurrence_status=present,manual,2344189
Phalaropus tricolor,Steganopus tricolor,AVIBASE-667C6969,9/29/2022,5229389,352326,351751,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229389&occurrence_status=present,manual,332386
Gallinago delicata,Gallinago gallinago,AVIBASE-F5C8516D,9/27/2022,2481817,1064029,1063974,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481817&occurrence_status=present,manual,231401
Limosa fedoa,Limosa fedoa,AVIBASE-249AE8DF,9/28/2022,2481684,501778,501244,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481684&occurrence_status=present,manual,152508
Tringa semipalmata,Catoptrophorus semipalmatus,AVIBASE-E7A14E91,10/1/2022,5789298,1351572,1351143,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5789298&occurrence_status=present,manual,521695
Bartramia longicauda,Bartramia longicauda,AVIBASE-BF1DA86E,9/26/2022,2481705,145801,145776,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481705&occurrence_status=present,manual,58654
Numenius americanus,Numenius americanus,AVIBASE-5284C27B,9/28/2022,2481794,385656,385636,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481794&occurrence_status=present,manual,288326
Charadrius vociferus,Charadrius vociferus,AVIBASE-BCF9A19A,9/27/2022,2480320,6392564,6391957,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480320&occurrence_status=present,manual,2565215
Colinus virginianus,Colinus virginianus,AVIBASE-91CCBC71,9/27/2022,9791464,355055,352418,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9791464&occurrence_status=present,manual,282278
Oreortyx pictus,Oreortyx pictus,AVIBASE-171E91FF,9/24/2022,2474320,62807,62793,NA,code,60315
Callipepla squamata,Callipepla squamata,AVIBASE-C46EEE59,9/24/2022,5228075,76710,76694,NA,code,74430
Callipepla californica,Callipepla californica,AVIBASE-F93AC929,9/26/2022,5228080,960895,958224,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5228080&occurrence_status=present,manual,372474
Callipepla gambelii,Callipepla gambelii,AVIBASE-C1ED9F86,9/26/2022,5228072,429883,429819,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5228072&occurrence_status=present,manual,417772
Phasianus colchicus,Phasianus colchicus,AVIBASE-2FA39DCD,9/29/2022,9752149,2092099,2081825,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9752149&occurrence_status=present,manual,978811
Patagioenas fasciata,Patagioenas fasciata,AVIBASE-3B008E78,9/28/2022,2495266,619513,619478,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2495266&occurrence_status=present,manual,412766
Columba livia,Columba livia,AVIBASE-BBA263C2,9/27/2022,2495414,9234579,9224777,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2495414&occurrence_status=present,manual,3955910
Zenaida macroura,Zenaida macroura,AVIBASE-00124D98,10/1/2022,2495347,17442293,17442428,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2495347&occurrence_status=present,manual,8109344
Zenaida asiatica,Zenaida asiatica,AVIBASE-BFBC73AF,10/1/2022,2495370,1967727,1967778,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2495370&occurrence_status=present,manual,950935
Columbina passerina,Columbina passerina,AVIBASE-F9AED548,9/27/2022,2495869,623941,623768,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2495869&occurrence_status=present,manual,389526
Cathartes aura,Cathartes aura,AVIBASE-36B3872D,9/26/2022,2481930,10992390,10988724,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481930&occurrence_status=present,manual,5255379
Coragyps atratus,Coragyps atratus,AVIBASE-4FF7DE80,9/27/2022,2481942,3822829,3822211,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481942&occurrence_status=present,manual,1824100
Circus hudsonius,Circus cyaneus,AVIBASE-A091D50A,9/27/2022,6101217,2635739,2635711,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6101217&occurrence_status=present,manual,984619
Buteo jamaicensis,Buteo jamaicensis,AVIBASE-536A5157,9/26/2022,2480542,8309720,8308292,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480542&occurrence_status=present,manual,4186342
Buteo lineatus,Buteo lineatus,AVIBASE-EA4D6C0B,9/26/2022,2480529,3039780,3039017,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480529&occurrence_status=present,manual,1465654
Buteo swainsoni,Buteo swainsoni,AVIBASE-DE473F42,9/26/2022,2480562,539525,539490,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480562&occurrence_status=present,manual,277856
Falco sparverius,Falco sparverius,AVIBASE-20C2214E,9/27/2022,9685907,3935093,3933695,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9685907&occurrence_status=present,manual,1719423
Geococcyx californianus,Geococcyx californianus,AVIBASE-DB5DABCF,9/27/2022,2496459,377756,377729,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2496459&occurrence_status=present,manual,63316
Coccyzus americanus,Coccyzus americanus,AVIBASE-0CF12F81,9/27/2022,2496287,919155,919015,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2496287&occurrence_status=present,manual,646036
Dryobates villosus,Picoides villosus,AVIBASE-9D06AF89,9/27/2022,10211179,4609712,4609710,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=10211179&occurrence_status=present,manual,2442537
Dryobates pubescens,Picoides pubescens,AVIBASE-1B2A6386,9/27/2022,9149595,12045871,12045758,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9149595&occurrence_status=present,manual,5300055
Dryobates nuttallii,Picoides nuttallii,AVIBASE-FA087E52,9/27/2022,9088491,755207,755196,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9088491&occurrence_status=present,manual,223725
Dryobates albolarvatus,Picoides albolarvatus,AVIBASE-6C74415D,9/24/2022,10876512,70451,70451,NA,code,70162
Sphyrapicus varius,Sphyrapicus varius,AVIBASE-9BE68BD3,9/30/2022,2478605,1749393,1749314,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478605&occurrence_status=present,manual,1007259
Dryocopus pileatus,Dryocopus pileatus,AVIBASE-00635FF9,9/27/2022,5228824,3365509,3365468,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5228824&occurrence_status=present,manual,1672254
Melanerpes erythrocephalus,Melanerpes erythrocephalus,AVIBASE-448D91B7,9/28/2022,2478130,990871,990828,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478130&occurrence_status=present,manual,511485
Melanerpes formicivorus,Melanerpes formicivorus,AVIBASE-7E327303,9/28/2022,2478133,1102070,1101998,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478133&occurrence_status=present,manual,302995
Melanerpes carolinus,Melanerpes carolinus,AVIBASE-078557F2,9/28/2022,2478106,9518947,9518904,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478106&occurrence_status=present,manual,4314684
Melanerpes uropygialis,Melanerpes uropygialis,AVIBASE-377525FA,9/28/2022,2478112,518903,518876,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478112&occurrence_status=present,manual,484405
Colaptes auratus auratus,Colaptes auratus,NA,9/27/2022,2478259,9409776,9409533,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478259&occurrence_status=present,manual,4769474
Colaptes auratus cafer,Colaptes auratus,NA,,,,,,,
Antrostomus carolinensis,Caprimulgus carolinensis,AVIBASE-8D3E8871,9/24/2022,6101173,98951,98935,NA,code,87598
Chordeiles minor,Chordeiles minor,AVIBASE-24E39ACD,9/27/2022,2497035,654472,654359,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2497035&occurrence_status=present,manual,324282
Chaetura pelagica,Chaetura pelagica,AVIBASE-C3AD1AFF,9/27/2022,4409023,2519356,2519334,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=4409023&occurrence_status=present,manual,1237889
Archilochus colubris,Archilochus colubris,AVIBASE-DEC3D8D0,9/25/2022,5228514,2910944,2910886,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5228514&occurrence_status=present,manual,1400744
Selasphorus platycercus,Selasphorus platycercus,AVIBASE-AFBD5A5F,9/30/2022,2476844,391453,391382,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2476844&occurrence_status=present,manual,156867
Tyrannus forficatus,Tyrannus forficatus,AVIBASE-6F65F82B,10/1/2022,5229687,509092,509106,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229687&occurrence_status=present,manual,174771
Tyrannus tyrannus,Tyrannus tyrannus,AVIBASE-082D833C,10/1/2022,5229688,2614192,2614166,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229688&occurrence_status=present,manual,1344848
Tyrannus verticalis,Tyrannus verticalis,AVIBASE-2281F1C7,10/1/2022,5229675,987388,987337,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229675&occurrence_status=present,manual,328992
Tyrannus vociferans,Tyrannus vociferans,AVIBASE-178B8955,10/1/2022,5229681,496990,497018,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229681&occurrence_status=present,manual,449636
Myiarchus crinitus,Myiarchus crinitus,AVIBASE-8D6D5F2B,9/28/2022,2483597,2282070,2282012,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483597&occurrence_status=present,manual,1059665
Myiarchus tyrannulus,Myiarchus tyrannulus,AVIBASE-FC9E06A0,9/28/2022,2483589,226254,226165,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483589&occurrence_status=present,manual,125196
Myiarchus cinerascens,Myiarchus cinerascens,AVIBASE-E0A04985,9/28/2022,2483600,494205,494107,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483600&occurrence_status=present,manual,331230
Sayornis phoebe,Sayornis phoebe,AVIBASE-62CA2AF8,9/30/2022,2483606,4634124,4634072,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483606&occurrence_status=present,manual,2538334
Sayornis saya,Sayornis saya,AVIBASE-28669A3D,9/30/2022,2483607,1154296,1154230,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483607&occurrence_status=present,manual,618958
Sayornis nigricans,Sayornis nigricans,AVIBASE-B182DED2,9/30/2022,2483612,2378202,2378146,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483612&occurrence_status=present,manual,333619
Contopus cooperi,Contopus cooperi,AVIBASE-951C150C,9/27/2022,5229743,373421,373380,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229743&occurrence_status=present,manual,258572
Contopus virens,Contopus virens,AVIBASE-9891BF73,9/27/2022,5229734,2292843,2292782,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229734&occurrence_status=present,manual,1173988
Contopus sordidulus,Contopus sordidulus,AVIBASE-F6CA75F0,9/27/2022,5229754,851860,851672,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229754&occurrence_status=present,manual,614885
Empidonax difficilis,Empidonax difficilis,AVIBASE-44A20283,9/27/2022,9568685,525760,525622,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9568685&occurrence_status=present,manual,240748
Empidonax virescens,Empidonax virescens,AVIBASE-2778A3F4,9/27/2022,2482802,496871,496827,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482802&occurrence_status=present,manual,232591
Empidonax traillii,Empidonax traillii,AVIBASE-5BC4E0EF,9/27/2022,2482786,661018,660954,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482786&occurrence_status=present,manual,406135
Empidonax alnorum,Empidonax alnorum,AVIBASE-33808812,9/27/2022,2482809,404454,404433,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482809&occurrence_status=present,manual,139698
Empidonax minimus,Empidonax minimus,AVIBASE-F5837054,9/27/2022,2482791,894520,894454,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482791&occurrence_status=present,manual,593781
Empidonax hammondii,Empidonax hammondii,AVIBASE-1EB2595E,9/27/2022,2482800,191790,191644,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482800&occurrence_status=present,manual,160006
Empidonax oberholseri,Empidonax oberholseri,AVIBASE-499FFF98,9/27/2022,2482803,188583,188455,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482803&occurrence_status=present,manual,106660
Eremophila alpestris,Eremophila alpestris,AVIBASE-FC0A1D95,9/27/2022,9415596,1405666,1402567,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9415596&occurrence_status=present,manual,550454
Pica hudsonia,Pica hudsonia,AVIBASE-640D71AA,9/29/2022,5229487,1693819,1693781,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229487&occurrence_status=present,manual,811467
Pica nuttalli,Pica nuttalli,AVIBASE-538A9CA7,9/24/2022,5229489,93523,93518,NA,code,92449
Cyanocitta cristata,Cyanocitta cristata,AVIBASE-1DA430B8,9/27/2022,2482593,14987744,14987662,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482593&occurrence_status=present,manual,6774521
Cyanocitta stelleri,Cyanocitta stelleri,AVIBASE-2225D685,9/27/2022,2482598,1792002,1791568,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482598&occurrence_status=present,manual,684624
Aphelocoma californica,Aphelocoma californica,AVIBASE-151C2B3F,9/25/2022,2482414,1905185,1905129,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482414&occurrence_status=present,manual,855477
Aphelocoma woodhouseii,Aphelocoma californica,AVIBASE-EC9E9745,9/25/2022,5844900,395881,395820,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5844900&occurrence_status=present,manual,252930
Perisoreus canadensis,Perisoreus canadensis,AVIBASE-69A6E32F,9/28/2022,2482436,301213,301053,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482436&occurrence_status=present,manual,269402
Corvus corax,Corvus corax,AVIBASE-B9B272F4,9/27/2022,2482492,7484161,7479509,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482492&occurrence_status=present,manual,3235814
Corvus cryptoleucus,Corvus cryptoleucus,AVIBASE-F3B84E07,9/27/2022,2482500,101127,101122,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482500&occurrence_status=present,manual,81644
Corvus brachyrhynchos,Corvus brachyrhynchos,AVIBASE-69544B59,9/27/2022,2482507,18286252,18285975,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482507&occurrence_status=present,manual,8212695
Corvus brachyrhynchos / ossifragus,Corvus ossifragus,NA,NA,NA,NA,NA,NA,NA,NA
Corvus ossifragus,Corvus ossifragus,AVIBASE-43E56D2C,9/27/2022,2482481,2073054,2073044,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482481&occurrence_status=present,manual,570586
Nucifraga columbiana,Nucifraga columbiana,AVIBASE-D1FC2D6B,9/28/2022,2482614,217355,217279,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482614&occurrence_status=present,manual,78384
Gymnorhinus cyanocephalus,Gymnorhinus cyanocephalus,AVIBASE-A6905B3C,9/24/2022,5229498,73549,73529,NA,code,71943
Sturnus vulgaris,Sturnus vulgaris,AVIBASE-94A44032,10/1/2022,9809229,17977036,17950946,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9809229&occurrence_status=present,manual,7804243
Dolichonyx oryzivorus,Dolichonyx oryzivorus,AVIBASE-F845062F,9/27/2022,2484417,620005,619921,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484417&occurrence_status=present,manual,340404
Molothrus ater,Molothrus ater,AVIBASE-1E1AB415,9/28/2022,2484391,5346302,5346073,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484391&occurrence_status=present,manual,2584310
Xanthocephalus xanthocephalus,Xanthocephalus xanthocephalus,AVIBASE-3E2D0C9B,10/1/2022,2484195,569351,569313,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484195&occurrence_status=present,manual,418359
Agelaius phoeniceus,Agelaius phoeniceus,AVIBASE-C86D078E,9/25/2022,9409198,13256991,13256690,https://www.gbif.org/occurrence/download/0023209-220831081235567,manual,1350521
Sturnella magna,Sturnella magna,AVIBASE-27410227,10/1/2022,2484254,1651629,1651576,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484254&occurrence_status=present,manual,801856
Sturnella neglecta,Sturnella neglecta,AVIBASE-4A5B4883,10/1/2022,9596413,1565966,1565924,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9596413&occurrence_status=present,manual,906357
Icterus parisorum,Icterus parisorum,AVIBASE-9EE6D524,9/24/2022,5229930,94182,94150,NA,code,91538
Icterus spurius,Icterus spurius,AVIBASE-5E9777FB,9/28/2022,5229935,920725,920648,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229935&occurrence_status=present,manual,474553
Icterus galbula,Icterus galbula,AVIBASE-5110842F,9/28/2022,2484340,2694836,2694708,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484340&occurrence_status=present,manual,1272735
Icterus bullockii,Icterus bullockii,AVIBASE-7E65A952,9/28/2022,5229864,598862,598788,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229864&occurrence_status=present,manual,278044
Euphagus cyanocephalus,Euphagus cyanocephalus,AVIBASE-EA5E858A,9/27/2022,2484183,1449162,1449073,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484183&occurrence_status=present,manual,420799
Quiscalus quiscula,Quiscalus quiscula,AVIBASE-8BBB3255,9/30/2022,2484155,7874720,7874606,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484155&occurrence_status=present,manual,3591579
Quiscalus mexicanus,Quiscalus mexicanus,AVIBASE-5CBA3391,9/30/2022,9476062,2305754,2305625,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9476062&occurrence_status=present,manual,1051008
Quiscalus major,Quiscalus major,AVIBASE-EF47E15D,9/30/2022,2484133,972092,972043,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484133&occurrence_status=present,manual,313890
Haemorhous purpureus,Carpodacus purpureus,AVIBASE-B4EE123D,9/28/2022,7804446,1925290,1925180,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7804446&occurrence_status=present,manual,863738
Haemorhous cassinii,Carpodacus cassinii,AVIBASE-AC1E519F,9/28/2022,8255548,295378,295144,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8255548&occurrence_status=present,manual,230989
Haemorhous mexicanus,Carpodacus mexicanus,AVIBASE-89431E9F,9/28/2022,8323485,11614408,11614259,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8323485&occurrence_status=present,manual,5513583
Loxia curvirostra,Loxia curvirostra,AVIBASE-135564AA,9/28/2022,9629160,1048042,1046471,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9629160&occurrence_status=present,manual,715233
Carduelis flammea / hornemanni,Carduelis hornemanni,NA,NA,NA,NA,NA,NA,name confusion,NA
Acanthis flammea,Carduelis flammea,AVIBASE-A2BB98A9,9/25/2022,5231630,2415126,2408835, https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231630&occurrence_status=present,manual,976678
Acanthis flammea,Carduelis hornemanni,AVIBASE-A2BB98A9,9/25/2022,5231630,2415126,2408835, https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231630&occurrence_status=present,manual,976678
Spinus tristis,Carduelis tristis,AVIBASE-C9ABA616,9/24/2022,5231640,13001776,13001683,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231640&occurrence_status=present,manual,5970666
Spinus psaltria,Carduelis psaltria,AVIBASE-CD5C21CA,9/30/2022,5231647,2561441,2561336,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231647&occurrence_status=present,manual,1232437
Spinus pinus,Carduelis pinus,AVIBASE-B48335B1,9/30/2022,5231635,2512026,2511830,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231635&occurrence_status=present,manual,1116122
Calcarius lapponicus,Calcarius lapponicus,AVIBASE-3534E4CE,9/26/2022,2491678,325641,322987,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491678&occurrence_status=present,manual,225220
Calcarius ornatus,Calcarius ornatus,AVIBASE-B64C1B1D,9/24/2022,2491677,41660,41639,NA,code,39540
Pooecetes gramineus,Pooecetes gramineus,AVIBASE-3647E146,9/30/2022,2491728,638935,638815,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491728&occurrence_status=present,manual,246798
Passerculus sandwichensis,Passerculus sandwichensis,AVIBASE-3C974C47,9/28/2022,5231142,2786698,2786341,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231142&occurrence_status=present,manual,1219346
Ammodramus savannarum,Ammodramus savannarum,AVIBASE-5BFFE091,9/25/2022,2491123,345077,345015,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491123&occurrence_status=present,manual,230559
Ammospiza leconteii,Ammodramus leconteii,AVIBASE-B656B15D,9/24/2022,2491081,61708,61708,NA,code,55263
Chondestes grammacus,Chondestes grammacus,AVIBASE-78509A5D,9/27/2022,2491651,691075,691014,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491651&occurrence_status=present,manual,280260
Zonotrichia leucophrys,Zonotrichia leucophrys,AVIBASE-8601A467,10/1/2022,5231132,4296748,4296647,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231132&occurrence_status=present,manual,2173239
Zonotrichia atricapilla,Zonotrichia atricapilla,AVIBASE-BD61BDEC,10/1/2022,5231138,1174623,1174563,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231138&occurrence_status=present,manual,795106
Zonotrichia albicollis,Zonotrichia albicollis,AVIBASE-39BD9FF2,10/1/2022,5231140,5934785,5934778,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231140&occurrence_status=present,manual,2890990
Spizelloides arborea,Spizella arborea,AVIBASE-2A86F9C9,9/30/2022,7357320,1566847,1566796,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7357320&occurrence_status=present,manual,750685
Spizella passerina,Spizella passerina,AVIBASE-37E9CCDA,9/30/2022,2492109,5734091,5733742,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2492109&occurrence_status=present,manual,2800313
