"Species","mass_gm","source"
"Dryocopus lineatus",183.195,"combined: BirdLife, eBird, BirdTree"
"Dryocopus martius",321,"combined: BirdLife, eBird, BirdTree"
"Dryocopus pileatus",286.595,"combined: BirdLife, eBird, BirdTree"
"Dryocopus schulzi",200,"combined: BirdLife, eBird, BirdTree"
"Dryocopus schulzii",200,"combined: BirdLife, eBird, BirdTree"
"Dryolimnas cuvieri",182.386666666667,"combined: BirdLife, eBird, BirdTree"
"Dryoscopus angolensis",36,"combined: BirdLife, eBird, BirdTree"
"Dryoscopus cubla",26.22,"combined: BirdLife, eBird, BirdTree"
"Dryoscopus gambensis",31.9,"combined: BirdLife, eBird, BirdTree"
"Dryoscopus pringlii",19.7,"combined: BirdLife, eBird, BirdTree"
"Dryoscopus sabini",37.1133333333333,"combined: BirdLife, eBird, BirdTree"
"Dryoscopus senegalensis",29.3,"combined: BirdLife, eBird, BirdTree"
"Dryotriorchis spectabilis",697,"combined: BirdLife, eBird, BirdTree"
"Dubusia carrikeri",37,"combined: BirdLife, eBird, BirdTree"
"Dubusia castaneoventris",28,"combined: BirdLife, eBird, BirdTree"
"Dubusia stictocephala",37,"combined: BirdLife, eBird, BirdTree"
"Dubusia taeniata",37,"combined: BirdLife, eBird, BirdTree"
"Ducula aenea",545,"combined: BirdLife, eBird, BirdTree"
"Ducula aurorae",507.193333333333,"combined: BirdLife, eBird, BirdTree"
"Ducula badia",485.993333333333,"combined: BirdLife, eBird, BirdTree"
"Ducula bakeri",394,"combined: BirdLife, eBird, BirdTree"
"Ducula basilica",507.193333333333,"combined: BirdLife, eBird, BirdTree"
"Ducula bicolor",440.006666666667,"combined: BirdLife, eBird, BirdTree"
"Ducula brenchleyi",380,"combined: BirdLife, eBird, BirdTree"
"Ducula carola",289,"combined: BirdLife, eBird, BirdTree"
"Ducula chalconota",501.993333333333,"combined: BirdLife, eBird, BirdTree"
"Ducula cineracea",507.193333333333,"combined: BirdLife, eBird, BirdTree"
"Ducula concinna",804.68,"combined: BirdLife, eBird, BirdTree"
"Ducula cuprea",485.99,"combined: BirdLife, eBird, BirdTree"
"Ducula finschii",343.9,"combined: BirdLife, eBird, BirdTree"
"Ducula forsteni",509.993333333333,"combined: BirdLife, eBird, BirdTree"
"Ducula galeata",605,"combined: BirdLife, eBird, BirdTree"
"Ducula geelvinkiana",534.99,"combined: BirdLife, eBird, BirdTree"
"Ducula goliath",600,"combined: BirdLife, eBird, BirdTree"
"Ducula lacernulata",150,"combined: BirdLife, eBird, BirdTree"
"Ducula latrans",365.106666666667,"combined: BirdLife, eBird, BirdTree"
"Ducula luctuosa",410,"combined: BirdLife, eBird, BirdTree"
"Ducula melanochroa",665,"combined: BirdLife, eBird, BirdTree"
"Ducula mindorensis",507.193333333333,"combined: BirdLife, eBird, BirdTree"
"Ducula mullerii",574.88,"combined: BirdLife, eBird, BirdTree"
"Ducula myristicivora",534.993333333333,"combined: BirdLife, eBird, BirdTree"
"Ducula neglecta",667,"combined: BirdLife, eBird, BirdTree"
"Ducula nicobarica",545,"combined: BirdLife, eBird, BirdTree"
"Ducula obiensis",507.19,"combined: BirdLife, eBird, BirdTree"
"Ducula oceanica",371.52,"combined: BirdLife, eBird, BirdTree"
"Ducula oenothorax",545,"combined: BirdLife, eBird, BirdTree"
"Ducula pacifica",394.2,"combined: BirdLife, eBird, BirdTree"
"Ducula perspicillata",667,"combined: BirdLife, eBird, BirdTree"
"Ducula pickeringii",377,"combined: BirdLife, eBird, BirdTree"
"Ducula pinon",756,"combined: BirdLife, eBird, BirdTree"
"Ducula pistrinaria",515,"combined: BirdLife, eBird, BirdTree"
"Ducula poliocephala",555,"combined: BirdLife, eBird, BirdTree"
"Ducula radiata",295,"combined: BirdLife, eBird, BirdTree"
"Ducula rosacea",385.593333333333,"combined: BirdLife, eBird, BirdTree"
"Ducula rubricera",652,"combined: BirdLife, eBird, BirdTree"
"Ducula rufigaster",436,"combined: BirdLife, eBird, BirdTree"
"Ducula salvadorii",756,"combined: BirdLife, eBird, BirdTree"
"Ducula spilorrhoa",464,"combined: BirdLife, eBird, BirdTree"
"Ducula subflavescens",440.006666666667,"combined: BirdLife, eBird, BirdTree"
"Ducula whartoni",571.186666666667,"combined: BirdLife, eBird, BirdTree"
"Ducula zoeae",568,"combined: BirdLife, eBird, BirdTree"
"Dulus dominicus",48.4,"combined: BirdLife, eBird, BirdTree"
"Dumetella carolinensis",35.3,"combined: BirdLife, eBird, BirdTree"
"Dumetia atriceps",16.3,"combined: BirdLife, eBird, BirdTree"
"Dumetia hyperythra",12.9,"combined: BirdLife, eBird, BirdTree"
"Dyaphorophyia ansorgei",11.4,"combined: BirdLife, eBird, BirdTree"
"Dyaphorophyia blissetti",11,"combined: BirdLife, eBird, BirdTree"
"Dyaphorophyia castanea",14.09,"combined: BirdLife, eBird, BirdTree"
"Dyaphorophyia chalybea",11,"combined: BirdLife, eBird, BirdTree"
"Dyaphorophyia concreta",11.4,"combined: BirdLife, eBird, BirdTree"
"Dyaphorophyia hormophora",14.09,"combined: BirdLife, eBird, BirdTree"
"Dyaphorophyia jamesoni",11,"combined: BirdLife, eBird, BirdTree"
"Dyaphorophyia tonsa",11.5,"combined: BirdLife, eBird, BirdTree"
"Dysithamnus leucostictus",20.2,"combined: BirdLife, eBird, BirdTree"
"Dysithamnus mentalis",14.88,"combined: BirdLife, eBird, BirdTree"
"Dysithamnus occidentalis",26.4,"combined: BirdLife, eBird, BirdTree"
"Dysithamnus plumbeus",20.5,"combined: BirdLife, eBird, BirdTree"
"Dysithamnus puncticeps",14.9,"combined: BirdLife, eBird, BirdTree"
"Dysithamnus stictothorax",15.5,"combined: BirdLife, eBird, BirdTree"
"Dysithamnus striaticeps",12,"combined: BirdLife, eBird, BirdTree"
"Dysithamnus xanthopterus",16,"combined: BirdLife, eBird, BirdTree"
"Eclectus cornelia",480.76,"combined: BirdLife, eBird, BirdTree"
"Eclectus polychloros",480.76,"combined: BirdLife, eBird, BirdTree"
"Eclectus riedeli",480.76,"combined: BirdLife, eBird, BirdTree"
"Eclectus roratus",480.773333333333,"combined: BirdLife, eBird, BirdTree"
"Edolisoma admiralitatis",60.9,"combined: BirdLife, eBird, BirdTree"
"Edolisoma anale",82.4,"combined: BirdLife, eBird, BirdTree"
"Edolisoma ceramense",47.9,"combined: BirdLife, eBird, BirdTree"
"Edolisoma coerulescens",62.84,"combined: BirdLife, eBird, BirdTree"
"Edolisoma dispar",67.98,"combined: BirdLife, eBird, BirdTree"
"Edolisoma dohertyi",67.98,"combined: BirdLife, eBird, BirdTree"
"Edolisoma grayi",60.92,"combined: BirdLife, eBird, BirdTree"
"Edolisoma holopolium",48.9,"combined: BirdLife, eBird, BirdTree"
"Edolisoma incertum",58.895,"combined: BirdLife, eBird, BirdTree"
"Edolisoma insperatum",60.92,"combined: BirdLife, eBird, BirdTree"
"Edolisoma melas",59.395,"combined: BirdLife, eBird, BirdTree"
"Edolisoma meyerii",60.92,"combined: BirdLife, eBird, BirdTree"
"Edolisoma mindanense",58.7,"combined: BirdLife, eBird, BirdTree"
"Edolisoma monacha",60.92,"combined: BirdLife, eBird, BirdTree"
"Edolisoma montanum",79.21,"combined: BirdLife, eBird, BirdTree"
"Edolisoma morio",58.5,"combined: BirdLife, eBird, BirdTree"
"Edolisoma nesiotis",60.92,"combined: BirdLife, eBird, BirdTree"
"Edolisoma obiense",60.92,"combined: BirdLife, eBird, BirdTree"
"Edolisoma ostentum",67.96,"combined: BirdLife, eBird, BirdTree"
"Edolisoma parvulum",67.96,"combined: BirdLife, eBird, BirdTree"
"Edolisoma pygmaeum",60.92,"combined: BirdLife, eBird, BirdTree"
"Edolisoma remotum",60.92,"combined: BirdLife, eBird, BirdTree"
"Edolisoma rostratum",60.92,"combined: BirdLife, eBird, BirdTree"
"Edolisoma salomonis",60.91,"combined: BirdLife, eBird, BirdTree"
"Edolisoma schisticeps",52.8,"combined: BirdLife, eBird, BirdTree"
"Edolisoma sula",67.98,"combined: BirdLife, eBird, BirdTree"
"Edolisoma tenuirostre",60.91,"combined: BirdLife, eBird, BirdTree"
"Egretta ardesiaca",324,"combined: BirdLife, eBird, BirdTree"
"Egretta caerulea",338.606666666667,"combined: BirdLife, eBird, BirdTree"
"Egretta eulophotes",461.82,"combined: BirdLife, eBird, BirdTree"
"Egretta garzetta",312,"combined: BirdLife, eBird, BirdTree"
"Egretta gularis",312,"combined: BirdLife, eBird, BirdTree"
"Egretta novaehollandiae",558.626666666667,"combined: BirdLife, eBird, BirdTree"
"Egretta picata",259,"combined: BirdLife, eBird, BirdTree"
"Egretta rufescens",614,"combined: BirdLife, eBird, BirdTree"
"Egretta sacra",502,"combined: BirdLife, eBird, BirdTree"
"Egretta thula",371,"combined: BirdLife, eBird, BirdTree"
"Egretta tricolor",372.3,"combined: BirdLife, eBird, BirdTree"
"Egretta vinaceigula",288,"combined: BirdLife, eBird, BirdTree"
"Elachura formosa",5,"combined: BirdLife, eBird, BirdTree"
"Elaenia albiceps",15.5,"combined: BirdLife, eBird, BirdTree"
"Elaenia brachyptera",15.4,"combined: BirdLife, eBird, BirdTree"
"Elaenia cherriei",14.4,"combined: BirdLife, eBird, BirdTree"
"Elaenia chiriquensis",15.4,"combined: BirdLife, eBird, BirdTree"
"Elaenia cristata",18.2,"combined: BirdLife, eBird, BirdTree"
"Elaenia dayi",34.5,"combined: BirdLife, eBird, BirdTree"
"Elaenia fallax",14.4,"combined: BirdLife, eBird, BirdTree"
"Elaenia flavogaster",24.8,"combined: BirdLife, eBird, BirdTree"
"Elaenia frantzii",19.6,"combined: BirdLife, eBird, BirdTree"
"Elaenia gigas",31,"combined: BirdLife, eBird, BirdTree"
"Elaenia martinica",20.7933333333333,"combined: BirdLife, eBird, BirdTree"
"Elaenia mesoleuca",17.6,"combined: BirdLife, eBird, BirdTree"
"Elaenia obscura",23.9,"combined: BirdLife, eBird, BirdTree"
"Elaenia olivina",17.8,"combined: BirdLife, eBird, BirdTree"
"Elaenia pallatangae",17.8,"combined: BirdLife, eBird, BirdTree"
"Elaenia parvirostris",13.8,"combined: BirdLife, eBird, BirdTree"
"Elaenia pelzelni",27.3,"combined: BirdLife, eBird, BirdTree"
"Elaenia ridleyana",33,"combined: BirdLife, eBird, BirdTree"
"Elaenia ruficeps",18.7266666666667,"combined: BirdLife, eBird, BirdTree"
"Elaenia sordida",23.9,"combined: BirdLife, eBird, BirdTree"
"Elaenia spectabilis",27.3,"combined: BirdLife, eBird, BirdTree"
"Elaenia strepera",19.3,"combined: BirdLife, eBird, BirdTree"
"Elanoides forficatus",416.226666666667,"combined: BirdLife, eBird, BirdTree"
"Elanus axillaris",270.1,"combined: BirdLife, eBird, BirdTree"
"Elanus caeruleus",259.773333333333,"combined: BirdLife, eBird, BirdTree"
"Elanus leucurus",346,"combined: BirdLife, eBird, BirdTree"
"Elanus scriptus",316,"combined: BirdLife, eBird, BirdTree"
"Elaphrornis palliseri",9,"combined: BirdLife, eBird, BirdTree"
"Electron carinatum",64.9,"combined: BirdLife, eBird, BirdTree"
"Electron platyrhynchum",73,"combined: BirdLife, eBird, BirdTree"
"Eleoscytalopus indigoticus",16.1666666666667,"combined: BirdLife, eBird, BirdTree"
"Eleoscytalopus psychopompus",17.8,"combined: BirdLife, eBird, BirdTree"
"Eleothreptus anomalus",43.7,"combined: BirdLife, eBird, BirdTree"
"Eleothreptus candicans",49.3,"combined: BirdLife, eBird, BirdTree"
"Elliotomyia chionogaster",5,"combined: BirdLife, eBird, BirdTree"
"Elliotomyia viridicauda",6.1,"combined: BirdLife, eBird, BirdTree"
"Elminia albicauda",8.32,"combined: BirdLife, eBird, BirdTree"
"Elminia albiventris",8.9,"combined: BirdLife, eBird, BirdTree"
"Elminia albonotata",9.2,"combined: BirdLife, eBird, BirdTree"
"Elminia longicauda",9.9,"combined: BirdLife, eBird, BirdTree"
"Elminia nigromitrata",9.02,"combined: BirdLife, eBird, BirdTree"
"Elseyornis melanops",33,"combined: BirdLife, eBird, BirdTree"
"Elvira chionura",3,"combined: BirdLife, eBird, BirdTree"
"Elvira cupreiceps",3,"combined: BirdLife, eBird, BirdTree"
"Emarginata schlegelii",23.3,"combined: BirdLife, eBird, BirdTree"
"Emarginata sinuata",18.1,"combined: BirdLife, eBird, BirdTree"
"Emarginata tractrac",20.8,"combined: BirdLife, eBird, BirdTree"
"Emberiza affinis",15.4,"combined: BirdLife, eBird, BirdTree"
"Emberiza aureola",19.6,"combined: BirdLife, eBird, BirdTree"
"Emberiza bruniceps",24.8,"combined: BirdLife, eBird, BirdTree"
"Emberiza buchanani",21.2,"combined: BirdLife, eBird, BirdTree"
"Emberiza cabanisi",24.9,"combined: BirdLife, eBird, BirdTree"
"Emberiza caesia",19.9,"combined: BirdLife, eBird, BirdTree"
"Emberiza calandra",48.5,"combined: BirdLife, eBird, BirdTree"
"Emberiza capensis",20.9,"combined: BirdLife, eBird, BirdTree"
"Emberiza chrysophrys",17.98,"combined: BirdLife, eBird, BirdTree"
"Emberiza cia",23.42,"combined: BirdLife, eBird, BirdTree"
"Emberiza cineracea",24.3,"combined: BirdLife, eBird, BirdTree"
"Emberiza cioides",21.0133333333333,"combined: BirdLife, eBird, BirdTree"
"Emberiza cirlus",25.6,"combined: BirdLife, eBird, BirdTree"
"Emberiza citrinella",29.7,"combined: BirdLife, eBird, BirdTree"
"Emberiza elegans",16.8266666666667,"combined: BirdLife, eBird, BirdTree"
"Emberiza flaviventris",18.2266666666667,"combined: BirdLife, eBird, BirdTree"
"Emberiza fucata",19.8,"combined: BirdLife, eBird, BirdTree"
"Emberiza godlewskii",19,"combined: BirdLife, eBird, BirdTree"
"Emberiza goslingi",12.99,"combined: BirdLife, eBird, BirdTree"
"Emberiza hortulana",19.9,"combined: BirdLife, eBird, BirdTree"
"Emberiza impetuani",15.1,"combined: BirdLife, eBird, BirdTree"
"Emberiza jankowskii",22.5,"combined: BirdLife, eBird, BirdTree"
"Emberiza koslowi",25,"combined: BirdLife, eBird, BirdTree"
"Emberiza lathami",21.9,"combined: BirdLife, eBird, BirdTree"
"Emberiza leucocephalos",28.5,"combined: BirdLife, eBird, BirdTree"
"Emberiza melanocephala",28.3066666666667,"combined: BirdLife, eBird, BirdTree"
"Emberiza pallasi",13.9733333333333,"combined: BirdLife, eBird, BirdTree"
"Emberiza personata",18.45,"combined: BirdLife, eBird, BirdTree"
"Emberiza poliopleura",15.8,"combined: BirdLife, eBird, BirdTree"
"Emberiza pusilla",14.58,"combined: BirdLife, eBird, BirdTree"
"Emberiza rustica",20.5266666666667,"combined: BirdLife, eBird, BirdTree"
"Emberiza rutila",17.5,"combined: BirdLife, eBird, BirdTree"
"Emberiza sahari",14.8,"combined: BirdLife, eBird, BirdTree"
"Emberiza schoeniclus",18.4,"combined: BirdLife, eBird, BirdTree"
"Emberiza siemsseni",20,"combined: BirdLife, eBird, BirdTree"
"Emberiza socotrana",14.4133333333333,"combined: BirdLife, eBird, BirdTree"
"Emberiza spodocephala",18.4666666666667,"combined: BirdLife, eBird, BirdTree"
"Emberiza stewarti",15.9733333333333,"combined: BirdLife, eBird, BirdTree"
"Emberiza striolata",14.8,"combined: BirdLife, eBird, BirdTree"
"Emberiza sulphurata",14.8933333333333,"combined: BirdLife, eBird, BirdTree"
"Emberiza tahapisi",12.9866666666667,"combined: BirdLife, eBird, BirdTree"
"Emberiza tristrami",18,"combined: BirdLife, eBird, BirdTree"
"Emberiza variabilis",23.8,"combined: BirdLife, eBird, BirdTree"
"Emberiza vincenti",20.9,"combined: BirdLife, eBird, BirdTree"
"Emberiza yessoensis",13.4933333333333,"combined: BirdLife, eBird, BirdTree"
"Emberizoides duidae",27.5666666666667,"combined: BirdLife, eBird, BirdTree"
"Emberizoides herbicola",27.5666666666667,"combined: BirdLife, eBird, BirdTree"
"Emberizoides ypiranganus",20.1,"combined: BirdLife, eBird, BirdTree"
"Embernagra longicauda",42.2,"combined: BirdLife, eBird, BirdTree"
"Embernagra platensis",45.5,"combined: BirdLife, eBird, BirdTree"
"Emblema pictum",10.4,"combined: BirdLife, eBird, BirdTree"
"Eminia lepida",20.2,"combined: BirdLife, eBird, BirdTree"
"Empidonax affinis",11.3,"combined: BirdLife, eBird, BirdTree"
"Empidonax albigularis",9.58666666666667,"combined: BirdLife, eBird, BirdTree"
"Empidonax alnorum",12.7,"combined: BirdLife, eBird, BirdTree"
"Empidonax atriceps",9,"combined: BirdLife, eBird, BirdTree"
"Empidonax difficilis",10.7,"combined: BirdLife, eBird, BirdTree"
"Empidonax flavescens",12.5,"combined: BirdLife, eBird, BirdTree"
"Empidonax flaviventris",11.8,"combined: BirdLife, eBird, BirdTree"
"Empidonax fulvifrons",7.9,"combined: BirdLife, eBird, BirdTree"
"Empidonax hammondii",10.4266666666667,"combined: BirdLife, eBird, BirdTree"
"Empidonax minimus",10,"combined: BirdLife, eBird, BirdTree"
"Empidonax oberholseri",10.4,"combined: BirdLife, eBird, BirdTree"
"Empidonax occidentalis",11.6,"combined: BirdLife, eBird, BirdTree"
"Empidonax traillii",13.3933333333333,"combined: BirdLife, eBird, BirdTree"
"Empidonax virescens",12.6,"combined: BirdLife, eBird, BirdTree"
"Empidonax wrightii",12.3,"combined: BirdLife, eBird, BirdTree"
"Empidonomus aurantioatrocristatus",33,"combined: BirdLife, eBird, BirdTree"
"Empidonomus varius",27.1,"combined: BirdLife, eBird, BirdTree"
"Empidornis semipartitus",22.5,"combined: BirdLife, eBird, BirdTree"
"Enicognathus ferrugineus",160,"combined: BirdLife, eBird, BirdTree"
"Enicognathus leptorhynchus",193,"combined: BirdLife, eBird, BirdTree"
"Enicurus immaculatus",25.5,"combined: BirdLife, eBird, BirdTree"
"Enicurus leschenaulti",33.8,"combined: BirdLife, eBird, BirdTree"
"Enicurus maculatus",40.3933333333333,"combined: BirdLife, eBird, BirdTree"
"Enicurus ruficapillus",28.22,"combined: BirdLife, eBird, BirdTree"
"Enicurus schistaceus",31,"combined: BirdLife, eBird, BirdTree"
"Enicurus scouleri",17.8,"combined: BirdLife, eBird, BirdTree"
"Enicurus velatus",33,"combined: BirdLife, eBird, BirdTree"
"Enodes erythrophris",130,"combined: BirdLife, eBird, BirdTree"
"Ensifera ensifera",11.2,"combined: BirdLife, eBird, BirdTree"
"Entomodestes coracinus",56,"combined: BirdLife, eBird, BirdTree"
"Entomodestes leucotis",61.7,"combined: BirdLife, eBird, BirdTree"
"Entomyzon albipennis",105.26,"combined: BirdLife, eBird, BirdTree"
"Entomyzon cyanotis",105.273333333333,"combined: BirdLife, eBird, BirdTree"
"Eolophus roseicapilla",328,"combined: BirdLife, eBird, BirdTree"
"Eophona migratoria",46.8866666666667,"combined: BirdLife, eBird, BirdTree"
"Eophona personata",80,"combined: BirdLife, eBird, BirdTree"
"Eopsaltria australis",20.1666666666667,"combined: BirdLife, eBird, BirdTree"
"Eopsaltria flaviventris",13,"combined: BirdLife, eBird, BirdTree"
"Eopsaltria georgiana",19.085,"combined: BirdLife, eBird, BirdTree"
"Eopsaltria griseogularis",19.3866666666667,"combined: BirdLife, eBird, BirdTree"
"Eopsaltria pulverulenta",19.195,"combined: BirdLife, eBird, BirdTree"
"Eos bornea",156,"combined: BirdLife, eBird, BirdTree"
"Eos cyanogenia",167,"combined: BirdLife, eBird, BirdTree"
"Eos histrio",204,"combined: BirdLife, eBird, BirdTree"
"Eos reticulata",153,"combined: BirdLife, eBird, BirdTree"
"Eos semilarvata",94.48,"combined: BirdLife, eBird, BirdTree"
"Eos squamata",91,"combined: BirdLife, eBird, BirdTree"
"Ephippiorhynchus asiaticus",4100,"combined: BirdLife, eBird, BirdTree"
"Ephippiorhynchus senegalensis",6158.72,"combined: BirdLife, eBird, BirdTree"
"Ephippiospingus dorsalis",38.07,"combined: BirdLife, eBird, BirdTree"
"Ephippiospingus erythronotus",20.69,"combined: BirdLife, eBird, BirdTree"
"Epimachus albertisi",110,"combined: BirdLife, eBird, BirdTree"
"Epimachus bruijnii",153.31,"combined: BirdLife, eBird, BirdTree"
"Epimachus fastosus",232.885,"combined: BirdLife, eBird, BirdTree"
"Epimachus fastuosus",232.87,"combined: BirdLife, eBird, BirdTree"
"Epimachus meyeri",220.486666666667,"combined: BirdLife, eBird, BirdTree"
"Epinecrophylla amazonica",8.7,"combined: BirdLife, eBird, BirdTree"
"Epinecrophylla erythrura",11.4,"combined: BirdLife, eBird, BirdTree"
"Epinecrophylla fjeldsaai",9.8,"combined: BirdLife, eBird, BirdTree"
"Epinecrophylla fulviventris",10.4,"combined: BirdLife, eBird, BirdTree"
"Epinecrophylla gutturalis",9.2,"combined: BirdLife, eBird, BirdTree"
"Epinecrophylla haematonota",8.7,"combined: BirdLife, eBird, BirdTree"
"Epinecrophylla hoffmannsi",9.4,"combined: BirdLife, eBird, BirdTree"
"Epinecrophylla leucophthalma",9.4,"combined: BirdLife, eBird, BirdTree"
"Epinecrophylla ornata",9.4,"combined: BirdLife, eBird, BirdTree"
"Epinecrophylla spodionota",10.7,"combined: BirdLife, eBird, BirdTree"
"Epthianura albifrons",13.3,"combined: BirdLife, eBird, BirdTree"
"Epthianura aurifrons",10.5,"combined: BirdLife, eBird, BirdTree"
"Epthianura crocea",9.3,"combined: BirdLife, eBird, BirdTree"
"Epthianura tricolor",10.7,"combined: BirdLife, eBird, BirdTree"
"Eremalauda dunni",20.5,"combined: BirdLife, eBird, BirdTree"
"Eremalauda eremodites",20.5,"combined: BirdLife, eBird, BirdTree"
"Eremalauda starki",18.5,"combined: BirdLife, eBird, BirdTree"
"Eremiornis carteri",12.2,"combined: BirdLife, eBird, BirdTree"
"Eremomela atricollis",10.2,"combined: BirdLife, eBird, BirdTree"
"Eremomela badiceps",10.5933333333333,"combined: BirdLife, eBird, BirdTree"
"Eremomela canescens",6.91333333333333,"combined: BirdLife, eBird, BirdTree"
"Eremomela flavicrissalis",4.5,"combined: BirdLife, eBird, BirdTree"
"Eremomela gregalis",6.8,"combined: BirdLife, eBird, BirdTree"
"Eremomela icteropygialis",7.52666666666667,"combined: BirdLife, eBird, BirdTree"
"Eremomela pusilla",6.2,"combined: BirdLife, eBird, BirdTree"
"Eremomela salvadorii",7.5,"combined: BirdLife, eBird, BirdTree"
"Eremomela scotops",8.99333333333333,"combined: BirdLife, eBird, BirdTree"
"Eremomela turneri",7.32666666666667,"combined: BirdLife, eBird, BirdTree"
"Eremomela usticollis",8.39333333333333,"combined: BirdLife, eBird, BirdTree"
"Eremophila alpestris",33.32,"combined: BirdLife, eBird, BirdTree"
"Eremophila bilopha",38.5,"combined: BirdLife, eBird, BirdTree"
"Eremopsaltria mongolicus",21.5,"combined: BirdLife, eBird, BirdTree"
"Eremopterix australis",14.2,"combined: BirdLife, eBird, BirdTree"
"Eremopterix griseus",16,"combined: BirdLife, eBird, BirdTree"
"Eremopterix hova",18.9,"combined: BirdLife, eBird, BirdTree"
"Eremopterix leucopareia",14.5,"combined: BirdLife, eBird, BirdTree"
"Eremopterix leucotis",16.4,"combined: BirdLife, eBird, BirdTree"
"Eremopterix nigriceps",13.8666666666667,"combined: BirdLife, eBird, BirdTree"
"Eremopterix signatus",15.7,"combined: BirdLife, eBird, BirdTree"
"Eremopterix verticalis",17,"combined: BirdLife, eBird, BirdTree"
"Ergaticus ruber",8.1,"combined: BirdLife, eBird, BirdTree"
"Ergaticus versicolor",10,"combined: BirdLife, eBird, BirdTree"
"Eriocnemis alinae",4.24,"combined: BirdLife, eBird, BirdTree"
"Eriocnemis aline",4.22,"combined: BirdLife, eBird, BirdTree"
"Eriocnemis cupreoventris",5.3,"combined: BirdLife, eBird, BirdTree"
"Eriocnemis derbyi",5.5,"combined: BirdLife, eBird, BirdTree"
"Eriocnemis glaucopoides",3.7,"combined: BirdLife, eBird, BirdTree"
"Eriocnemis godini",5.07333333333333,"combined: BirdLife, eBird, BirdTree"
"Eriocnemis isabellae",4.5,"combined: BirdLife, eBird, BirdTree"
"Eriocnemis luciani",6,"combined: BirdLife, eBird, BirdTree"
"Eriocnemis mirabilis",5.07333333333333,"combined: BirdLife, eBird, BirdTree"
"Eriocnemis mosquera",5.3,"combined: BirdLife, eBird, BirdTree"
"Eriocnemis nigrivestis",8.5,"combined: BirdLife, eBird, BirdTree"
"Eriocnemis sapphiropygia",7,"combined: BirdLife, eBird, BirdTree"
"Eriocnemis vestita",4.52666666666667,"combined: BirdLife, eBird, BirdTree"
"Erithacus akahige",17,"combined: BirdLife, eBird, BirdTree"
"Erithacus komadori",23.9,"combined: BirdLife, eBird, BirdTree"
"Erithacus rubecula",17.7,"combined: BirdLife, eBird, BirdTree"
"Erpornis zantholeuca",11.8,"combined: BirdLife, eBird, BirdTree"
"Erythrocercus holochlorus",6,"combined: BirdLife, eBird, BirdTree"
"Erythrocercus livingstonei",5.9,"combined: BirdLife, eBird, BirdTree"
"Erythrocercus mccallii",7.2,"combined: BirdLife, eBird, BirdTree"
"Erythrogenys erythrocnemis",58.175,"combined: BirdLife, eBird, BirdTree"
"Erythrogenys erythrogenys",54.9,"combined: BirdLife, eBird, BirdTree"
"Erythrogenys gravivox",58.175,"combined: BirdLife, eBird, BirdTree"
"Erythrogenys hypoleucos",75.6,"combined: BirdLife, eBird, BirdTree"
"Erythrogenys mcclellandi",58.175,"combined: BirdLife, eBird, BirdTree"
"Erythrogenys swinhoei",58.175,"combined: BirdLife, eBird, BirdTree"
"Erythrogonys cinctus",51.4,"combined: BirdLife, eBird, BirdTree"
"Erythropitta arquata",54,"combined: BirdLife, eBird, BirdTree"
"Erythropitta caeruleitorques",72.395,"combined: BirdLife, eBird, BirdTree"
"Erythropitta celebensis",72.395,"combined: BirdLife, eBird, BirdTree"
"Erythropitta dohertyi",72.4,"combined: BirdLife, eBird, BirdTree"
"Erythropitta erythrogaster",72.395,"combined: BirdLife, eBird, BirdTree"
"Erythropitta gazellae",72.395,"combined: BirdLife, eBird, BirdTree"
"Erythropitta granatina",61.5,"combined: BirdLife, eBird, BirdTree"
"Erythropitta inspeculata",72.39,"combined: BirdLife, eBird, BirdTree"
"Erythropitta kochi",116,"combined: BirdLife, eBird, BirdTree"
"Erythropitta macklotii",72.395,"combined: BirdLife, eBird, BirdTree"
"Erythropitta meeki",72.395,"combined: BirdLife, eBird, BirdTree"
"Erythropitta novaehibernicae",72.395,"combined: BirdLife, eBird, BirdTree"
"Erythropitta palliceps",72.395,"combined: BirdLife, eBird, BirdTree"
"Erythropitta rubrinucha",72.395,"combined: BirdLife, eBird, BirdTree"
"Erythropitta rufiventris",72.395,"combined: BirdLife, eBird, BirdTree"
"Erythropitta splendida",72.395,"combined: BirdLife, eBird, BirdTree"
"Erythropitta ussheri",55.32,"combined: BirdLife, eBird, BirdTree"
"Erythropitta venusta",61.5,"combined: BirdLife, eBird, BirdTree"
"Erythropygia barbata",25.6,"combined: BirdLife, eBird, BirdTree"
"Erythropygia coryphaeus",20.4,"combined: BirdLife, eBird, BirdTree"
"Erythropygia galactotes",20.3,"combined: BirdLife, eBird, BirdTree"
"Erythropygia hartlaubi",19.2,"combined: BirdLife, eBird, BirdTree"
"Erythropygia leucophrys",16.49,"combined: BirdLife, eBird, BirdTree"
"Erythropygia leucosticta",25.42,"combined: BirdLife, eBird, BirdTree"
"Erythropygia paena",19.7,"combined: BirdLife, eBird, BirdTree"
"Erythropygia quadrivirgata",26.1,"combined: BirdLife, eBird, BirdTree"
"Erythropygia signata",38.2,"combined: BirdLife, eBird, BirdTree"
"Erythrotriorchis buergersi",575,"combined: BirdLife, eBird, BirdTree"
"Erythrotriorchis radiatus",887.366666666667,"combined: BirdLife, eBird, BirdTree"
"Erythrura coloria",11.3,"combined: BirdLife, eBird, BirdTree"
"Erythrura cyaneovirens",13,"combined: BirdLife, eBird, BirdTree"
