"AOU","fLU_ab","fLU_pr","fLU_tas","fLU_pr_avgAprtoAug","fLU_tas_avgAprtoAug","fLU_tas_avgAprtoJuly","fLU_tas_avgMaytoJuly","Diet.5Cat","IUCN_status","tail","ORDER","Family","Genus","Species","English_Common_Name","ScientificName","BirdTreeName"
4980,-0.154542616297222,-0.33549084455505,-0.140385031364913,0.104131813133516,0.303015797032072,-0.50549748880141,-0.46098127647943,"Omnivore","LC","UT","Passeriformes","Icteridae","Agelaius","phoeniceus","Red-winged Blackbird","Agelaius phoeniceus","Agelaius phoeniceus"
5010,0.0531220876048468,-0.290902029323236,0.552466990965951,0.556199361649889,0.425360474978795,-0.583194079732632,-0.44156786837648,"Invertebrate","NT","LT","Passeriformes","Icteridae","Sturnella","magna","Eastern Meadowlark","Sturnella magna","Sturnella magna"
5011,0.344430217669655,0.785900783289816,0.942857142857151,0.78393665158371,-1,1,0,"Omnivore","LC","LT","Passeriformes","Icteridae","Sturnella","neglecta","Western Meadowlark","Sturnella neglecta","Sturnella neglecta"
5060,0.00417536534446791,-1,-0.981481481481478,-0.43324250681199,0.761194029850747,1,1,"Omnivore","LC","LT","Passeriformes","Icteridae","Icterus","spurius","Orchard Oriole","Icterus spurius","Icterus spurius"
5070,0.0581245156290364,-0.306684875465876,0.0174165457184344,-0.070786400744033,1,0.400447427293065,0.264173703256935,"Invertebrate","LC","LT","Passeriformes","Icteridae","Icterus","galbula","Baltimore Oriole","Icterus galbula","Icterus galbula"
5110,-0.162265795206972,-0.471930606735321,0.0768800670953325,-0.0847362671223285,0.346767422334175,-0.342034203420342,-0.322535327658869,"Omnivore","NT","UT","Passeriformes","Icteridae","Quiscalus","quiscula","Common Grackle","Quiscalus quiscula","Quiscalus quiscula"
5190,0.568229531140659,-0.87054535637149,-0.0873605947955366,-0.267189758414204,0.818087855297158,0.0913610938471098,0.1687898089172,"PlantSeed","LC","LT","Passeriformes","Fringillidae","Haemorhous","mexicanus","House Finch","Haemorhous mexicanus","Carpodacus mexicanus"
5290,-0.190592903828199,-0.538420545013441,-0.0833646263612449,-0.229396879340247,0.332307988080361,-0.364029666254635,-0.382599456970842,"PlantSeed","LC","UT","Passeriformes","Fringillidae","Spinus","tristis","American Goldfinch","Spinus tristis","Carduelis tristis"
5400,0.402777777777779,-1,0.853211009174314,1,1,1,0.315384615384618,"Omnivore","LC","LT","Passeriformes","Passerellidae","Pooecetes","gramineus","Vesper Sparrow","Pooecetes gramineus","Pooecetes gramineus"
5420,1,-1,-0.126760563380281,1,-1,-0.799999999999962,-1,"Omnivore","LC","LT","Passeriformes","Passerellidae","Passerculus","sandwichensis","Savannah Sparrow","Passerculus sandwichensis","Passerculus sandwichensis"
5460,1,0.207820419985517,0.904761904761905,0.232142857142855,-0.70285714285714,1,-0.611940298507441,"Invertebrate","LC","LT","Passeriformes","Passerellidae","Ammodramus","savannarum","Grasshopper Sparrow","Ammodramus savannarum","Ammodramus savannarum"
5580,-1,1,-1,-1,1,1,-1,"PlantSeed","LC","UT","Passeriformes","Passerellidae","Zonotrichia","albicollis","White-throated Sparrow","Zonotrichia albicollis","Zonotrichia albicollis"
5600,-0.0456401415479534,-0.564332428073428,0.041895328603937,0.0547664414804545,0.33301775147929,-0.237009781925873,-0.288741588831975,"PlantSeed","LC","UT","Passeriformes","Passerellidae","Spizella","passerina","Chipping Sparrow","Spizella passerina","Spizella passerina"
5630,0.381633594831566,-0.66943387821711,-0.18503289473684,0.0829260475923402,0.412891535076366,-0.545812639150539,-0.758042895442358,"PlantSeed","LC","LT","Passeriformes","Passerellidae","Spizella","pusilla","Field Sparrow","Spizella pusilla","Spizella pusilla"
5810,-0.0024998940722852,-0.612996647720045,0.227623807360294,0.227195440850506,0.840063621101,-0.191944619257393,-0.156956004756242,"Omnivore","LC","UT","Passeriformes","Passerellidae","Melospiza","melodia","Song Sparrow","Melospiza melodia","Melospiza melodia"
5870,-0.348787636557421,-0.473051121906083,-0.418550272798129,-0.119962511715092,-1,-0.191932335718931,-0.503006012024047,"Omnivore","LC","UT","Passeriformes","Passerellidae","Pipilo","erythrophthalmus","Eastern Towhee","Pipilo erythrophthalmus","Pipilo erythrophthalmus"
5911,-1,1,1,-1,1,-1,1,"PlantSeed","LC","UT","Passeriformes","Passerellidae","Melozone","crissalis","California Towhee","Melozone crissalis","Pipilo crissalis"
5930,0.0234398782343963,-0.268442283244419,0.534488985193212,-0.151654566407682,0.011757295821962,-0.657089151450054,-0.658275568527301,"PlantSeed","LC","LT","Passeriformes","Cardinalidae","Cardinalis","cardinalis","Northern Cardinal","Cardinalis cardinalis","Cardinalis cardinalis"
5950,-1,1,1,-1,-1,-1,-1,"Omnivore","LC","UT","Passeriformes","Cardinalidae","Pheucticus","ludovicianus","Rose-breasted Grosbeak","Pheucticus ludovicianus","Pheucticus ludovicianus"
5980,-0.214560307544452,-0.254654668477137,-0.306151308036763,-0.106888640508266,0.390600791874677,-0.449084599736748,-0.699974766590966,"PlantSeed","LC","UT","Passeriformes","Cardinalidae","Passerina","cyanea","Indigo Bunting","Passerina cyanea","Passerina cyanea"
6010,-1,-1,-1,1,1,-1,1,"PlantSeed","LC","UT","Passeriformes","Cardinalidae","Passerina","ciris","Painted Bunting","Passerina ciris","Passerina ciris"
6040,-0.131228070175438,-0.281893572612406,0.630891950688906,0.0978759353125754,0.580214488947254,0.444605358435916,-0.395321291086763,"PlantSeed","LC","UT","Passeriformes","Cardinalidae","Spiza","americana","Dickcissel","Spiza americana","Spiza americana"
6080,1,-1,-0.093333333333332,-0.661229611041406,1,-0.991416309012874,-0.622920517560073,"Invertebrate","LC","LT","Passeriformes","Cardinalidae","Piranga","olivacea","Scarlet Tanager","Piranga olivacea","Piranga olivacea"
6100,1,-1,1,1,1,1,1,"Invertebrate","LC","LT","Passeriformes","Cardinalidae","Piranga","rubra","Summer Tanager","Piranga rubra","Piranga rubra"
6110,-1,-1,-1,1,1,-1,1,"Invertebrate","LC","UT","Passeriformes","Hirundinidae","Progne","subis","Purple Martin","Progne subis","Progne subis"
6130,-0.00268138801262049,-0.351475040484404,0.177228058285328,0.413283442469598,0.112184412733261,-0.743991260014566,-0.684669713336102,"Invertebrate","LC","UT","Passeriformes","Hirundinidae","Hirundo","rustica","Barn Swallow","Hirundo rustica","Hirundo rustica"
6140,1,-1,0.0716981132075487,-0.941254125412541,1,-0.954225352112676,0.0154525386313472,"Invertebrate","LC","LT","Passeriformes","Hirundinidae","Tachycineta","bicolor","Tree Swallow","Tachycineta bicolor","Tachycineta bicolor"
6190,1,-1,0.0325203252032516,-1,1,-1,-0.902912621359218,"FruiNect","LC","LT","Passeriformes","Bombycillidae","Bombycilla","cedrorum","Cedar Waxwing","Bombycilla cedrorum","Bombycilla cedrorum"
6240,-0.489490499411467,-0.601825609925435,-0.380616174582796,0.270082939270386,0.00839849406313449,-0.0517751479289932,0.0728445187485085,"Invertebrate","LC","UT","Passeriformes","Vireonidae","Vireo","olivaceus","Red-eyed Vireo","Vireo olivaceus","Vireo olivaceus"
6270,1,-1,-1,1,1,-1,-1,"Invertebrate","LC","LT","Passeriformes","Vireonidae","Vireo","gilvus","Warbling Vireo","Vireo gilvus","Vireo gilvus"
6310,0.191844300278036,0.54672131147541,-0.961852861035422,0.362624821683311,-0.355828220858894,-0.985347985347983,-0.418416801292406,"Invertebrate","LC","LT","Passeriformes","Vireonidae","Vireo","griseus","White-eyed Vireo","Vireo griseus","Vireo griseus"
6520,-0.588360539389638,-0.797951536215963,-0.688084840923269,-0.863927716425979,0.8952,-0.119496855345911,-0.431192660550457,"Invertebrate","LC","UT","Passeriformes","Parulidae","Setophaga","petechia","Yellow Warbler","Setophaga petechia","Dendroica petechia"
6590,0.51673469387755,-0.145294284901905,-0.965250965250964,0.732732732732733,-0.41387024608501,0.112236286919831,0.477839335180055,"Invertebrate","LC","LT","Passeriformes","Parulidae","Setophaga","pensylvanica","Chestnut-sided Warbler","Setophaga pensylvanica","Dendroica pensylvanica"
6670,-1,-1,-1,-1,1,1,1,"Invertebrate","LC","UT","Passeriformes","Parulidae","Setophaga","virens","Black-throated Green Warbler","Setophaga virens","Dendroica virens"
6710,-1,-1,1,1,-1,1,-1,"Invertebrate","LC","UT","Passeriformes","Parulidae","Setophaga","pinus","Pine Warbler","Setophaga pinus","Dendroica pinus"
6740,0.27666896077082,-0.581010650351235,-0.966601178781924,0.703049159925326,0.162191192266382,-0.0787684926029585,0.379614325068871,"Invertebrate","LC","LT","Passeriformes","Parulidae","Seiurus","aurocapilla","Ovenbird","Seiurus aurocapilla","Seiurus aurocapilla"
6810,-0.00999999999999939,-0.471783537886837,-0.112653250057826,0.369351231191551,0.642634924928989,-0.193548387096772,0.0825542703216623,"Invertebrate","LC","UT","Passeriformes","Parulidae","Geothlypis","trichas","Common Yellowthroat","Geothlypis trichas","Geothlypis trichas"
6830,1,-1,-0.189024390243903,0.851951547779274,0.0378006872852232,-0.454894433781189,-1,"Invertebrate","LC","LT","Passeriformes","Icteriidae","Icteria","virens","Yellow-breasted Chat","Icteria virens","Icteria virens"
6870,1,-1,-1,1,1,-1,1,"Invertebrate","LC","LT","Passeriformes","Parulidae","Setophaga","ruticilla","American Redstart","Setophaga ruticilla","Setophaga ruticilla"
6882,0.128994892855263,-0.496646455409061,0.106825775656325,0.138913057828212,0.710248976022828,-0.176745042666827,-0.175721807556558,"PlantSeed","LC","LT","Passeriformes","Passeridae","Passer","domesticus","House Sparrow","Passer domesticus","Passer domesticus"
7030,-0.00825059432247131,-0.425959243620342,-0.331133113311332,-0.232673868187887,0.548098434004475,-0.601789709172258,-0.4533527696793,"Omnivore","LC","UT","Passeriformes","Mimidae","Mimus","polyglottos","Northern Mockingbird","Mimus polyglottos","Mimus polyglottos"
7040,-0.0804234476220541,-0.861951311306408,-0.220977596741343,-0.30189495647724,0.919087819318058,0.19330919123987,-0.0996839988509044,"Invertebrate","LC","UT","Passeriformes","Mimidae","Dumetella","carolinensis","Gray Catbird","Dumetella carolinensis","Dumetella carolinensis"
7050,-1,-1,-1,1,1,-0.219999999999997,-1,"Omnivore","LC","UT","Passeriformes","Mimidae","Toxostoma","rufum","Brown Thrasher","Toxostoma rufum","Toxostoma rufum"
7180,0.573831428305919,-0.824828840393666,0.197898423817866,0.0630708254351195,0.136460142829571,-0.371299342105261,0.0415525114155268,"Invertebrate","LC","LT","Passeriformes","Troglodytidae","Thryothorus","ludovicianus","Carolina Wren","Thryothorus ludovicianus","Thryothorus ludovicianus"
7210,-0.607781037960982,-0.529533351491662,-0.217452006980802,0.394613434727504,0.624172185430465,-0.220952911674561,0.0234246123391638,"Invertebrate","LC","UT","Passeriformes","Troglodytidae","Troglodytes","aedon","House Wren","Troglodytes aedon","Troglodytes aedon"
7222,-1,-1,-1,-1,1,1,1,"Invertebrate","LC","UT","Passeriformes","Troglodytidae","Troglodytes","hiemalis","Winter Wren","Troglodytes hiemalis","Troglodytes troglodytes"
7310,0.193301435406699,-0.635428151414921,-0.222198776113102,-0.411333241417345,0.436981590127453,-0.46705020920502,-0.692873969375735,"Invertebrate","LC","LT","Passeriformes","Paridae","Baeolophus","bicolor","Tufted Titmouse","Baeolophus bicolor","Baeolophus bicolor"
7350,-0.237918215613383,-0.393027629104586,-0.529411764705878,0.886554004408523,0.125000000000002,0.154613466334164,0.097972972972974,"Invertebrate","LC","UT","Passeriformes","Paridae","Poecile","atricapillus","Black-capped Chickadee","Poecile atricapillus","Parus atricapillus"
7360,1,1,-1,1,-1,1,1,"Invertebrate","LC","LT","Passeriformes","Paridae","Poecile","carolinensis","Carolina Chickadee","Poecile carolinensis","Parus carolinensis"
7550,-0.390535451121663,-0.72926731078905,-0.636555731642893,-0.0369448447530461,0.867969598262758,0.187359928283282,-0.223210107627515,"Invertebrate","LC","UT","Passeriformes","Turdidae","Hylocichla","mustelina","Wood Thrush","Hylocichla mustelina","Hylocichla mustelina"
7560,-0.644363636363636,-0.760465552844003,-0.981818181818181,0.786003327226988,0.768500948766604,0.217423133235726,0.394564198687913,"Omnivore","LC","UT","Passeriformes","Turdidae","Catharus","fuscescens","Veery","Catharus fuscescens","Catharus fuscescens"
7610,0.0598686751641553,-0.427167629329553,0.251199097150385,0.115729165025403,0.46853410375581,-0.203180212014135,-0.28748665955176,"Omnivore","LC","LT","Passeriformes","Turdidae","Turdus","migratorius","American Robin","Turdus migratorius","Turdus migratorius"
7660,0.950392724266226,0.3070810524457,-0.514476614699329,0.725183075671277,0.240938166311302,-0.334006054490412,0.279747832939326,"Invertebrate","LC","LT","Passeriformes","Turdidae","Sialia","sialis","Eastern Bluebird","Sialia sialis","Sialia sialis"
