"AOU","nint","tail95","abs.avg.td.ab.sig","fab.sig","ftas.sig","ftas5.sig","abs.avg.td.tas5.sig","fpr.sig","fpr5.sig","abs.avg.td.pr5.sig","ORDER","Family","Genus","Species","English_Common_Name","ScientificName","BirdTreeName"
4230,5308,"UT",0.000830906737315839,-0.183836309053563,0.284729778745013,0.694465164851559,0.000220001890513038,-0.457610194884597,0.5387448305008,0.000292727816415026,"Apodiformes","Apodidae","Chaetura","pelagica","Chimney Swift","Chaetura pelagica","Chaetura pelagica"
4430,410,"UT",0.00126922750063738,-1,NA,NA,0,NA,NA,0,"Passeriformes","Tyrannidae","Tyrannus","forficatus","Scissor-tailed Flycatcher","Tyrannus forficatus","Tyrannus forficatus"
4440,5095,"UT",0.000450638210406868,-0.280069485394516,-0.116983791402395,-0.059638213680045,0.000241953407898021,-0.162144922605885,0.0826352559746595,0.000419976965905175,"Passeriformes","Tyrannidae","Tyrannus","tyrannus","Eastern Kingbird","Tyrannus tyrannus","Tyrannus tyrannus"
4470,448,"UT",0.00282051082628173,-0.564318213153178,-0.734192509061619,-0.369257950530035,0.000440206570433051,NA,-0.607821229050279,0.000749631466094881,"Passeriformes","Tyrannidae","Tyrannus","verticalis","Western Kingbird","Tyrannus verticalis","Tyrannus verticalis"
4520,5779,"UT",0.000721071668235284,-0.0414314979723232,-0.562756732085805,0.431178310740355,0.000231283157268326,-0.277710621748042,-0.110438838168297,0.000450724577926094,"Passeriformes","Tyrannidae","Myiarchus","crinitus","Great Crested Flycatcher","Myiarchus crinitus","Myiarchus crinitus"
4540,141,"LT",0.00158894902018929,1,NA,-1,0.00102552697259495,NA,NA,0,"Passeriformes","Tyrannidae","Myiarchus","cinerascens","Ash-throated Flycatcher","Myiarchus cinerascens","Myiarchus cinerascens"
4560,6172,"UT",0.00119275315519566,-0.533936009087467,0.0850134408602159,0.916089965397924,0.000587343990280936,-0.490068669188491,0.662475061962839,0.000698700063359295,"Passeriformes","Tyrannidae","Sayornis","phoebe","Eastern Phoebe","Sayornis phoebe","Sayornis phoebe"
4610,7091,"UT",0.000826340696873939,-0.287685080573229,-0.0822812363952976,0.779217121937482,0.000261729423910272,-0.610041686872302,0.409625674049324,0.000166630458594928,"Passeriformes","Tyrannidae","Contopus","virens","Eastern Wood-Pewee","Contopus virens","Contopus virens"
4620,187,"LT",0.00115709254877117,1,NA,1,0.000483519350090369,-1,NA,0,"Passeriformes","Tyrannidae","Contopus","sordidulus","Western Wood-Pewee","Contopus sordidulus","Contopus sordidulus"
4641,66,"UT",0.00232815964523282,-1,NA,NA,0,-1,NA,0,"Passeriformes","Tyrannidae","Empidonax","difficilis","Pacific-slope Flycatcher","Empidonax difficilis","Empidonax difficilis"
4650,1256,"UT",0.000763166071151157,-0.06034169392948,NA,1,6.78277369670876e-05,-1,-0.298543046357616,0.000563897419963911,"Passeriformes","Tyrannidae","Empidonax","virescens","Acadian Flycatcher","Empidonax virescens","Empidonax virescens"
4660,456,"UT",0.00114080934042423,-1,1,-0.0841530054644799,0.000349578213827251,-1,0.0825688073394494,0.000414835752608538,"Passeriformes","Tyrannidae","Empidonax","traillii","Willow Flycatcher","Empidonax traillii","Empidonax traillii"
4661,519,"LT",0.00146791269729378,0.159387148410702,NA,1,0.00032862715084624,-1,1,0.000540529304803942,"Passeriformes","Tyrannidae","Empidonax","alnorum","Alder Flycatcher","Empidonax alnorum","Empidonax alnorum"
4670,1246,"LT",0.000234758194864682,0.0422870756402622,-0.123204837490552,1,0.000220776170155648,1,1,9.4636796472916e-05,"Passeriformes","Tyrannidae","Empidonax","minimus","Least Flycatcher","Empidonax minimus","Empidonax minimus"
4740,2159,"UT",0.00179912948471111,-0.121367061356297,0.751417769376182,0.501541810266643,0.000889720205347359,-0.121653546135983,0.800921862879066,0.0012724644993084,"Passeriformes","Alaudidae","Eremophila","alpestris","Horned Lark","Eremophila alpestris","Eremophila alpestris"
4750,165,"UT",0.000929152148664344,-1,-1,-1,0.000539541759053954,1,-0.0230200996392374,0.00330945477286941,"Passeriformes","Corvidae","Pica","hudsonia","Black-billed Magpie","Pica hudsonia","Pica hudsonia"
4770,13618,"UT",0.000554490034966019,-0.195210299240938,-0.0461837627613026,0.646526615851769,0.000206441771318244,-0.52948941951701,0.471004721793117,0.000358680087872011,"Passeriformes","Corvidae","Cyanocitta","cristata","Blue Jay","Cyanocitta cristata","Cyanocitta cristata"
4812,196,"UT",0.00156349996444571,-1,NA,1,0.00238569295313944,NA,NA,0,"Passeriformes","Corvidae","Aphelocoma","californica","California Scrub-Jay","Aphelocoma californica","Aphelocoma californica"
4860,389,"UT",0.000826742384206802,-0.055254604550379,NA,NA,0,-1,NA,0,"Passeriformes","Corvidae","Corvus","corax","Common Raven","Corvus corax","Corvus corax"
4880,15436,"UT",0.00217562448725082,-0.266136051161802,0.0725006700616462,0.692779501696699,0.000621956636957996,-0.485404260584928,0.443171896072784,0.000991993611957423,"Passeriformes","Corvidae","Corvus","brachyrhynchos","American Crow","Corvus brachyrhynchos","Corvus brachyrhynchos"
4930,12796,"LT",0.000606080079467342,0.206397699703477,0.146406727828747,0.783036626687463,0.000253141497833055,-0.704893238903656,0.366331816118208,0.000448487254810594,"Passeriformes","Sturnidae","Sturnus","vulgaris","European Starling","Sturnus vulgaris","Sturnus vulgaris"
4940,2003,"UT",0.00081358798039874,-0.0810348514004704,0.033914728682171,0.543624161073826,0.000194394818921444,0.0745140388768899,-0.0634786288616164,0.000442675573881205,"Passeriformes","Icteridae","Dolichonyx","oryzivorus","Bobolink","Dolichonyx oryzivorus","Dolichonyx oryzivorus"
4950,10507,"LT",0.000693730312196051,0.0859246157890964,0.390909090909091,0.890739205787055,0.000220045770050761,-0.286549813382236,0.298073841404642,0.000309520186881532,"Passeriformes","Icteridae","Molothrus","ater","Brown-headed Cowbird","Molothrus ater","Molothrus ater"
