"AOU","nint","tail95","abs.avg.td.ab.sig","fab.sig","ftas.sig","ftas5.sig","abs.avg.td.tas5.sig","fpr.sig","fpr5.sig","abs.avg.td.pr5.sig","ORDER","Family","Genus","Species","English_Common_Name","ScientificName","BirdTreeName"
6882,9990,"UT",0.00182963576140853,-0.0619549656431489,0.457331136738057,0.826416046423616,0.000414717853742244,-0.276902343527889,0.301647982956222,0.000782099087816041,"Passeriformes","Passeridae","Passer","domesticus","House Sparrow","Passer domesticus","Passer domesticus"
7030,5298,"LT",0.00114292685557498,0.460712949909371,-0.635294117647058,-0.197128378378378,0.000389338952441458,-0.0564562955022557,-0.253322988269999,0.000345958165014902,"Passeriformes","Mimidae","Mimus","polyglottos","Northern Mockingbird","Mimus polyglottos","Mimus polyglottos"
7040,9202,"LT",0.000882686459824354,0.0506393448091207,-0.0552971576227383,0.970946334326174,0.000362309511566566,-0.735618435183281,0.420425168764309,0.000295607472504972,"Passeriformes","Mimidae","Dumetella","carolinensis","Gray Catbird","Dumetella carolinensis","Dumetella carolinensis"
7050,5384,"UT",0.000458028951442136,-0.128647121158601,0.176470588235294,0.604714064914992,0.00016748554239947,-0.226720640581496,0.667496555558241,0.000360415754831911,"Passeriformes","Mimidae","Toxostoma","rufum","Brown Thrasher","Toxostoma rufum","Toxostoma rufum"
7180,4216,"UT",0.00221517993507395,-0.273080008207883,-0.267842493847416,0.109767737830099,0.000519507566992178,-0.757062420598466,0.0229156717158664,0.000679716061284705,"Passeriformes","Troglodytidae","Thryothorus","ludovicianus","Carolina Wren","Thryothorus ludovicianus","Thryothorus ludovicianus"
7190,96,"UT",0.00139735772357724,-1,NA,0.51668584579977,0.00157701800232288,NA,NA,0,"Passeriformes","Troglodytidae","Thryomanes","bewickii","Bewick's Wren","Thryomanes bewickii","Thryomanes bewickii"
7210,8131,"UT",0.00120637038641604,-0.298992246788648,0.292508917954816,0.959168305233653,0.000512149269989634,-0.575745410672654,0.37392674077804,0.000446782205918423,"Passeriformes","Troglodytidae","Troglodytes","aedon","House Wren","Troglodytes aedon","Troglodytes aedon"
7221,42,"UT",0.00347187655550025,-1,1,NA,0,-1,NA,0,"Passeriformes","Troglodytidae","Troglodytes","pacificus","Pacific Wren","Troglodytes pacificus","Troglodytes troglodytes"
7222,166,"UT",0.00506905671466353,-1,-0.170247933884297,1,0.000373619915200873,-0.358202628232302,1,0.0017498700241868,"Passeriformes","Troglodytidae","Troglodytes","hiemalis","Winter Wren","Troglodytes hiemalis","Troglodytes troglodytes"
7240,85,"UT",0.00150030744004919,-1,1,NA,0,NA,-1,0.00149431630062907,"Passeriformes","Troglodytidae","Cistothorus","platensis","Sedge Wren","Cistothorus platensis","Cistothorus platensis"
7270,1613,"LT",8.37057790469854e-05,1,NA,1,0.000223359420734408,-0.613399891742347,1,0.000249881519074415,"Passeriformes","Sittidae","Sitta","carolinensis","White-breasted Nuthatch","Sitta carolinensis","Sitta carolinensis"
7280,197,"LT",0.000692442384902457,1,1,NA,0,NA,1,0.000582613498919058,"Passeriformes","Sittidae","Sitta","canadensis","Red-breasted Nuthatch","Sitta canadensis","Sitta canadensis"
7310,7931,"LT",0.00132664264121251,0.316322813524522,0.659377070907886,0.685186361038796,0.000345949845290192,-0.886838269229199,-0.160968740156021,0.000319163431879511,"Passeriformes","Paridae","Baeolophus","bicolor","Tufted Titmouse","Baeolophus bicolor","Baeolophus bicolor"
7350,4711,"LT",0.000705776457649345,0.394288708409746,-0.103780068728522,0.930110658124636,0.000253983374961263,-0.211265754144963,0.714378217981652,0.000803986936872355,"Passeriformes","Paridae","Poecile","atricapillus","Black-capped Chickadee","Poecile atricapillus","Parus atricapillus"
7360,2766,"UT",0.000564721947188483,-0.28552308721838,0.861351819757366,-0.186206896551724,0.000255718392324921,-0.850235745453481,0.257641522364874,0.000371147775385646,"Passeriformes","Paridae","Poecile","carolinensis","Carolina Chickadee","Poecile carolinensis","Parus carolinensis"
7380,48,"LT",0.00646414053426249,1,1,NA,0,NA,NA,0,"Passeriformes","Paridae","Poecile","gambeli","Mountain Chickadee","Poecile gambeli","Parus gambeli"
7410,41,"LT",0.00493328800883828,1,NA,NA,0,-1,-1,0.00550725300874022,"Passeriformes","Paridae","Poecile","rufescens","Chestnut-backed Chickadee","Poecile rufescens","Parus rufescens"
7510,1153,"UT",0.00142228575054924,-0.368532880059492,0.461262553802009,-0.720785935884177,0.000292223588819955,-0.457997936016512,0.140502480396863,0.000508421623011347,"Passeriformes","Polioptilidae","Polioptila","caerulea","Blue-gray Gnatcatcher","Polioptila caerulea","Polioptila caerulea"
7540,5,"LT",0.0291637630662021,1,NA,NA,0,NA,NA,0,"Passeriformes","Turdidae","Myadestes","townsendi","Townsend's Solitaire","Myadestes townsendi","Myadestes townsendi"
7550,7816,"UT",0.000705602508058434,-0.233761469738971,-1,0.947542220964242,0.000236248167789472,-0.877053585454786,0.00823127885966662,0.000328804290424607,"Passeriformes","Turdidae","Hylocichla","mustelina","Wood Thrush","Hylocichla mustelina","Hylocichla mustelina"
7560,2550,"LT",0.000668374666939947,0.12296841459675,-0.303921568627451,0.746478873239437,0.000140670902507344,-1,0.785778738798584,0.000339333692758215,"Passeriformes","Turdidae","Catharus","fuscescens","Veery","Catharus fuscescens","Catharus fuscescens"
7580,176,"UT",0.00083247545137789,-1,-1,NA,0,-1,NA,0,"Passeriformes","Turdidae","Catharus","ustulatus","Swainson's Thrush","Catharus ustulatus","Catharus ustulatus"
7590,605,"UT",0.00155068647074058,-0.685055097843962,0.333333333333333,1,8.09168658392605e-05,-1,1,0.00152552694333287,"Passeriformes","Turdidae","Catharus","guttatus","Hermit Thrush","Catharus guttatus","Catharus guttatus"
7610,15346,"LT",0.0021125935505785,0.186157235746144,-0.00167351285562092,0.85310672714356,0.000415480137374776,-0.508003552461594,0.652756188158652,0.000670209370872146,"Passeriformes","Turdidae","Turdus","migratorius","American Robin","Turdus migratorius","Turdus migratorius"
7660,4201,"LT",0.00173602269909189,0.355405857340787,0.254810742228802,0.0433268016546922,0.000380944639860926,-0.314506310937224,-0.0208029861616899,0.000490547010829638,"Passeriformes","Turdidae","Sialia","sialis","Eastern Bluebird","Sialia sialis","Sialia sialis"
