AOU,fLU_ab,fLU_pr,fLU_tas,fLU_tasmax,fLU_tasmin,Diet.5Cat,IUCN_status,tail,ORDER,Family,Genus,Species,English_Common_Name,ScientificName,BirdTreeName,comments
2730,0.082742892,-0.16119319,0.583069305,0.543611334,0.479904427,Invertebrate,LC,LT,Charadriiformes,Charadriidae,Charadrius,vociferus,Killdeer,Charadrius vociferus,Charadrius vociferus,
2890,-0.121818799,-0.057701753,0.487923007,0.211820111,0.383845384,PlantSeed,NT,UT,Galliformes,Odontophoridae,Colinus,virginianus,Northern Bobwhite,Colinus virginianus,Colinus virginianus,
2920,1,-0.791065776,0.715504979,0.993322204,0.61774744,PlantSeed,LC,LT,Galliformes,Odontophoridae,Oreortyx,pictus,Mountain Quail,Oreortyx pictus,Oreortyx pictus,
2930,0.2934338,0.368362473,-0.037488285,-0.229900043,0.429996882,PlantSeed,LC,LT,Galliformes,Odontophoridae,Callipepla,squamata,Scaled Quail,Callipepla squamata,Callipepla squamata,
2940,0.251761104,-0.172603932,-0.21771585,0.546388927,-0.216106511,PlantSeed,LC,LT,Galliformes,Odontophoridae,Callipepla,californica,California Quail,Callipepla californica,Callipepla californica,
2950,0.175592625,0.776129494,0.217802503,0.72208589,0.761207479,PlantSeed,LC,LT,Galliformes,Odontophoridae,Callipepla,gambelii,Gambel's Quail,Callipepla gambelii,Callipepla gambelii,
3091,-0.292940281,0.274533305,0.24496052,-0.062991501,0.34857255,PlantSeed,LC,UT,Galliformes,Phasianidae,Phasianus,colchicus,Ring-necked Pheasant,Phasianus colchicus,Phasianus colchicus,
3120,0.548387097,-0.512235587,-0.331416247,-0.651389932,-0.567447046,PlantSeed,LC,LT,Columbiformes,Columbidae,Patagioenas,fasciata,Band-tailed Pigeon,Patagioenas fasciata,Patagioenas fasciata,
3131,-0.156383629,-0.311069707,0.58180531,0.805631686,0.386278522,PlantSeed,LC,UT,Columbiformes,Columbidae,Columba,livia,Rock Pigeon,Columba livia,Columba livia,
3160,-0.066147296,-0.386113595,0.467539215,0.596615109,0.262713812,PlantSeed,LC,UT,Columbiformes,Columbidae,Zenaida,macroura,Mourning Dove,Zenaida macroura,Zenaida macroura,
3190,-0.629139073,0.675239834,0.151294498,0.486349848,0.742162321,PlantSeed,LC,UT,Columbiformes,Columbidae,Zenaida,asiatica,White-winged Dove,Zenaida asiatica,Zenaida asiatica,
3200,-0.579158317,0.906100478,-0.226199543,-0.071707953,-0.583333333,Omnivore,LC,UT,Columbiformes,Columbidae,Columbina,passerina,Common Ground Dove,Columbina passerina,Columbina passerina,
3250,-0.205676676,-0.326461932,0.208332248,0.356138033,0.051546392,VertFishScav,LC,UT,Cathartiformes,Cathartidae,Cathartes,aura,Turkey Vulture,Cathartes aura,Cathartes aura,
3260,-1,0.437674384,-0.748090027,-0.3562837,-0.716923077,VertFishScav,LC,UT,Cathartiformes,Cathartidae,Coragyps,atratus,Black Vulture,Coragyps atratus,Coragyps atratus,
3310,-1,0.955103472,-0.873015873,-0.923076923,-0.636363636,VertFishScav,LC,UT,Accipitriformes,Accipitridae,Circus,hudsonius,Northern Harrier,Circus hudsonius,Circus cyaneus,
3370,-0.095496894,0.110668156,0.15901733,0.111454353,0.151746032,VertFishScav,LC,UT,Accipitriformes,Accipitridae,Buteo,jamaicensis,Red-tailed Hawk,Buteo jamaicensis,Buteo jamaicensis,
3390,0.04518664,0.632702974,-0.432848965,0.264714946,-0.544827586,VertFishScav,LC,LT,Accipitriformes,Accipitridae,Buteo,lineatus,Red-shouldered Hawk,Buteo lineatus,Buteo lineatus,
3420,-0.793103448,0.58758497,0.119561494,-0.210067764,0.329102448,VertFishScav,LC,UT,Accipitriformes,Accipitridae,Buteo,swainsoni,Swainson's Hawk,Buteo swainsoni,Buteo swainsoni,
3600,-0.340153453,-0.121200316,0.531851852,0.45003873,0.621109608,Invertebrate,LC,UT,Falconiformes,Falconidae,Falco,sparverius,American Kestrel,Falco sparverius,Falco sparverius,
3850,-0.302970297,1,-1,1,1,VertFishScav,LC,UT,Cuculiformes,Cuculidae,Geococcyx,californianus,Greater Roadrunner,Geococcyx californianus,Geococcyx californianus,
3870,-0.147153015,0.140601826,0.444952497,0.053533487,0.251622729,Invertebrate,LC,UT,Cuculiformes,Cuculidae,Coccyzus,americanus,Yellow-billed Cuckoo,Coccyzus americanus,Coccyzus americanus,
3930,-1,-0.494725335,0.040421793,0.593474427,-0.583957691,Invertebrate,LC,UT,Piciformes,Picidae,Dryobates,villosus,Hairy Woodpecker,Dryobates villosus,Picoides villosus,manual
3940,0.052294377,-0.444047988,0.442896936,0.571874949,0.130831879,Invertebrate,LC,LT,Piciformes,Picidae,Dryobates,pubescens,Downy Woodpecker,Dryobates pubescens,Picoides pubescens,
3970,-1,0.324822695,-0.615763547,0.452523524,0.146838156,Invertebrate,LC,UT,Piciformes,Picidae,Dryobates,nuttallii,Nuttall's Woodpecker,Dryobates nuttallii,Picoides nuttallii,
3990,-1,-0.963386728,1,1,0.784090909,Invertebrate,LC,UT,Piciformes,Picidae,Dryobates,albolarvatus,White-headed Woodpecker,Dryobates albolarvatus,Picoides albolarvatus,manual
4020,-0.469927562,-0.099561563,-0.258840627,0.415297316,-0.683359915,Omnivore,LC,UT,Piciformes,Picidae,Sphyrapicus,varius,Yellow-bellied Sapsucker,Sphyrapicus varius,Sphyrapicus varius,
4050,0.041841004,-0.301087957,0.594003365,0.680890285,0.227824151,Invertebrate,LC,LT,Piciformes,Picidae,Dryocopus,pileatus,Pileated Woodpecker,Dryocopus pileatus,Dryocopus pileatus,
4060,-0.088484848,-0.22642925,0.09775525,0.046223224,0.308052833,Invertebrate,LC,UT,Piciformes,Picidae,Melanerpes,erythrocephalus,Red-headed Woodpecker,Melanerpes erythrocephalus,Melanerpes erythrocephalus,
4070,-1,-0.670028329,-0.523360076,0.332880435,-0.50108272,PlantSeed,LC,UT,Piciformes,Picidae,Melanerpes,formicivorus,Acorn Woodpecker,Melanerpes formicivorus,Melanerpes formicivorus,
4090,0.02827275,-0.398592912,0.621839254,0.623934418,0.42308187,Omnivore,LC,LT,Piciformes,Picidae,Melanerpes,carolinus,Red-bellied Woodpecker,Melanerpes carolinus,Melanerpes carolinus,
4110,0.31496063,0.894359555,0.060734463,0.286510591,0.922371207,Omnivore,LC,LT,Piciformes,Picidae,Melanerpes,uropygialis,Gila Woodpecker,Melanerpes uropygialis,Melanerpes uropygialis,
4120,-0.059003215,-0.787779704,0.631059338,0.839805006,0.325790489,Invertebrate,LC,UT,Piciformes,Picidae,Colaptes,auratus auratus,(Yellow-shafted Flicker) Northern Flicker,Colaptes auratus auratus,Colaptes auratus,manual
4130,-0.108476065,-0.212170947,0.08667967,0.439749329,0.007651195,Invertebrate,LC,UT,Piciformes,Picidae,Colaptes,auratus cafer,(Red-shafted Flicker) Northern Flicker,Colaptes auratus cafer,Colaptes auratus,manual
4160,-1,-0.120146284,0.717806531,0.249406176,-0.183756345,Invertebrate,NT,UT,Caprimulgiformes,Caprimulgidae,Antrostomus,carolinensis,Chuck-will's-widow,Antrostomus carolinensis,Caprimulgus carolinensis,
