AOU,fLU_ab,fLU_pr,fLU_tas,fLU_tasmax,fLU_tasmin,Diet.5Cat,IUCN_status,tail,ORDER,Family,Genus,Species,English_Common_Name,ScientificName,BirdTreeName,comments
5420,-0.259317974,0.040654101,0.226142715,0.179880206,0.088493388,Omnivore,LC,UT,Passeriformes,Passerellidae,Passerculus,sandwichensis,Savannah Sparrow,Passerculus sandwichensis,Passerculus sandwichensis,
5460,0.040188484,-0.173604109,0.146642713,0.066263089,0.061058785,Invertebrate,LC,LT,Passeriformes,Passerellidae,Ammodramus,savannarum,Grasshopper Sparrow,Ammodramus savannarum,Ammodramus savannarum,
5480,-1,0.813842482,-0.714285714,-0.015706806,-0.11827957,PlantSeed,LC,UT,Passeriformes,Passerellidae,Ammospiza,leconteii,LeConte's Sparrow,Ammospiza leconteii,Ammodramus leconteii,
5520,0.198441558,0.245764314,0.147725145,0.08984608,0.229232742,PlantSeed,LC,LT,Passeriformes,Passerellidae,Chondestes,grammacus,Lark Sparrow,Chondestes grammacus,Chondestes grammacus,
5540,0.176352705,-0.36242378,-0.031487062,-0.019072228,-0.11115437,PlantSeed,LC,LT,Passeriformes,Passerellidae,Zonotrichia,leucophrys,White-crowned Sparrow,Zonotrichia leucophrys,Zonotrichia leucophrys,
5570,1,-1,0.818181818,-0.291139241,1,PlantSeed,LC,LT,Passeriformes,Passerellidae,Zonotrichia,atricapilla,Golden-crowned Sparrow,Zonotrichia atricapilla,Zonotrichia atricapilla,
5580,-0.284677016,0.082469729,-0.01848311,-0.037595402,-0.636529959,PlantSeed,LC,UT,Passeriformes,Passerellidae,Zonotrichia,albicollis,White-throated Sparrow,Zonotrichia albicollis,Zonotrichia albicollis,
5590,1,-0.72027972,0.866666667,0.494736842,1,Omnivore,LC,LT,Passeriformes,Passerellidae,Spizelloides,arborea,American Tree Sparrow,Spizelloides arborea,Spizella arborea,manual (BL to BT)
5600,0.040010381,-0.521518163,0.510562725,0.708948056,0.170254637,PlantSeed,LC,LT,Passeriformes,Passerellidae,Spizella,passerina,Chipping Sparrow,Spizella passerina,Spizella passerina,
5610,0.046942291,0.22627934,-0.351862631,-0.496089677,-0.327637006,PlantSeed,LC,LT,Passeriformes,Passerellidae,Spizella,pallida,Clay-colored Sparrow,Spizella pallida,Spizella pallida,
5620,-0.523868568,0.30597713,0.773152256,0.751966408,0.878624079,Omnivore,LC,UT,Passeriformes,Passerellidae,Spizella,breweri,Brewer's Sparrow,Spizella breweri,Spizella breweri,
5630,-0.040805767,-0.664600115,0.688330222,0.806203578,0.393249974,PlantSeed,LC,UT,Passeriformes,Passerellidae,Spizella,pusilla,Field Sparrow,Spizella pusilla,Spizella pusilla,
5660,-1,-1,0.882352941,-0.873417722,-0.666666667,PlantSeed,LC,UT,Passeriformes,Passerellidae,Junco,hyemalis aikeni,(White-winged Junco) Dark-eyed Junco,Junco hyemalis aikeni,Junco hyemalis,manual (subspecies not found)
5670,0.453508772,-0.469003447,0.594715735,0.827423528,0.143856921,PlantSeed,LC,LT,Passeriformes,Passerellidae,Junco,hyemalis hyemalis,(Slate-colored Junco) Dark-eyed Junco,Junco hyemalis hyemalis,Junco hyemalis,manual (subspecies not found)
5671,-0.278678304,-0.318346665,-0.179933228,0.319829339,-0.42646569,PlantSeed,LC,UT,Passeriformes,Passerellidae,Junco,hyemalis oreganus,(Oregon Junco) Dark-eyed Junco,Junco hyemalis oreganus,Junco hyemalis,manual (subspecies not found)
5690,-0.073722182,-0.354766748,0.323638614,0.665872385,0.691005803,PlantSeed,LC,UT,Passeriformes,Passerellidae,Junco,hyemalis caniceps,(Gray-headed Junco) Dark-eyed Junco,Junco hyemalis caniceps,Junco hyemalis,manual (subspecies not found)
5730,-0.294493216,0.294762735,0.323276765,0.677247503,0.750709019,Omnivore,LC,UT,Passeriformes,Passerellidae,Amphispiza,bilineata,Black-throated Sparrow,Amphispiza bilineata,Amphispiza bilineata,
5780,0.359725521,0.157564106,0.026929982,0.051419169,0.105691057,Invertebrate,LC,LT,Passeriformes,Passerellidae,Peucaea,cassinii,Cassin's Sparrow,Peucaea cassinii,Aimophila cassinii,
5810,-0.112070287,-0.498445147,0.386310453,0.64964965,0.076091864,Omnivore,LC,UT,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,Melospiza melodia,Melospiza melodia,
5830,-0.076555024,-0.213098692,0.307320699,0.416309013,0.513992796,Omnivore,LC,UT,Passeriformes,Passerellidae,Melospiza,lincolnii,Lincoln's Sparrow,Melospiza lincolnii,Melospiza lincolnii,
5840,-0.316087308,-0.197131593,0.107641742,0.502762431,-0.264625741,Omnivore,LC,UT,Passeriformes,Passerellidae,Melospiza,georgiana,Swamp Sparrow,Melospiza georgiana,Melospiza georgiana,
5850,1,-0.862845651,0.767509025,0.900591716,0.673740053,Omnivore,LC,LT,Passeriformes,Passerellidae,Passerella,iliaca,Fox Sparrow,Passerella iliaca,Passerella iliaca,
5870,-0.01468111,-0.669339102,0.70630356,0.799005117,0.38785461,Omnivore,LC,UT,Passeriformes,Passerellidae,Pipilo,erythrophthalmus,Eastern Towhee,Pipilo erythrophthalmus,Pipilo erythrophthalmus,
5880,0.056189846,-0.293579731,-0.277066389,0.17559876,-0.417208348,Omnivore,LC,LT,Passeriformes,Passerellidae,Pipilo,maculatus,Spotted Towhee,Pipilo maculatus,Pipilo maculatus,
5900,-0.182068966,-0.388437199,0.551511365,0.817146239,0.664524123,Omnivore,LC,UT,Passeriformes,Passerellidae,Pipilo,chlorurus,Green-tailed Towhee,Pipilo chlorurus,Pipilo chlorurus,
5910,0.318485523,0.470453504,0.441029307,0.785063752,0.332452082,PlantSeed,LC,LT,Passeriformes,Passerellidae,Melozone,fusca,Canyon Towhee,Melozone fusca,Pipilo fuscus,
5930,0.064244679,-0.48442226,0.565534189,0.686604771,0.339416702,PlantSeed,LC,LT,Passeriformes,Cardinalidae,Cardinalis,cardinalis,Northern Cardinal,Cardinalis cardinalis,Cardinalis cardinalis,
5940,-1,0.316202326,-0.250596659,-0.180094787,0.616334283,PlantSeed,LC,UT,Passeriformes,Cardinalidae,Cardinalis,sinuatus,Pyrrhuloxia,Cardinalis sinuatus,Cardinalis sinuatus,
5950,0.046913815,-0.345796482,0.623481216,0.72959407,0.369909841,Omnivore,LC,LT,Passeriformes,Cardinalidae,Pheucticus,ludovicianus,Rose-breasted Grosbeak,Pheucticus ludovicianus,Pheucticus ludovicianus,
5960,-0.168173599,-0.316087303,-0.419043948,0.003365201,-0.444886913,Invertebrate,LC,UT,Passeriformes,Cardinalidae,Pheucticus,melanocephalus,Black-headed Grosbeak,Pheucticus melanocephalus,Pheucticus melanocephalus,
5970,-0.063487738,0.051153937,0.676662395,0.369867078,0.301316147,Omnivore,LC,UT,Passeriformes,Cardinalidae,Passerina,caerulea,Blue Grosbeak,Passerina caerulea,Passerina caerulea,
5980,0.068416132,-0.513239594,0.676494094,0.750842732,0.424611628,PlantSeed,LC,LT,Passeriformes,Cardinalidae,Passerina,cyanea,Indigo Bunting,Passerina cyanea,Passerina cyanea,
5990,-0.233067729,-0.299769874,-0.526250517,0.618763728,-0.597274185,Omnivore,LC,UT,Passeriformes,Cardinalidae,Passerina,amoena,Lazuli Bunting,Passerina amoena,Passerina amoena,
6010,0.074545455,0.182946701,-0.80952381,-0.915530349,-0.458208058,PlantSeed,LC,LT,Passeriformes,Cardinalidae,Passerina,ciris,Painted Bunting,Passerina ciris,Passerina ciris,
6040,-0.141157556,-0.150758386,0.352944479,0.07851564,0.337476481,PlantSeed,LC,UT,Passeriformes,Cardinalidae,Spiza,americana,Dickcissel,Spiza americana,Spiza americana,
6050,-0.424866514,0.505426481,0.808243728,0.511072514,0.545991561,PlantSeed,LC,UT,Passeriformes,Passerellidae,Calamospiza,melanocorys,Lark Bunting,Calamospiza melanocorys,Calamospiza melanocorys,
6070,-0.157954846,-0.27614834,-0.253131647,0.179519025,-0.331375198,Invertebrate,LC,UT,Passeriformes,Cardinalidae,Piranga,ludoviciana,Western Tanager,Piranga ludoviciana,Piranga ludoviciana,
6080,0.127952943,-0.877414608,0.648201765,0.893194089,0.213884127,Invertebrate,LC,LT,Passeriformes,Cardinalidae,Piranga,olivacea,Scarlet Tanager,Piranga olivacea,Piranga olivacea,
6100,0.015480756,0.244306285,0.718725833,0.165300438,0.443391681,Invertebrate,LC,LT,Passeriformes,Cardinalidae,Piranga,rubra,Summer Tanager,Piranga rubra,Piranga rubra,
6110,0.407213496,0.04785145,0.522534214,0.185833754,0.254115484,Invertebrate,LC,LT,Passeriformes,Hirundinidae,Progne,subis,Purple Martin,Progne subis,Progne subis,
6120,0.030416823,0.265073798,0.284576271,0.246167944,0.28335586,Invertebrate,LC,LT,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota,Cliff Swallow,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,
6130,-0.069620116,-0.434851568,0.514856004,0.606823239,0.308431611,Invertebrate,LC,UT,Passeriformes,Hirundinidae,Hirundo,rustica,Barn Swallow,Hirundo rustica,Hirundo rustica,
6140,0.073580337,-0.36541718,0.159828039,0.537917473,-0.236874161,Invertebrate,LC,LT,Passeriformes,Hirundinidae,Tachycineta,bicolor,Tree Swallow,Tachycineta bicolor,Tachycineta bicolor,
6150,0.095859992,-0.420544106,-0.204431417,-0.170985047,-0.159182827,Invertebrate,LC,LT,Passeriformes,Hirundinidae,Tachycineta,thalassina,Violet-green Swallow,Tachycineta thalassina,Tachycineta thalassina,
6160,-0.503546099,0.676677616,-0.785440613,-0.688581315,-0.471428571,Invertebrate,LC,UT,Passeriformes,Hirundinidae,Riparia,riparia,Bank Swallow,Riparia riparia,Riparia riparia,
6170,-0.259090909,-0.385145677,0.688114388,0.6,0.53832033,Invertebrate,LC,UT,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis,Northern Rough-winged Swallow,Stelgidopteryx serripennis,Stelgidopteryx serripennis,
6190,0.012466277,-0.568274214,0.215891562,0.641431542,-0.18498824,FruiNect,LC,LT,Passeriformes,Bombycillidae,Bombycilla,cedrorum,Cedar Waxwing,Bombycilla cedrorum,Bombycilla cedrorum,
6220,-0.240143369,0.585762242,0.126074499,0.501052632,0.33545108,Invertebrate,NT,UT,Passeriformes,Laniidae,Lanius,ludovicianus,Loggerhead Shrike,Lanius ludovicianus,Lanius ludovicianus,
6240,0.081200993,-0.569875852,0.523708437,0.73168575,0.049122267,Invertebrate,LC,LT,Passeriformes,Vireonidae,Vireo,olivaceus,Red-eyed Vireo,Vireo olivaceus,Vireo olivaceus,
6270,0.001789399,0.005491242,0.247534757,0.45216752,0.080619291,Invertebrate,LC,LT,Passeriformes,Vireonidae,Vireo,gilvus,Warbling Vireo,Vireo gilvus,Vireo gilvus,
6280,0.291420118,-0.524756639,0.786652654,0.810642865,0.48999813,Invertebrate,LC,LT,Passeriformes,Vireonidae,Vireo,flavifrons,Yellow-throated Vireo,Vireo flavifrons,Vireo flavifrons,
6290,-0.572519908,-0.325000991,0.241554836,0.7283508,-0.288391126,Invertebrate,LC,UT,Passeriformes,Vireonidae,Vireo,solitarius,Blue-headed Vireo,Vireo solitarius,Vireo solitarius,
6291,0.284164859,-0.602731163,-0.282598749,0.725795249,-0.424378186,Invertebrate,LC,LT,Passeriformes,Vireonidae,Vireo,cassinii,Cassin's Vireo,Vireo cassinii,Vireo cassinii,
6292,0.422562141,0.100811619,-0.186635945,0.32642487,0.180952381,Invertebrate,LC,LT,Passeriformes,Vireonidae,Vireo,plumbeus,Plumbeous Vireo,Vireo plumbeus,Vireo plumbeus,
6310,-0.081311838,0.244605961,0.465372199,0.251692534,0.26906992,Invertebrate,LC,UT,Passeriformes,Vireonidae,Vireo,griseus,White-eyed Vireo,Vireo griseus,Vireo griseus,
6320,-0.833333333,-0.527540048,-0.394932936,0.034819792,-0.310526316,Invertebrate,LC,UT,Passeriformes,Vireonidae,Vireo,huttoni,Hutton's Vireo,Vireo huttoni,Vireo huttoni,
6330,-0.396551724,0.559929789,-0.398416887,-0.192236599,0.800955414,Invertebrate,LC,UT,Passeriformes,Vireonidae,Vireo,bellii,Bell's Vireo,Vireo bellii,Vireo bellii,
6360,0.103661869,-0.276988042,-0.191495475,0.148291737,-0.472447056,Invertebrate,LC,LT,Passeriformes,Parulidae,Mniotilta,varia,Black-and-white Warbler,Mniotilta varia,Mniotilta varia,
6370,-0.732723896,-0.140323046,0.687366167,0.095866315,0.14747191,Invertebrate,LC,UT,Passeriformes,Parulidae,Protonotaria,citrea,Prothonotary Warbler,Protonotaria citrea,Protonotaria citrea,
6430,1,0.51565762,-0.86,-0.6,1,Invertebrate,LC,LT,Passeriformes,Parulidae,Leiothlypis,luciae,Lucy's Warbler,Leiothlypis luciae,Vermivora luciae,
6450,-0.12804878,-0.036495286,0.288705802,0.688049324,0.046848249,Invertebrate,LC,UT,Passeriformes,Parulidae,Leiothlypis,ruficapilla,Nashville Warbler,Leiothlypis ruficapilla,Vermivora ruficapilla,
6460,-0.004464286,-0.225950783,-0.117680339,-0.331619537,-0.06370282,Invertebrate,LC,UT,Passeriformes,Parulidae,Leiothlypis,celata,Orange-crowned Warbler,Leiothlypis celata,Vermivora celata,
6470,-1,1,-1,-1,-1,Invertebrate,LC,UT,Passeriformes,Parulidae,Leiothlypis,peregrina,Tennessee Warbler,Leiothlypis peregrina,Vermivora peregrina,
6480,0.070068545,0.115480103,0.309160654,0.364439032,-0.100296443,Invertebrate,LC,LT,Passeriformes,Parulidae,Setophaga,americana,Northern Parula,Setophaga americana,Parula americana,
6520,-0.162204802,-0.484908857,0.339064821,0.597869057,0.037418509,Invertebrate,LC,UT,Passeriformes,Parulidae,Setophaga,petechia,Yellow Warbler,Setophaga petechia,Dendroica aestiva,
6520,-0.162204802,-0.484908857,0.339064821,0.597869057,0.037418509,Invertebrate,LC,UT,Passeriformes,Parulidae,Setophaga,petechia,Yellow Warbler,Setophaga petechia,Dendroica petechia,
6540,-0.666868565,-0.181383792,-0.294245385,0.295482295,-0.763409258,Invertebrate,LC,UT,Passeriformes,Parulidae,Setophaga,caerulescens,Black-throated Blue Warbler,Setophaga caerulescens,Dendroica caerulescens,
6550,0.251097804,0.188338142,0.207647371,0.276166902,-0.367550538,Invertebrate,LC,LT,Passeriformes,Parulidae,Setophaga,coronata coronata,(Myrtle Warbler) Yellow-rumped Warbler,Setophaga coronata coronata,Dendroica coronata,"manual (subspecies not found, BL to BT)"
6560,-0.265748608,-0.186823143,0.119174549,0.522371968,0.019943959,Invertebrate,LC,UT,Passeriformes,Parulidae,Setophaga,coronata audoboni,(Audubon's Warbler) Yellow-rumped Warbler,Setophaga coronata audoboni,Dendroica coronata,manual (subspecies not found)
6570,-0.095447871,-0.119403231,-0.037661051,0.271370842,-0.646869984,Invertebrate,LC,UT,Passeriformes,Parulidae,Setophaga,magnolia,Magnolia Warbler,Setophaga magnolia,Dendroica magnolia,
6590,-0.196143617,-0.265445761,-0.101445455,0.455769066,-0.541644771,Invertebrate,LC,UT,Passeriformes,Parulidae,Setophaga,pensylvanica,Chestnut-sided Warbler,Setophaga pensylvanica,Dendroica pensylvanica,
6610,-1,-1,0.183673469,0.16,0.6,Invertebrate,NT,UT,Passeriformes,Parulidae,Setophaga,striata,Blackpoll Warbler,Setophaga striata,Dendroica striata,
6620,-0.077829196,-0.265103843,-0.160942761,0.628531728,-0.469087341,Invertebrate,LC,UT,Passeriformes,Parulidae,Setophaga,fusca,Blackburnian Warbler,Setophaga fusca,Dendroica fusca,
6630,-1,-0.373174689,0.870073625,0.346266902,0.088803089,Invertebrate,LC,UT,Passeriformes,Parulidae,Setophaga,dominica,Yellow-throated Warbler,Setophaga dominica,Dendroica dominica,
6650,-0.403508772,-0.581623347,-0.380382001,0.511509716,-0.464477212,Invertebrate,LC,UT,Passeriformes,Parulidae,Setophaga,nigrescens,Black-throated Gray Warbler,Setophaga nigrescens,Dendroica nigrescens,
6670,0.198838897,-0.434215871,0.290449882,0.704269518,-0.289256198,Invertebrate,LC,LT,Passeriformes,Parulidae,Setophaga,virens,Black-throated Green Warbler,Setophaga virens,Dendroica virens,
6680,1,-0.042551091,-0.463564831,-0.28565846,-0.656387665,Invertebrate,LC,LT,Passeriformes,Parulidae,Setophaga,townsendi,Townsend's Warbler,Setophaga townsendi,Dendroica townsendi,
6690,0.748717949,-0.779848947,0.036319613,0.552957359,-0.132835821,Invertebrate,LC,LT,Passeriformes,Parulidae,Setophaga,occidentalis,Hermit Warbler,Setophaga occidentalis,Dendroica occidentalis,
6710,-0.315352952,0.085021072,0.540864291,0.202490944,0.10152758,Invertebrate,LC,UT,Passeriformes,Parulidae,Setophaga,pinus,Pine Warbler,Setophaga pinus,Dendroica pinus,
6730,0.213717085,0.038751963,0.809661709,0.303085299,0.374034836,Invertebrate,LC,LT,Passeriformes,Parulidae,Setophaga,discolor,Prairie Warbler,Setophaga discolor,Dendroica discolor,
6740,-0.161359861,-0.630767728,0.378740232,0.71332307,-0.181170921,Invertebrate,LC,UT,Passeriformes,Parulidae,Seiurus,aurocapilla,Ovenbird,Seiurus aurocapilla,Seiurus aurocapilla,
6750,-1,-0.800547054,-0.087893864,-0.352235551,-0.046,Invertebrate,LC,UT,Passeriformes,Parulidae,Parkesia,noveboracensis,Northern Waterthrush,Parkesia noveboracensis,Seiurus noveboracensis,
6760,-1,-0.86017163,0.852082039,0.872843765,0.292428198,Invertebrate,LC,UT,Passeriformes,Parulidae,Parkesia,motacilla,Louisiana Waterthrush,Parkesia motacilla,Seiurus motacilla,
6770,0.212351574,0.453832092,0.601002865,0.544415776,0.447381067,Invertebrate,LC,LT,Passeriformes,Parulidae,Geothlypis,formosa,Kentucky Warbler,Geothlypis formosa,Oporornis formosus,
6790,0.258741259,0.044947745,0.692160612,0.329942784,0.507716049,Invertebrate,LC,LT,Passeriformes,Parulidae,Geothlypis,philadelphia,Mourning Warbler,Geothlypis philadelphia,Oporornis philadelphia,
6800,-0.075,-0.255774862,0.048898442,0.521555001,-0.029729429,Invertebrate,LC,UT,Passeriformes,Parulidae,Geothlypis,tolmiei,MacGillivray's Warbler,Geothlypis tolmiei,Oporornis tolmiei,
6810,-0.014490208,-0.414312518,0.458257544,0.663896122,0.106533844,Invertebrate,LC,UT,Passeriformes,Parulidae,Geothlypis,trichas,Common Yellowthroat,Geothlypis trichas,Geothlypis trichas,
6830,-0.007162921,0.121321549,0.650749086,0.381985501,0.395568159,Invertebrate,LC,UT,Passeriformes,Icteriidae,Icteria,virens,Yellow-breasted Chat,Icteria virens,Icteria virens,
6840,-0.122807018,-0.508215569,0.81873073,0.861993769,0.591028037,Invertebrate,LC,UT,Passeriformes,Parulidae,Setophaga,citrina,Hooded Warbler,Setophaga citrina,Wilsonia citrina,
6850,-0.389285714,-0.154475239,0.064045279,-0.076977401,-0.088615783,Invertebrate,LC,UT,Passeriformes,Parulidae,Cardellina,pusilla,Wilson's Warbler,Cardellina pusilla,Wilsonia pusilla,
6870,0.053308684,-0.564842751,0.252671965,0.67818556,-0.3033065,Invertebrate,LC,LT,Passeriformes,Parulidae,Setophaga,ruticilla,American Redstart,Setophaga ruticilla,Setophaga ruticilla,
6882,-0.03418211,-0.526762566,0.540696064,0.701398811,0.366989275,PlantSeed,LC,UT,Passeriformes,Passeridae,Passer,domesticus,House Sparrow,Passer domesticus,Passer domesticus,
7000,1,-1,-0.935897436,-0.409836066,-1,Invertebrate,VU,LT,Passeriformes,Motacillidae,Anthus,spragueii,Sprague's Pipit,Anthus spragueii,Anthus spragueii,
7020,-0.371621622,0.487226417,0.856517935,0.866554528,0.883762732,Invertebrate,LC,UT,Passeriformes,Mimidae,Oreoscoptes,montanus,Sage Thrasher,Oreoscoptes montanus,Oreoscoptes montanus,
7030,0.096381963,-0.254349776,0.490293388,0.452174982,0.329119805,Omnivore,LC,LT,Passeriformes,Mimidae,Mimus,polyglottos,Northern Mockingbird,Mimus polyglottos,Mimus polyglottos,
7040,0.017539843,-0.624801088,0.534959013,0.807913017,0.163880744,Invertebrate,LC,LT,Passeriformes,Mimidae,Dumetella,carolinensis,Gray Catbird,Dumetella carolinensis,Dumetella carolinensis,
7050,0.002666667,-0.258009917,0.658394079,0.559201868,0.489227704,Omnivore,LC,LT,Passeriformes,Mimidae,Toxostoma,rufum,Brown Thrasher,Toxostoma rufum,Toxostoma rufum,
7130,-0.27047488,0.751540041,0.231396534,0.680154143,0.970326409,Invertebrate,LC,UT,Passeriformes,Troglodytidae,Campylorhynchus,brunneicapillus,Cactus Wren,Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus,
7150,0.036509286,0.163132321,0.374470249,0.613708149,0.755171511,Invertebrate,LC,LT,Passeriformes,Troglodytidae,Salpinctes,obsoletus,Rock Wren,Salpinctes obsoletus,Salpinctes obsoletus,
7180,-0.067084927,-0.461758157,0.632624702,0.594296883,0.361424816,Invertebrate,LC,UT,Passeriformes,Troglodytidae,Thryothorus,ludovicianus,Carolina Wren,Thryothorus ludovicianus,Thryothorus ludovicianus,
7190,0.36610608,0.228143638,-0.416515973,0.034780401,0.017652672,Invertebrate,LC,LT,Passeriformes,Troglodytidae,Thryomanes,bewickii,Bewick's Wren,Thryomanes bewickii,Thryomanes bewickii,
7210,-0.080353174,-0.519193215,0.545650589,0.756603228,0.307853777,Invertebrate,LC,UT,Passeriformes,Troglodytidae,Troglodytes,aedon,House Wren,Troglodytes aedon,Troglodytes aedon,
7221,-0.673469388,-0.299870186,-0.524590164,-0.682472778,-0.849263446,Invertebrate,LC,UT,Passeriformes,Troglodytidae,Troglodytes,pacificus,Pacific Wren,Troglodytes pacificus,Troglodytes troglodytes,
7222,-0.514719848,0.111390268,-0.001103753,-0.028397566,-0.711976048,Invertebrate,LC,UT,Passeriformes,Troglodytidae,Troglodytes,hiemalis,Winter Wren,Troglodytes hiemalis,Troglodytes troglodytes,
7240,-0.646502836,-0.061957728,0.261363636,0.28635953,0.05945122,Invertebrate,LC,UT,Passeriformes,Troglodytidae,Cistothorus,platensis,Sedge Wren,Cistothorus platensis,Cistothorus platensis,
7250,-0.160401003,0.747085048,-0.753205128,-0.616243655,-0.668329177,Invertebrate,LC,UT,Passeriformes,Troglodytidae,Cistothorus,palustris,Marsh Wren,Cistothorus palustris,Cistothorus palustris,
7260,-1,-0.896797743,0.359425962,0.575260805,0.065046462,Invertebrate,LC,UT,Passeriformes,Certhiidae,Certhia,americana,Brown Creeper,Certhia americana,Certhia americana,
7270,0.098690827,-0.728661122,0.595225127,0.817875778,0.146654039,Omnivore,LC,LT,Passeriformes,Sittidae,Sitta,carolinensis,White-breasted Nuthatch,Sitta carolinensis,Sitta carolinensis,
7280,0.063066864,-0.029171529,-0.200802174,0.279948833,-0.360294118,Omnivore,LC,LT,Passeriformes,Sittidae,Sitta,canadensis,Red-breasted Nuthatch,Sitta canadensis,Sitta canadensis,
7290,0.084337349,-0.537234043,0.896666667,0.246537396,0.304659498,Invertebrate,LC,LT,Passeriformes,Sittidae,Sitta,pusilla,Brown-headed Nuthatch,Sitta pusilla,Sitta pusilla,
7310,0.145536211,-0.636815312,0.633041308,0.723132954,0.318991564,Invertebrate,LC,LT,Passeriformes,Paridae,Baeolophus,bicolor,Tufted Titmouse,Baeolophus bicolor,Baeolophus bicolor,
7315,1,1,-1,-1,-1,Invertebrate,LC,LT,Passeriformes,Paridae,Baeolophus,bicolor / atricristatus,unid. Tufted Titmouse / Black-crested Titmouse,Baeolophus bicolor / atricristatus,Baeolophus bicolor,manual (possible sp)
7320,1,0.16534867,-0.99068323,-0.806041335,-0.331034483,Invertebrate,LC,LT,Passeriformes,Paridae,Baeolophus,atricristatus,Black-crested Titmouse,Baeolophus atricristatus,Baeolophus atricristatus,
7331,1,0.770212766,-0.296,0.333333333,-0.328244275,Invertebrate,LC,LT,Passeriformes,Paridae,Baeolophus,ridgwayi,Juniper Titmouse,Baeolophus ridgwayi,Baeolophus ridgwayi,
7350,-0.127034438,-0.291888296,0.027232737,0.473281759,-0.399884637,Invertebrate,LC,UT,Passeriformes,Paridae,Poecile,atricapillus,Black-capped Chickadee,Poecile atricapillus,Parus atricapillus,
7360,-0.056773517,-0.286458257,0.657960921,0.372885277,0.355186033,Invertebrate,LC,UT,Passeriformes,Paridae,Poecile,carolinensis,Carolina Chickadee,Poecile carolinensis,Parus carolinensis,
7380,0.026376147,-0.326883131,0.393423735,0.707858383,0.32998674,Invertebrate,LC,LT,Passeriformes,Paridae,Poecile,gambeli,Mountain Chickadee,Poecile gambeli,Parus gambeli,
7410,-1,-0.300662964,-0.501635769,-0.581194116,-0.777131219,Invertebrate,LC,UT,Passeriformes,Paridae,Poecile,rufescens,Chestnut-backed Chickadee,Poecile rufescens,Parus rufescens,
7430,0.956521739,0.127118644,-0.565217391,0.191489362,0.210796915,Invertebrate,LC,LT,Passeriformes,Aegithalidae,Psaltriparus,minimus,Bushtit,Psaltriparus minimus,Psaltriparus minimus,
7460,0.116831683,0.900029061,0.182941904,0.667213115,0.899649942,Invertebrate,LC,LT,Passeriformes,Remizidae,Auriparus,flaviceps,Verdin,Auriparus flaviceps,Auriparus flaviceps,
7480,-0.250847458,-0.429160463,-0.436397156,-0.089126046,-0.526360787,Invertebrate,LC,UT,Passeriformes,Regulidae,Regulus,satrapa,Golden-crowned Kinglet,Regulus satrapa,Regulus satrapa,
7490,-0.054127742,-0.00016247,0.363663664,0.540267286,0.319062181,Invertebrate,LC,UT,Passeriformes,Regulidae,Regulus,calendula,Ruby-crowned Kinglet,Regulus calendula,Regulus calendula,
7510,-0.162689102,-0.175097261,0.671864227,0.41735129,0.28117486,Invertebrate,LC,UT,Passeriformes,Polioptilidae,Polioptila,caerulea,Blue-gray Gnatcatcher,Polioptila caerulea,Polioptila caerulea,
7520,1,0.955257271,0.593705293,0.785365854,0.814189189,Invertebrate,LC,LT,Passeriformes,Polioptilidae,Polioptila,melanura,Black-tailed Gnatcatcher,Polioptila melanura,Polioptila melanura,
7540,1,-0.561507937,0.102150538,0.77262528,0.013013013,Omnivore,LC,LT,Passeriformes,Turdidae,Myadestes,townsendi,Townsend's Solitaire,Myadestes townsendi,Myadestes townsendi,
7550,-0.047894561,-0.748681716,0.622928977,0.830695798,0.288056112,Invertebrate,LC,UT,Passeriformes,Turdidae,Hylocichla,mustelina,Wood Thrush,Hylocichla mustelina,Hylocichla mustelina,
7560,-0.387653972,-0.226902312,-0.20615192,0.314798425,-0.597237278,Omnivore,LC,UT,Passeriformes,Turdidae,Catharus,fuscescens,Veery,Catharus fuscescens,Catharus fuscescens,
7580,-0.04512536,-0.107002444,-0.521494486,-0.525004524,-0.629292929,Invertebrate,LC,UT,Passeriformes,Turdidae,Catharus,ustulatus,Swainson's Thrush,Catharus ustulatus,Catharus ustulatus,
7590,-0.026293986,-0.093666558,0.128948262,0.529675689,-0.150989118,Invertebrate,LC,UT,Passeriformes,Turdidae,Catharus,guttatus,Hermit Thrush,Catharus guttatus,Catharus guttatus,
7610,0.05796551,-0.442725933,0.420830242,0.612421737,0.172403087,Omnivore,LC,LT,Passeriformes,Turdidae,Turdus,migratorius,American Robin,Turdus migratorius,Turdus migratorius,
7630,0.64785553,0.013819347,0.329299914,-0.092568449,0.264150943,FruiNect,LC,LT,Passeriformes,Turdidae,Ixoreus,naevius,Varied Thrush,Ixoreus naevius,Zoothera naevia,
7660,0.079005752,-0.50310678,0.686303886,0.641027375,0.403403604,Invertebrate,LC,LT,Passeriformes,Turdidae,Sialia,sialis,Eastern Bluebird,Sialia sialis,Sialia sialis,
7670,-1,0.473077556,-0.458244111,0.476937708,-0.096597146,Invertebrate,LC,UT,Passeriformes,Turdidae,Sialia,mexicana,Western Bluebird,Sialia mexicana,Sialia mexicana,
