"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,250,500,0,0,0,0,0,0,0,0
20,250,500,0,0,0,0,0,0,0,0
40,250,500,1,1,0,0,0,0,0,0
60,250,500,6,6,0,0,0,0,0,0
70,250,500,22,21,0,1,0,0,0,0
230,250,500,1,1,0,0,0,0,0,0
440,250,500,1,1,0,0,0,0,0,0
510,250,500,3,3,0,0,0,0,0,0
530,250,500,5,4,0,1,0,0,0,0
540,250,500,106,103,1,2,1,0,0.0177865612648221,0
580,250,500,28,27,0,1,0,0,0,0
640,250,500,0,0,0,0,0,0,0,0
650,250,500,0,0,0,0,0,0,0,0
690,250,500,0,0,0,0,0,0,0,0
770,250,500,6,5,1,0,0,1,0,-0.0079051383399209
1200,250,500,5,5,0,0,0,0,0,0
1250,250,500,4,4,0,0,0,0,0,0
1260,250,500,0,0,0,0,0,0,0,0
1290,250,500,1,1,0,0,0,0,0,0
1320,250,500,1005,936,52,17,22,30,2.34683794466403,-2.72727272727273
1330,250,500,0,0,0,0,0,0,0,0
1350,250,500,61,57,4,0,2,2,0.153162055335968,-0.0859683794466403
1370,250,500,6,6,0,0,0,0,0,0
1390,250,500,2,2,0,0,0,0,0,0
1400,250,500,58,52,5,1,1,4,0.0118577075098814,-0.307312252964427
1410,250,500,3,2,1,0,0,1,0,-0.126482213438735
1420,250,500,24,24,0,0,0,0,0,0
1430,250,500,18,18,0,0,0,0,0,0
1440,250,500,3,3,0,0,0,0,0,0
1460,250,500,0,0,0,0,0,0,0,0
1490,250,500,9,9,0,0,0,0,0,0
1500,250,500,2,2,0,0,0,0,0,0
1510,250,500,0,0,0,0,0,0,0,0
1530,250,500,0,0,0,0,0,0,0,0
1670,250,500,0,0,0,0,0,0,0,0
1720,250,500,202,189,8,5,2,6,0.0612648221343874,-0.575098814229249
1770,250,500,2,1,1,0,1,0,0.0385375494071146,0
1810,250,500,0,0,0,0,0,0,0,0
1840,250,500,6,6,0,0,0,0,0,0
1870,250,500,0,0,0,0,0,0,0,0
1900,250,500,3,3,0,0,0,0,0,0
1940,250,500,263,252,6,5,1,5,0.111660079051383,-0.868577075098814
1960,250,500,88,79,3,6,2,1,0.102766798418972,-0.191699604743083
1970,250,500,2,2,0,0,0,0,0,0
1990,250,500,1,1,0,0,0,0,0,0
2000,250,500,23,21,1,1,1,0,0.201581027667984,0
2001,250,500,165,155,5,5,3,2,0.359683794466403,-0.238142292490119
