"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,0,400,3,0,3,0,0,3,0,-0.0681818181818183
20,0,400,2,0,2,0,0,2,0,-0.00592885375494079
40,0,400,1,0,1,0,0,1,0,-0.0721343873517787
60,0,400,26,0,26,0,4,21,0.0118577075098815,-0.205533596837944
70,0,400,30,0,30,0,13,15,0.102766798418973,-0.230237154150198
230,0,400,1,0,1,0,0,1,0,-0.0296442687747036
440,0,400,2,0,2,0,0,2,0,-0.0444664031620554
510,0,400,5,0,5,0,2,3,0.0266798418972332,-0.0306324110671938
530,0,400,9,0,9,0,8,1,0.224308300395257,-0.00592885375494073
540,0,400,131,0,131,0,87,41,0.944664031620553,-0.637351778656126
580,0,400,48,0,48,0,30,17,0.869565217391304,-0.265810276679842
640,0,400,0,0,0,0,0,0,0,0
650,0,400,1,0,1,0,1,0,0.0405138339920948,0
690,0,400,0,0,0,0,0,0,0,0
770,0,400,12,0,12,0,1,11,5.55111512312578e-17,-0.185770750988142
1200,0,400,22,0,22,0,3,19,0.00889328063241107,-0.349802371541502
1250,0,400,10,0,10,0,2,8,0.00197628458498028,-0.0731225296442688
1260,0,400,1,0,1,0,1,0,0.0405138339920948,0
1290,0,400,1,0,1,0,0,1,0,-0.140316205533597
1320,0,400,1134,1,1133,0,415,685,10.2509881422925,-13.6749011857708
1330,0,400,1,0,1,0,0,1,0,-0.00988142292490124
1350,0,400,136,0,136,0,19,114,0.480237154150198,-2.83102766798419
1370,0,400,10,0,10,0,5,5,0.281620553359684,-0.129446640316205
1390,0,400,3,0,3,0,1,2,0.0217391304347826,-0.0177865612648221
1400,0,400,136,0,136,0,17,118,0.123517786561265,-2.06916996047431
1410,0,400,5,0,5,0,4,1,0.191699604743083,-0.00988142292490118
1420,0,400,51,0,51,0,7,44,0.113636363636364,-1.03359683794466
1430,0,400,42,0,42,0,6,36,0.0523715415019763,-0.824110671936759
1440,0,400,2,0,2,0,1,1,0.0889328063241107,-0.0118577075098814
1460,0,400,6,0,6,0,0,6,0,-0.098814229249012
1490,0,400,20,0,20,0,2,18,0.0217391304347826,-0.394268774703557
1500,0,400,1,0,1,0,0,1,0,-0.00197628458498034
1510,0,400,0,0,0,0,0,0,0,0
1530,0,400,0,0,0,0,0,0,0,0
1670,0,400,1,0,1,0,0,1,0,-0.0197628458498024
1720,0,400,264,0,264,0,158,103,5.78853754940711,-1.38636363636364
1770,0,400,3,0,3,0,2,1,0.0207509881422925,-0.00197628458498028
1810,0,400,1,0,1,0,1,0,0.0286561264822134,0
1840,0,400,31,0,31,0,12,19,0.261857707509882,-0.864624505928854
1870,0,400,0,0,0,0,0,0,0,0
1900,0,400,3,0,3,0,0,3,0,-0.033596837944664
1940,0,400,293,0,293,0,192,90,4.03557312252964,-1.29940711462451
1960,0,400,128,0,128,0,70,58,3.16501976284585,-1.87351778656127
1970,0,400,3,0,3,0,2,1,0.0741106719367588,-0.0108695652173914
1990,0,400,1,0,1,0,0,1,0,-0.107707509881423
2000,0,400,29,0,29,0,15,14,0.799407114624506,-0.296442687747036
2001,0,400,257,0,257,0,130,124,3.9594861660079,-3.95750988142293
2010,0,400,33,0,33,0,28,5,1.19664031620553,-0.0968379446640316
2060,0,400,285,0,285,0,211,67,3.64624505928854,-1.46739130434783
2110,0,400,6,0,6,0,4,2,0.122529644268775,-0.0345849802371542
2120,0,400,0,0,0,0,0,0,0,0
2140,0,400,40,0,40,0,11,29,0.252964426877471,-0.385375494071146
2190,0,400,0,0,0,0,0,0,0,0
2210,0,400,21,0,21,0,5,15,0.188735177865613,-0.403162055335968
2240,0,400,10,0,10,0,1,9,5.55111512312578e-17,-0.125494071146245
2250,0,400,1,0,1,0,1,0,5.55111512312578e-17,0
2260,0,400,0,0,0,0,0,0,0,0
2300,0,400,659,0,659,0,295,349,9.27667984189723,-6.83596837944664
2490,0,400,102,0,102,0,22,79,0.143280632411068,-2.82114624505929
2540,0,400,0,0,0,0,0,0,0,0
2550,0,400,1,0,1,0,1,0,0.0177865612648221,0
2580,0,400,60,0,60,0,15,44,0.237154150197629,-1.66501976284585
2610,0,400,298,0,298,0,68,227,0.895256916996047,-4.2598814229249
2630,0,400,48,0,48,0,20,28,0.797430830039526,-0.928853754940712
2640,0,400,32,0,32,0,21,10,0.83498023715415,-0.294466403162055
2730,0,400,13029,3,13026,0,9134,3631,211.949604743083,-56.0108695652174
2882,0,400,0,0,0,0,0,0,0,0
2890,0,400,4859,0,4859,0,3360,1397,66.7381422924901,-23.2598814229249
2920,0,400,19,0,19,0,12,7,0.762845849802371,-0.212450592885375
2930,0,400,173,0,173,0,101,71,4.25494071146245,-2.49110671936759
2940,0,400,243,11,232,0,92,138,6.18379446640316,-11.0790513833992
2950,0,400,187,0,187,0,97,89,6.53656126482213,-3.81225296442688
2971,0,400,3,0,3,0,2,1,0.218379446640316,-0.0691699604743084
3091,0,400,1519,1,1518,0,882,610,21.4249011857707,-12.3300395256917
3100,0,400,17,0,17,0,8,9,0.216403162055336,-0.140316205533597
3120,0,400,33,0,33,0,8,25,0.519762845849802,-1.15217391304348
3131,0,400,4270,1,4269,0,2802,1362,52.5770750988142,-15.302371541502
3160,0,400,39600,38,39562,0,25867,13004,725.748023715415,-249.323122529644
3190,0,400,153,0,153,0,79,73,4.7598814229249,-2.78162055335968
3200,0,400,63,0,63,0,29,34,0.844861660079051,-1.16403162055336
3210,0,400,15,0,15,0,1,14,0.00296442687747039,-0.758893280632411
3250,0,400,2941,7,2934,0,1845,1050,63.0899209486166,-34.7420948616601
3260,0,400,237,0,237,0,61,174,1.20256916996047,-8.72529644268775
3290,0,400,2,0,2,0,1,1,0.00296442687747034,-0.132411067193676
3310,0,400,8,0,8,0,2,6,0.00790513833992096,-0.16501976284585
3370,0,400,808,12,796,0,381,392,15.4990118577075,-12.5434782608696
3390,0,400,183,0,183,0,76,105,2.30335968379447,-5.79841897233202
3420,0,400,201,0,201,0,111,89,4.0899209486166,-2.62944664031621
3480,0,400,1,0,1,0,0,1,0,-0.00494071146245062
3490,0,400,0,0,0,0,0,0,0,0
3520,0,400,3,0,3,0,1,2,5.55111512312578e-17,-0.0306324110671936
3600,0,400,97,0,97,0,66,30,2.74209486166008,-1.30533596837945
3620,0,400,6,0,6,0,1,5,0.000988142292490168,-0.0701581027667986
3640,0,400,38,0,38,0,20,16,0.32905138339921,-0.442687747035573
3680,0,400,0,0,0,0,0,0,0,0
3750,0,400,0,0,0,0,0,0,0,0
3780,0,400,6,0,6,0,4,2,0.114624505928854,-0.0454545454545455
3850,0,400,5,0,5,0,0,5,0,-0.212450592885375
3870,0,400,4880,0,4880,0,3218,1580,78.4871541501976,-33.5464426877471
3880,0,400,0,0,0,0,0,0,0,0
3900,0,400,1,0,1,0,1,0,0.0158102766798419,0
3930,0,400,147,1,146,0,67,71,1.78260869565217,-2.18873517786561
3940,0,400,5235,0,5235,0,3461,1666,99.4505928853755,-28.0365612648222
3960,0,400,46,0,46,0,22,24,0.821146245059288,-0.754940711462451
3970,0,400,27,0,27,0,11,16,0.232213438735178,-1.00592885375494
3990,0,400,3,0,3,0,3,0,0.269762845849802,0
4020,0,400,1337,0,1337,0,562,734,4.85276679841897,-9.6501976284585
4021,0,400,13,0,13,0,5,7,0.0355731225296443,-0.411067193675889
4030,0,400,12,0,12,0,7,5,0.764822134387352,-0.142292490118577
4050,0,400,1291,0,1291,0,953,321,29.5345849802371,-6.24604743083004
4060,0,400,443,0,443,0,251,183,4.94466403162055,-2.81225296442688
4070,0,400,60,4,56,0,23,33,1.02470355731225,-2.34683794466403
4090,0,400,16252,0,16252,0,11930,4055,328.123517786561,-65.201581027668
4100,0,400,21,0,21,0,5,16,0.0395256916996047,-0.374505928853755
4110,0,400,43,0,43,0,24,19,1.37648221343873,-0.983201581027668
4120,0,400,6856,0,6856,0,4674,2016,133.541501976285,-25.4426877470356
4130,0,400,1239,15,1224,0,611,604,37.8290513833992,-35.8280632411067
4140,0,400,10,0,10,0,8,2,0.685770750988142,-0.058300395256917
4160,0,400,145,0,145,0,108,36,3.03458498023715,-0.885375494071147
4171,0,400,0,0,0,0,0,0,0,0
4200,0,400,471,0,471,0,263,206,12.8922924901186,-7.88438735177866
4210,0,400,20,0,20,0,7,12,0.554347826086956,-0.33399209486166
4230,0,400,7813,0,7813,0,6029,1660,172.552371541502,-20.0079051383399
4250,0,400,5,0,5,0,3,2,0.210474308300395,-0.0335968379446641
4280,0,400,109,0,109,0,90,18,2.03458498023715,-0.41106719367589
4290,0,400,1,0,1,0,0,1,0,-0.114624505928854
4310,0,400,15,0,15,0,7,8,0.177865612648221,-0.425889328063241
4320,0,400,255,3,252,0,148,101,8.84584980237154,-3.78557312252964
4330,0,400,56,0,56,0,8,48,0.626482213438735,-3.02173913043478
4430,0,400,710,0,710,0,209,490,2.69466403162055,-18.8369565217391
4440,0,400,7691,0,7691,0,4952,2582,105.410079051383,-38.5069169960475
4470,0,400,1467,10,1457,0,776,667,38.0820158102767,-21.7638339920949
4480,0,400,195,0,195,0,101,93,5.16600790513834,-5.28458498023715
4520,0,400,9899,0,9899,0,6523,3164,163.20652173913,-51.6324110671937
4530,0,400,11,0,11,0,7,4,0.116600790513834,-0.184782608695652
4540,0,400,1020,0,1020,0,529,485,30.7084980237154,-21.3142292490119
4560,0,400,14916,0,14916,0,9168,5444,220.086956521739,-72.9980237154151
4570,0,400,237,6,231,0,140,89,8.07312252964427,-4.73814229249012
4580,0,400,60,4,56,0,30,26,1.48122529644269,-1.63142292490119
4590,0,400,139,3,136,0,71,64,4.63142292490119,-3.85375494071146
4610,0,400,15045,0,15045,0,10707,4074,288.183794466403,-55.0247035573123
4620,0,400,1139,11,1128,0,543,578,31.397233201581,-33.901185770751
4630,0,400,2,0,2,0,2,0,0.00790513833992085,0
