"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,0,250,3,0,3,0,0,3,0,-0.0266798418972332
20,0,250,2,0,2,0,1,1,0.00988142292490113,-0.0513833992094862
40,0,250,0,0,0,0,0,0,0,0
60,0,250,21,0,21,0,3,18,0.0108695652173912,-0.437747035573123
70,0,250,19,0,19,0,12,5,0.179841897233201,-0.08300395256917
230,0,250,0,0,0,0,0,0,0,0
440,0,250,1,0,1,0,0,1,0,-0.00988142292490113
510,0,250,4,0,4,0,3,1,0.041501976284585,-0.033596837944664
530,0,250,4,0,4,0,2,2,0.108695652173913,-0.0849802371541503
540,0,250,78,0,78,0,53,23,0.877470355731225,-0.207509881422925
580,0,250,28,0,28,0,22,6,0.213438735177865,-0.0316205533596839
640,0,250,0,0,0,0,0,0,0,0
650,0,250,1,0,1,0,1,0,0.00494071146245062,0
690,0,250,0,0,0,0,0,0,0,0
770,0,250,8,0,8,0,2,6,0.0079051383399209,-0.109683794466403
1200,0,250,19,0,19,0,2,17,0.0079051383399209,-0.41600790513834
1250,0,250,9,0,9,0,1,8,0.00790513833992096,-0.0573122529644272
1260,0,250,1,0,1,0,1,0,0.00494071146245062,0
1290,0,250,0,0,0,0,0,0,0,0
1320,0,250,537,1,536,0,193,333,4.59584980237154,-9.62154150197629
1330,0,250,1,0,1,0,0,1,0,-0.0138339920948616
1350,0,250,93,0,93,0,11,80,0.133399209486166,-2.52766798418972
1370,0,250,6,0,6,0,2,4,0.226284584980237,-0.0790513833992096
1390,0,250,1,0,1,0,0,1,0,-0.101778656126482
1400,0,250,97,0,97,0,12,84,0.0602766798418971,-1.86462450592886
1410,0,250,3,0,3,0,3,0,0.526679841897233,0
1420,0,250,33,0,33,0,3,30,0.0237154150197629,-0.699604743083004
1430,0,250,27,0,27,0,2,25,0.0227272727272728,-0.33300395256917
1440,0,250,0,0,0,0,0,0,0,0
1460,0,250,6,0,6,0,1,5,0.000988142292490168,-0.0424901185770752
1490,0,250,13,0,13,0,0,13,0,-0.200592885375494
1500,0,250,1,0,1,0,1,0,0.00988142292490113,0
1510,0,250,0,0,0,0,0,0,0,0
1530,0,250,0,0,0,0,0,0,0,0
1670,0,250,1,0,1,0,0,1,0,-0.00296442687747028
1720,0,250,138,0,138,0,85,51,3.32806324110672,-0.871541501976286
1770,0,250,1,0,1,0,0,1,0,-0.0108695652173913
1810,0,250,1,0,1,0,0,1,0,-0.0434782608695652
1840,0,250,25,0,25,0,16,9,0.752964426877471,-0.394268774703557
1870,0,250,0,0,0,0,0,0,0,0
1900,0,250,3,0,3,0,1,2,0.00197628458498023,-0.0128458498023716
1940,0,250,133,0,133,0,69,62,1.22134387351779,-0.833992094861661
1960,0,250,73,0,73,0,46,26,1.77569169960474,-1.45256916996047
1970,0,250,2,0,2,0,1,1,0.114624505928854,-0.00691699604743079
1990,0,250,0,0,0,0,0,0,0,0
2000,0,250,14,0,14,0,11,3,0.238142292490119,-0.103754940711462
2001,0,250,161,1,160,0,93,65,3.92094861660079,-2.98221343873518
2010,0,250,18,0,18,0,10,8,0.133399209486166,-0.0474308300395259
2060,0,250,234,0,234,0,177,51,4.13438735177865,-1.2203557312253
2110,0,250,4,0,4,0,0,4,0,-0.0375494071146246
2120,0,250,0,0,0,0,0,0,0,0
2140,0,250,21,0,21,0,5,15,0.0662055335968378,-0.474308300395257
2190,0,250,0,0,0,0,0,0,0,0
2210,0,250,11,0,11,0,1,10,0.00592885375494068,-0.107707509881423
2240,0,250,10,0,10,0,1,9,0.000988142292490168,-0.0810276679841899
2250,0,250,1,0,1,0,0,1,0,-0.0118577075098815
2260,0,250,0,0,0,0,0,0,0,0
2300,0,250,357,0,357,0,137,212,4.45553359683794,-6.71739130434783
2490,0,250,58,0,58,0,8,49,0.0849802371541503,-1.84189723320158
2540,0,250,0,0,0,0,0,0,0,0
2550,0,250,1,0,1,0,0,1,0,-0.0217391304347826
2580,0,250,39,0,39,0,13,24,0.608695652173913,-0.682806324110672
2610,0,250,164,0,164,0,46,115,0.466403162055336,-2.06620553359684
2630,0,250,27,0,27,0,7,19,0.283596837944664,-0.587944664031621
2640,0,250,21,0,21,0,12,9,0.675889328063241,-0.429841897233202
2730,0,250,5799,2,5797,0,4069,1618,88.5830039525691,-26.1907114624506
2882,0,250,0,0,0,0,0,0,0,0
2890,0,250,2251,0,2251,0,1333,869,23.1383399209486,-15.0494071146245
2920,0,250,10,0,10,0,9,1,0.589920948616601,-0.00197628458498028
2930,0,250,89,0,89,0,38,51,0.875494071146245,-1.39822134387352
2940,0,250,123,8,115,0,72,42,5.57509881422925,-1.63537549407115
2950,0,250,101,0,101,0,79,21,2.77371541501976,-0.447628458498024
2971,0,250,3,0,3,0,1,2,0.120553359683794,-0.111660079051383
3091,0,250,659,0,659,0,300,347,5.82806324110672,-6.61166007905139
3100,0,250,11,0,11,0,3,8,0.0365612648221343,-0.113636363636364
3120,0,250,26,1,25,0,3,21,0.229249011857708,-1.08596837944664
3131,0,250,2190,0,2190,0,1744,407,40.3626482213438,-4.34486166007906
