"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,250,500,0,0,0,0,0,0,0,0
20,250,500,0,0,0,0,0,0,0,0
40,250,500,1,0,1,0,0,1,0,-0.0227272727272727
60,250,500,6,0,6,0,0,6,0,-0.0750988142292489
70,250,500,22,0,22,0,9,13,0.134387351778656,-0.363636363636364
230,250,500,1,0,1,0,0,1,0,-0.0454545454545455
440,250,500,1,0,1,0,0,1,0,-0.0454545454545455
510,250,500,3,0,3,0,2,1,0.0326086956521739,-0.0276679841897234
530,250,500,5,0,5,0,4,1,0.254940711462451,-0.00494071146245062
540,250,500,106,0,106,0,37,67,0.602766798418972,-1.3695652173913
580,250,500,28,0,28,0,4,24,0.0464426877470355,-0.629446640316206
640,250,500,0,0,0,0,0,0,0,0
650,250,500,0,0,0,0,0,0,0,0
690,250,500,0,0,0,0,0,0,0,0
770,250,500,6,0,6,0,0,6,0,-0.0958498023715416
1200,250,500,5,0,5,0,1,4,0.00296442687747028,-0.150197628458498
1250,250,500,4,0,4,0,0,4,0,-0.0553359683794466
1260,250,500,0,0,0,0,0,0,0,0
1290,250,500,1,0,1,0,0,1,0,-0.074110671936759
1320,250,500,1005,2,1003,0,452,536,10.4584980237154,-11.9584980237154
1330,250,500,0,0,0,0,0,0,0,0
1350,250,500,61,0,61,0,14,46,0.364624505928854,-1.49110671936759
1370,250,500,6,0,6,0,2,4,0.133399209486166,-0.190711462450593
1390,250,500,2,0,2,0,1,1,0.0138339920948616,-0.00395256916996051
1400,250,500,58,0,58,0,4,54,0.0424901185770751,-0.974308300395257
1410,250,500,3,0,3,0,3,0,0.24901185770751,0
1420,250,500,24,0,24,0,2,21,0.0316205533596837,-0.629446640316206
1430,250,500,18,0,18,0,6,12,0.0395256916996048,-0.240118577075099
1440,250,500,3,0,3,0,1,2,0.0385375494071146,-0.0918972332015811
1460,250,500,0,0,0,0,0,0,0,0
1490,250,500,9,0,9,0,1,8,0.0138339920948616,-0.156126482213439
1500,250,500,2,0,2,0,1,1,0.0345849802371541,-0.0128458498023715
1510,250,500,0,0,0,0,0,0,0,0
1530,250,500,0,0,0,0,0,0,0,0
1670,250,500,0,0,0,0,0,0,0,0
1720,250,500,202,0,202,0,113,89,3.64328063241107,-2.58201581027668
1770,250,500,2,0,2,0,1,1,0.00988142292490118,-0.00296442687747034
1810,250,500,0,0,0,0,0,0,0,0
1840,250,500,6,0,6,0,0,6,0,-0.594861660079052
