"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,0,400,3,3,0,0,0,0,0,0
20,0,400,2,2,0,0,0,0,0,0
40,0,400,1,1,0,0,0,0,0,0
60,0,400,26,19,7,0,4,3,0.24901185770751,-0.216403162055336
70,0,400,30,27,2,1,0,2,0,-0.119565217391304
230,0,400,1,1,0,0,0,0,0,0
440,0,400,2,2,0,0,0,0,0,0
510,0,400,5,4,0,1,0,0,0,0
530,0,400,9,8,0,1,0,0,0,0
540,0,400,131,126,4,1,3,1,0.468379446640316,-0.0800395256916996
580,0,400,48,46,0,2,0,0,0,0
640,0,400,0,0,0,0,0,0,0,0
650,0,400,1,1,0,0,0,0,0,0
690,0,400,0,0,0,0,0,0,0,0
770,0,400,12,10,2,0,1,1,0.139328063241107,-0.0079051383399209
1200,0,400,22,22,0,0,0,0,0,0
1250,0,400,10,9,1,0,1,0,0.195652173913044,0
1260,0,400,1,1,0,0,0,0,0,0
1290,0,400,1,1,0,0,0,0,0,0
1320,0,400,1134,1072,49,13,27,22,3.05335968379447,-1.6501976284585
1330,0,400,1,1,0,0,0,0,0,0
1350,0,400,136,128,8,0,6,2,0.633399209486166,-0.173913043478261
1370,0,400,10,9,0,1,0,0,0,0
1390,0,400,3,2,0,1,0,0,0,0
1400,0,400,136,123,10,3,6,4,0.449604743083004,-0.267786561264822
1410,0,400,5,4,1,0,1,0,0.117588932806324,0
1420,0,400,51,47,3,1,2,1,0.120553359683794,-0.0879446640316206
1430,0,400,42,38,4,0,2,2,0.16600790513834,-0.184782608695652
1440,0,400,2,2,0,0,0,0,0,0
1460,0,400,6,5,1,0,1,0,0.00988142292490113,0
1490,0,400,20,20,0,0,0,0,0,0
1500,0,400,1,1,0,0,0,0,0,0
1510,0,400,0,0,0,0,0,0,0,0
1530,0,400,0,0,0,0,0,0,0,0
1670,0,400,1,1,0,0,0,0,0,0
1720,0,400,264,250,7,7,5,2,0.33399209486166,-0.257905138339921
1770,0,400,3,2,1,0,1,0,0.0385375494071146,0
1810,0,400,1,0,1,0,0,1,0,-0.130434782608696
1840,0,400,31,29,2,0,2,0,0.240118577075099,0
1870,0,400,0,0,0,0,0,0,0,0
1900,0,400,3,2,0,1,0,0,0,0
1940,0,400,293,281,6,6,1,5,0.0602766798418972,-0.515810276679842
1960,0,400,128,122,2,4,0,2,0,-0.212450592885376
1970,0,400,3,3,0,0,0,0,0,0
1990,0,400,1,1,0,0,0,0,0,0
