"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,0,250,3,0,3,0,3,0,0.196781479390175,0
20,0,250,2,0,2,0,2,0,0.065508808255961,0
40,0,250,0,0,0,0,0,0,0,0
60,0,250,21,1,20,0,12,8,1.45059288537549,-0.186053077357425
70,0,250,19,2,17,0,4,13,0.401185770750988,-0.624505928853755
230,0,250,0,0,0,0,0,0,0,0
440,0,250,1,1,0,0,0,0,0,0
510,0,250,4,0,4,0,1,3,0.0307735742518351,-0.0403726708074533
530,0,250,4,0,4,0,4,0,0.118577075098814,0
540,0,250,78,4,74,0,35,39,2.48701298701299,-1.69452286843591
580,0,250,28,0,28,0,7,21,0.400056465273857,-1.06013551665726
640,0,250,0,0,0,0,0,0,0,0
650,0,250,1,0,1,0,1,0,0.0457368718238284,0
690,0,250,0,0,0,0,0,0,0,0
770,0,250,8,1,7,0,4,3,0.885093167701864,-0.163184641445511
1200,0,250,19,1,18,0,16,2,2.12478825522304,-0.062111801242236
1250,0,250,9,2,7,0,2,5,0.402032749858837,-0.132975719932242
1260,0,250,1,0,1,0,1,0,0.0457368718238284,0
1290,0,250,0,0,0,0,0,0,0,0
1320,0,250,537,64,473,0,257,213,23.9407591481369,-15.9638647764742
1330,0,250,1,0,1,0,0,1,0,-0.0626764539808018
1350,0,250,93,13,80,0,48,32,5.29841897233202,-1.89299830604178
1370,0,250,6,0,6,0,2,4,0.100508187464709,-0.240542066629023
1390,0,250,1,0,1,0,1,0,0.0352907961603615,0
1400,0,250,97,15,82,0,67,14,9.1589883410102,-0.417278373800113
1410,0,250,3,2,1,0,0,1,0,-0.018068887634105
1420,0,250,33,3,30,0,16,14,1.67108977978543,-0.573404856013551
1430,0,250,27,0,27,0,16,11,1.68859401468097,-0.364201016374929
1440,0,250,0,0,0,0,0,0,0,0
1460,0,250,6,0,6,0,4,2,0.231789949181254,-0.0638057594579333
1490,0,250,13,0,13,0,4,9,0.652456239412761,-0.306041784302654
1500,0,250,1,0,1,0,1,0,0.0333145115753812,0
1510,0,250,0,0,0,0,0,0,0,0
1530,0,250,0,0,0,0,0,0,0,0
1670,0,250,1,0,1,0,1,0,0.051948051948052,0
1720,0,250,138,19,119,0,28,89,2.02258610954263,-9.71456804065499
1770,0,250,1,0,1,0,1,0,5.55111512312578e-17,0
1810,0,250,1,0,1,0,0,1,0,-0.133540372670807
1840,0,250,25,7,18,0,12,6,0.763128176171655,-0.346132128740824
1870,0,250,0,0,0,0,0,0,0,0
1900,0,250,3,1,2,0,2,0,0.348673066064371,0
1940,0,250,133,4,129,0,62,66,3.91163184641446,-4.03585544889892
