"AOU","ScientificName"
6370,"Protonotaria citrea"
6450,"Leiothlypis ruficapilla"
6460,"Leiothlypis celata"
6470,"Leiothlypis peregrina"
6520,"Setophaga petechia"
6540,"Setophaga caerulescens"
6560,"Setophaga coronata audoboni"
6570,"Setophaga magnolia"
6590,"Setophaga pensylvanica"
6610,"Setophaga striata"
6620,"Setophaga fusca"
6630,"Setophaga dominica"
6650,"Setophaga nigrescens"
6710,"Setophaga pinus"
6740,"Seiurus aurocapilla"
6750,"Parkesia noveboracensis"
6760,"Parkesia motacilla"
6800,"Geothlypis tolmiei"
6810,"Geothlypis trichas"
6830,"Icteria virens"
6840,"Setophaga citrina"
6850,"Cardellina pusilla"
6882,"Passer domesticus"
7020,"Oreoscoptes montanus"
7130,"Campylorhynchus brunneicapillus"
7180,"Thryothorus ludovicianus"
7210,"Troglodytes aedon"
7221,"Troglodytes pacificus"
7222,"Troglodytes hiemalis"
7240,"Cistothorus platensis"
7250,"Cistothorus palustris"
7260,"Certhia americana"
7350,"Poecile atricapillus"
7360,"Poecile carolinensis"
7410,"Poecile rufescens"
7470,"Phylloscopus borealis"
7480,"Regulus satrapa"
7490,"Regulus calendula"
7510,"Polioptila caerulea"
7550,"Hylocichla mustelina"
7560,"Catharus fuscescens"
7580,"Catharus ustulatus"
7590,"Catharus guttatus"
7670,"Sialia mexicana"
22860,"Streptopelia decaocto"
