"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
5900,250,500,311,132,179,0,97,82,8.89582156973462,-6.11801242236025
5910,250,500,51,33,18,0,12,6,1.08130999435347,-0.297007340485601
5911,250,500,20,0,20,0,7,13,0.335121400338792,-0.695934500282326
5920,250,500,2,2,0,0,0,0,0,0
5930,250,500,28359,11374,16985,0,6385,10588,556.167984189724,-1230.85714285714
5940,250,500,36,18,18,0,10,8,0.833709768492378,-0.766516092603049
5950,250,500,3225,1831,1393,1,631,761,54.4023150762281,-77.6487859966121
5960,250,500,686,232,454,0,180,273,12.6940210523542,-22.1716591372991
5970,250,500,3021,861,2160,0,1084,1074,102.010316933581,-85.3617355946783
5980,250,500,25535,10878,14656,1,5109,9538,428.050536420102,-1115.90090344438
5990,250,500,146,32,114,0,45,69,3.23122529644269,-6.45059288537549
6010,250,500,378,86,292,0,153,139,10.4861660079051,-11.9088085827216
6040,250,500,3642,1652,1990,0,845,1145,78.6383399209487,-133.851778656126
6050,250,500,64,34,30,0,25,5,3.07142857142857,-0.410784867306606
6070,250,500,1145,516,629,0,287,341,23.7910784867307,-27.6202710333145
6080,250,500,5208,1634,3574,0,841,2730,64.0623941276116,-381.097684923772
6090,250,500,3,2,1,0,0,1,0,-0.0282326369282891
6100,250,500,2819,892,1927,0,1051,873,104.74025974026,-65.5849802371541
6110,250,500,1666,541,1125,0,576,549,54.5745341614907,-43.2947487295313
6120,250,500,1320,594,726,0,376,349,32.8324911919076,-31.9517268956277
6121,250,500,0,0,0,0,0,0,0,0
6130,250,500,28787,12734,16053,0,6226,9816,530.966320350046,-1114.29927065621
6140,250,500,5680,2764,2916,0,1456,1458,124.644289188643,-152.592038396386
6150,250,500,458,169,289,0,104,182,8.18859401468097,-14.9054206662902
6160,250,500,24,8,16,0,12,4,1.09203839638622,-0.488142292490119
6170,250,500,275,95,180,0,90,90,8.11970638057595,-8.68097120271033
6190,250,500,6783,3126,3656,1,1433,2220,120.744494635799,-267.099943534726
6200,250,500,5,5,0,0,0,0,0,0
6220,250,500,96,26,70,0,42,28,4.71005081874647,-2.11180124223602
6240,250,500,21115,8809,12305,1,4652,7645,400.20420856475,-894.00762281197
6260,250,500,2,0,2,0,2,0,0.322134387351779,0
6270,250,500,5818,2720,3097,1,1452,1640,119.856013551666,-163.579616036138
6280,250,500,702,213,489,0,174,315,12.9689440993789,-34.6555618294749
