"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
7310,250,500,17358,0,17358,0,12866,4322,513.516798418972,-78.4545454545455
7315,250,500,0,0,0,0,0,0,0,0
7320,250,500,10,0,10,0,0,10,0,-0.804347826086957
7330,250,500,10,0,10,0,2,8,0.104743083003953,-0.797430830039526
7331,250,500,7,0,7,0,2,5,0.0780632411067194,-0.339920948616601
7340,250,500,1,0,1,0,1,0,0.0849802371541502,0
7350,250,500,8706,1,8705,0,4318,4263,88.3883399209486,-108.998023715415
7360,250,500,5858,0,5858,0,4214,1590,155.081027667984,-35.8764822134388
7380,250,500,290,11,279,0,175,104,15.6156126482213,-6.2203557312253
7410,250,500,72,0,72,0,11,61,0.386363636363636,-3.85474308300395
7420,250,500,23,3,20,0,6,14,0.215415019762846,-0.902173913043479
7430,250,500,12,0,12,0,5,7,0.292490118577075,-0.569169960474309
7460,250,500,51,1,50,0,35,15,3.32411067193676,-0.611660079051383
7470,250,500,0,0,0,0,0,0,0,0
7480,250,500,117,9,108,0,30,78,1.80434782608696,-6.50296442687747
7490,250,500,351,0,351,0,185,161,9.95256916996047,-6.49407114624506
7510,250,500,4049,0,4049,0,2956,1057,104.438735177866,-20.5711462450593
7520,250,500,10,0,10,0,9,1,0.964426877470356,-0.0296442687747036
7540,250,500,32,0,32,0,27,5,3.42193675889328,-0.245059288537549
7550,250,500,12628,0,12628,0,8695,3802,352.439723320158,-68.3320158102767
7560,250,500,3538,0,3538,0,1376,2109,19.802371541502,-47.1264822134387
7570,250,500,12,0,12,0,10,2,0.852766798418972,-0.0108695652173914
7580,250,500,752,5,747,0,165,579,7.91501976284585,-39.4110671936759
7590,250,500,1173,11,1162,0,494,654,19.5750988142292,-18.7292490118577
7610,250,500,36113,73,36040,0,23850,11842,901.564229249012,-321.640316205534
7630,250,500,84,0,84,0,53,31,3.06916996047431,-1.32707509881423
7660,250,500,12171,0,12171,0,9180,2867,350.859683794466,-55.0108695652174
7670,250,500,40,3,37,0,11,26,0.781620553359684,-2.04841897233202
7680,250,500,261,0,261,0,175,86,10.8132411067194,-4.75098814229249
22860,250,500,23,0,23,0,14,9,0.371541501976285,-0.289525691699605
