"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,250,500,0,0,0,0,0,0,0,0
20,250,500,0,0,0,0,0,0,0,0
40,250,500,1,0,1,0,0,1,0,-0.0879446640316206
60,250,500,6,0,6,0,2,4,0.0128458498023715,-0.132411067193676
70,250,500,22,0,22,0,17,5,0.466403162055336,-0.272727272727273
230,250,500,1,0,1,0,1,0,0.00197628458498023,0
440,250,500,1,0,1,0,1,0,0.00197628458498023,0
510,250,500,3,0,3,0,1,2,0.00296442687747034,-0.0454545454545455
530,250,500,5,0,5,0,2,3,0.0918972332015811,-0.148221343873518
540,250,500,106,0,106,0,57,49,1.56916996047431,-1.82114624505929
580,250,500,28,0,28,0,14,13,0.308300395256917,-0.233201581027668
640,250,500,0,0,0,0,0,0,0,0
650,250,500,0,0,0,0,0,0,0,0
690,250,500,0,0,0,0,0,0,0,0
770,250,500,6,0,6,0,0,6,0,-0.360671936758893
1200,250,500,5,1,4,0,2,2,0.0296442687747036,-0.179841897233202
1250,250,500,4,0,4,0,0,4,0,-0.222332015810277
1260,250,500,0,0,0,0,0,0,0,0
1290,250,500,1,0,1,0,1,0,0.155138339920949,0
1320,250,500,1005,6,999,0,342,652,11.7490118577075,-38.8122529644269
1330,250,500,0,0,0,0,0,0,0,0
1350,250,500,61,0,61,0,5,56,0.393280632411067,-4.75691699604743
1370,250,500,6,0,6,0,1,5,0.147233201581028,-0.458498023715415
1390,250,500,2,0,2,0,0,2,0,-0.180830039525692
1400,250,500,58,0,58,0,4,54,0.0474308300395255,-3.27371541501976
1410,250,500,3,0,3,0,3,0,0.290513833992095,0
1420,250,500,24,0,24,0,0,24,0,-2.12252964426878
1430,250,500,18,0,18,0,0,18,0,-1.13932806324111
1440,250,500,3,0,3,0,2,1,0.171936758893281,-0.00296442687747034
1460,250,500,0,0,0,0,0,0,0,0
1490,250,500,9,0,9,0,0,9,0,-0.548418972332016
1500,250,500,2,0,2,0,2,0,0.0800395256916996,0
1510,250,500,0,0,0,0,0,0,0,0
1530,250,500,0,0,0,0,0,0,0,0
1670,250,500,0,0,0,0,0,0,0,0
1720,250,500,202,0,202,0,147,55,9.20256916996047,-2.15711462450593
1770,250,500,2,0,2,0,0,2,0,-0.0760869565217391
1810,250,500,0,0,0,0,0,0,0,0
1840,250,500,6,4,2,0,2,0,0.136363636363636,0
1870,250,500,0,0,0,0,0,0,0,0
