"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,0,250,3,0,3,0,0,3,0,-0.0681818181818183
20,0,250,2,0,2,0,0,2,0,-0.00592885375494079
40,0,250,0,0,0,0,0,0,0,0
60,0,250,21,0,21,0,3,17,0.00790513833992101,-0.133399209486166
70,0,250,19,0,19,0,8,10,0.0375494071146248,-0.125494071146245
230,0,250,0,0,0,0,0,0,0,0
440,0,250,1,0,1,0,0,1,0,-0.0148221343873518
510,0,250,4,0,4,0,2,2,0.0266798418972332,-0.0296442687747036
530,0,250,4,0,4,0,4,0,0.110671936758893,0
540,0,250,78,0,78,0,58,19,0.515810276679842,-0.196640316205534
580,0,250,28,0,28,0,21,6,0.518774703557312,-0.0533596837944664
640,0,250,0,0,0,0,0,0,0,0
650,0,250,1,0,1,0,1,0,0.0405138339920948,0
690,0,250,0,0,0,0,0,0,0,0
770,0,250,8,0,8,0,1,7,5.55111512312578e-17,-0.076086956521739
1200,0,250,19,0,19,0,3,16,0.00889328063241107,-0.268774703557312
1250,0,250,9,0,9,0,2,7,0.00197628458498028,-0.050395256916996
1260,0,250,1,0,1,0,1,0,0.0405138339920948,0
1290,0,250,0,0,0,0,0,0,0,0
1320,0,250,537,0,537,0,197,315,3.72924901185771,-4.68873517786562
1330,0,250,1,0,1,0,0,1,0,-0.00988142292490124
1350,0,250,93,0,93,0,14,76,0.184782608695652,-1.35375494071146
1370,0,250,6,0,6,0,3,3,0.129446640316206,-0.0415019762845849
1390,0,250,1,0,1,0,0,1,0,-0.0128458498023715
1400,0,250,97,0,97,0,15,81,0.0978260869565218,-0.91403162055336
1410,0,250,3,0,3,0,2,1,0.0513833992094861,-0.00988142292490118
1420,0,250,33,0,33,0,6,27,0.091897233201581,-0.394268774703557
1430,0,250,27,0,27,0,5,22,0.0513833992094862,-0.340909090909091
1440,0,250,0,0,0,0,0,0,0,0
1460,0,250,6,0,6,0,0,6,0,-0.098814229249012
1490,0,250,13,0,13,0,1,12,5.55111512312578e-17,-0.175889328063241
1500,0,250,1,0,1,0,0,1,0,-0.00197628458498034
1510,0,250,0,0,0,0,0,0,0,0
1530,0,250,0,0,0,0,0,0,0,0
1670,0,250,1,0,1,0,0,1,0,-0.0197628458498024
1720,0,250,138,0,138,0,73,62,2.05237154150198,-0.690711462450593
1770,0,250,1,0,1,0,0,1,0,-0.00197628458498028
1810,0,250,1,0,1,0,1,0,0.0286561264822134,0
1840,0,250,25,0,25,0,12,13,0.261857707509882,-0.346837944664032
1870,0,250,0,0,0,0,0,0,0,0
1900,0,250,3,0,3,0,0,3,0,-0.033596837944664
1940,0,250,133,0,133,0,82,41,0.945652173913043,-0.341897233201582
1960,0,250,73,0,73,0,30,43,0.621541501976284,-1.40612648221344
1970,0,250,2,0,2,0,1,1,0.0276679841897233,-0.0108695652173914
1990,0,250,0,0,0,0,0,0,0,0
2000,0,250,14,0,14,0,6,8,0.129446640316206,-0.177865612648222
2001,0,250,161,0,161,0,75,83,1.52272727272727,-2.70849802371542
2010,0,250,18,0,18,0,14,4,0.208498023715415,-0.0909090909090909
2060,0,250,234,0,234,0,171,56,2.58794466403162,-1.19169960474308
2110,0,250,4,0,4,0,2,2,0.0345849802371542,-0.0345849802371542
2120,0,250,0,0,0,0,0,0,0,0
2140,0,250,21,0,21,0,6,15,0.0731225296442689,-0.121541501976285
2190,0,250,0,0,0,0,0,0,0,0
2210,0,250,11,0,11,0,2,8,0.000988142292490224,-0.050395256916996
2240,0,250,10,0,10,0,1,9,5.55111512312578e-17,-0.125494071146245
2250,0,250,1,0,1,0,1,0,5.55111512312578e-17,0
2260,0,250,0,0,0,0,0,0,0,0
2300,0,250,357,0,357,0,143,203,4.31422924901186,-2.89822134387352
2490,0,250,58,0,58,0,10,47,0.0701581027667985,-1.41205533596838
2540,0,250,0,0,0,0,0,0,0,0
2550,0,250,1,0,1,0,1,0,0.0177865612648221,0
2580,0,250,39,0,39,0,11,27,0.129446640316206,-0.58498023715415
2610,0,250,164,0,164,0,35,126,0.33893280632411,-1.94169960474308
2630,0,250,27,0,27,0,10,17,0.328063241106719,-0.450592885375494
2640,0,250,21,0,21,0,12,8,0.480237154150198,-0.244071146245059
2730,0,250,5799,0,5799,0,3936,1693,66.6531620553359,-17.554347826087
2882,0,250,0,0,0,0,0,0,0,0
2890,0,250,2251,0,2251,0,1552,632,23.5266798418972,-8.09683794466404
2920,0,250,10,0,10,0,6,4,0.595849802371542,-0.098814229249012
2930,0,250,89,0,89,0,45,44,1.01482213438735,-1.09387351778656
2940,0,250,123,1,122,0,56,65,3.10671936758893,-4.83596837944664
2950,0,250,101,0,101,0,47,53,2.16304347826087,-1.38932806324111
2971,0,250,3,0,3,0,2,1,0.218379446640316,-0.0691699604743084
3091,0,250,659,0,659,0,375,267,6.62154150197628,-4.01581027667985
3100,0,250,11,0,11,0,6,5,0.108695652173913,-0.0592885375494071
3120,0,250,26,0,26,0,7,19,0.459486166007905,-0.91501976284585
3131,0,250,2190,0,2190,0,1423,688,22.0780632411067,-5.83695652173914
3160,0,250,17760,5,17755,0,11307,6010,238.657114624506,-86.5909090909092
3190,0,250,81,0,81,0,37,43,1.40612648221344,-1.03656126482213
3200,0,250,42,0,42,0,18,24,0.50197628458498,-0.795454545454546
3210,0,250,14,0,14,0,1,13,0.00296442687747039,-0.633399209486166
3250,0,250,1559,1,1558,0,948,582,22.9278656126482,-15.0217391304348
3260,0,250,145,0,145,0,37,106,0.602766798418972,-4.18280632411067
3290,0,250,1,0,1,0,1,0,0.00296442687747034,0
3310,0,250,7,0,7,0,2,5,0.00790513833992096,-0.116600790513834
3370,0,250,410,3,407,0,183,206,6.01383399209486,-4.36363636363637
3390,0,250,117,0,117,0,49,66,1.27272727272727,-3.21541501976285
3420,0,250,115,0,115,0,57,58,1.61462450592885,-1.2697628458498
3480,0,250,1,0,1,0,0,1,0,-0.00494071146245062
3490,0,250,0,0,0,0,0,0,0,0
3520,0,250,2,0,2,0,1,1,5.55111512312578e-17,-0.000988142292490057
3600,0,250,45,0,45,0,28,16,1.02173913043478,-0.312252964426878
3620,0,250,6,0,6,0,1,5,0.000988142292490168,-0.0701581027667986
3640,0,250,34,0,34,0,17,15,0.219367588932807,-0.33498023715415
3680,0,250,0,0,0,0,0,0,0,0
3750,0,250,0,0,0,0,0,0,0,0
3780,0,250,4,0,4,0,3,1,0.107707509881423,-0.0177865612648221
3850,0,250,2,0,2,0,0,2,0,-0.00592885375494068
3870,0,250,2226,0,2226,0,1523,658,28.1037549407114,-10.7954545454546
3880,0,250,0,0,0,0,0,0,0,0
3900,0,250,0,0,0,0,0,0,0,0
3930,0,250,88,0,88,0,47,33,0.877470355731225,-0.809288537549408
3940,0,250,2441,0,2441,0,1519,852,31.7351778656126,-12.2529644268775
3960,0,250,33,0,33,0,15,18,0.568181818181818,-0.430830039525692
3970,0,250,23,0,23,0,10,13,0.192687747035573,-0.810276679841898
3990,0,250,3,0,3,0,3,0,0.269762845849802,0
4020,0,250,731,0,731,0,328,378,2.26778656126482,-3.85177865612648
4021,0,250,8,0,8,0,4,3,0.0217391304347826,-0.132411067193676
4030,0,250,4,0,4,0,3,1,0.0988142292490119,-0.0286561264822134
4050,0,250,592,0,592,0,430,148,10.296442687747,-2.62252964426878
4060,0,250,207,0,207,0,102,97,1.49802371541502,-1.23122529644269
4070,0,250,40,2,38,0,15,23,0.49901185770751,-1.59486166007905
4090,0,250,7454,0,7454,0,5376,1904,111.45256916996,-25.9871541501976
4100,0,250,16,0,16,0,3,13,0.0187747035573122,-0.3300395256917
4110,0,250,30,0,30,0,14,16,0.742094861660079,-0.657114624505929
4120,0,250,3438,0,3438,0,2231,1088,47.1798418972332,-10.6719367588933
4130,0,250,633,3,630,0,324,298,18.7183794466403,-15.7322134387352
4140,0,250,8,0,8,0,6,2,0.50197628458498,-0.058300395256917
4160,0,250,80,0,80,0,66,13,1.37747035573122,-0.226284584980237
4171,0,250,0,0,0,0,0,0,0,0
4200,0,250,225,0,225,0,119,105,4.29644268774704,-2.63142292490119
4210,0,250,12,0,12,0,1,10,0.000988142292490113,-0.150197628458498
4230,0,250,3733,0,3733,0,2743,909,58.5256916996047,-8.97134387351779
4250,0,250,3,0,3,0,2,1,0.126482213438735,-0.0326086956521739
4280,0,250,68,0,68,0,55,12,1.07707509881423,-0.291501976284585
4290,0,250,0,0,0,0,0,0,0,0
4310,0,250,13,0,13,0,7,6,0.177865612648221,-0.291501976284585
