"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,0,250,3,0,3,0,0,3,0,-0.0335968379446641
20,0,250,2,0,2,0,1,1,0.0079051383399209,-0.0138339920948617
40,0,250,0,0,0,0,0,0,0,0
60,0,250,21,0,21,0,4,17,0.0118577075098814,-0.0859683794466407
70,0,250,19,0,19,0,11,6,0.116600790513834,-0.0592885375494072
230,0,250,0,0,0,0,0,0,0,0
440,0,250,1,0,1,0,0,1,0,-0.0148221343873517
510,0,250,4,0,4,0,1,3,0.0207509881422925,-0.0671936758893282
530,0,250,4,0,4,0,4,0,0.33596837944664,0
540,0,250,78,0,78,0,15,59,0.0869565217391304,-0.632411067193677
580,0,250,28,0,28,0,22,6,0.242094861660079,-0.116600790513834
640,0,250,0,0,0,0,0,0,0,0
650,0,250,1,0,1,0,1,0,0.00691699604743073,0
690,0,250,0,0,0,0,0,0,0,0
770,0,250,8,0,8,0,1,7,0.000988142292490057,-0.0415019762845851
1200,0,250,19,0,19,0,3,16,0.00592885375494068,-0.141304347826087
1250,0,250,9,0,9,0,2,7,0.00395256916996056,-0.0237154150197631
1260,0,250,1,0,1,0,1,0,0.00691699604743073,0
1290,0,250,0,0,0,0,0,0,0,0
1320,0,250,537,4,533,0,193,329,2.7796442687747,-4.87944664031621
1330,0,250,1,0,1,0,0,1,0,-0.0207509881422925
1350,0,250,93,0,93,0,10,82,0.114624505928854,-1.31818181818182
1370,0,250,6,0,6,0,2,4,0.159090909090909,-0.0266798418972334
1390,0,250,1,0,1,0,0,1,0,-0.0326086956521739
1400,0,250,97,0,97,0,19,74,0.0622529644268774,-0.506916996047432
1410,0,250,3,0,3,0,1,2,0.00988142292490113,-0.187747035573123
1420,0,250,33,0,33,0,6,27,0.0958498023715414,-0.250000000000001
1430,0,250,27,0,27,0,4,23,0.0464426877470356,-0.189723320158104
1440,0,250,0,0,0,0,0,0,0,0
1460,0,250,6,0,6,0,0,6,0,-0.0503952569169963
1490,0,250,13,0,13,0,0,13,0,-0.0998023715415024
1500,0,250,1,0,1,0,0,1,0,-0.0138339920948617
1510,0,250,0,0,0,0,0,0,0,0
1530,0,250,0,0,0,0,0,0,0,0
1670,0,250,1,0,1,0,0,1,0,-0.00988142292490124
1720,0,250,138,0,138,0,66,69,1.449604743083,-0.767786561264823
1770,0,250,1,0,1,0,0,1,0,-0.0148221343873517
1810,0,250,1,0,1,0,1,0,0.00889328063241107,0
1840,0,250,25,0,25,0,8,16,0.0810276679841898,-0.227272727272727
1870,0,250,0,0,0,0,0,0,0,0
