"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
6240,0,400,23741,0,23741,0,12556,10704,240.262845849802,-198.758893280633
6260,0,400,1,0,1,0,0,1,0,-0.0345849802371541
6270,0,400,6394,20,6374,0,3581,2669,93.0909090909091,-65
6280,0,400,799,0,799,0,535,249,11.4150197628458,-4.85573122529645
6290,0,400,522,0,522,0,208,301,3.32312252964427,-6.32411067193676
6291,0,400,230,0,230,0,90,140,4.13142292490119,-8.4802371541502
6292,0,400,125,0,125,0,80,44,4.33893280632411,-2.38735177865613
6310,0,400,4513,0,4513,0,2722,1710,50.8290513833992,-31.7944664031621
6320,0,400,71,0,71,0,34,36,1.08695652173913,-1.93083003952569
6330,0,400,77,0,77,0,54,22,2.16304347826087,-0.347826086956522
6340,0,400,2,0,2,0,2,0,0.0484189723320158,0
6360,0,400,1285,0,1285,0,468,770,4.89328063241106,-14.9664031620553
6370,0,400,128,0,128,0,71,56,1.48122529644269,-0.899209486166008
6390,0,400,32,0,32,0,18,14,0.322134387351778,-0.270750988142293
6410,0,400,14,0,14,0,11,2,0.244071146245059,-0.0177865612648221
6420,0,400,9,0,9,0,7,1,0.0296442687747034,-0.00592885375494068
6430,0,400,15,0,15,0,15,0,0.595849802371542,0
6440,0,400,32,1,31,0,20,11,1.40415019762846,-0.757905138339921
6450,0,400,631,0,631,0,331,278,6.05731225296442,-7.31324110671937
6460,0,400,325,0,325,0,155,169,6.5098814229249,-7.34189723320158
6470,0,400,2,0,2,0,0,2,0,-0.0988142292490119
6480,0,400,1236,0,1236,0,549,658,9.89328063241106,-12.3102766798419
6520,0,400,11377,9,11368,0,5827,5302,122.305335968379,-107.450592885376
6540,0,400,229,0,229,0,36,187,0.443675889328063,-4.12944664031621
6550,0,400,823,0,823,0,275,525,6.20553359683794,-11.75395256917
6556,0,400,1,0,1,0,0,1,0,-0.016798418972332
6560,0,400,781,12,769,0,384,379,20.8310276679842,-17.5790513833992
6570,0,400,440,0,440,0,106,324,1.12252964426877,-6.48616600790514
6580,0,400,5,0,5,0,5,0,0.0859683794466403,0
6590,0,400,4078,0,4078,0,1408,2559,14.8695652173913,-51.505928853755
6610,0,400,5,0,5,0,4,1,0.0573122529644269,-0.00592885375494068
6620,0,400,270,0,270,0,100,159,0.986166007905138,-2.95158102766799
6630,0,400,190,0,190,0,119,67,1.98320158102767,-1.61363636363636
6640,0,400,24,0,24,0,11,13,0.358695652173913,-0.871541501976285
6650,0,400,91,0,91,0,37,54,1.68577075098814,-4.09486166007905
6670,0,400,1018,0,1018,0,430,559,5.73122529644268,-11.1333992094862
6680,0,400,122,0,122,0,35,86,0.821146245059289,-3.36758893280632
6690,0,400,46,0,46,0,11,35,0.66403162055336,-2.19861660079051
6710,0,400,2530,0,2530,0,1537,937,29.0474308300395,-17.8863636363637
6720,0,400,1,0,1,0,0,1,0,-0.0187747035573123
6730,0,400,789,0,789,0,537,239,8.53162055335968,-4.82312252964427
6740,0,400,12604,0,12604,0,5617,6719,98.9189723320158,-133.872529644269
6750,0,400,90,0,90,0,47,41,0.898221343873517,-1.08596837944664
6760,0,400,77,0,77,0,44,31,0.591897233201581,-0.628458498023716
6770,0,400,485,0,485,0,322,148,5.04249011857707,-1.56126482213439
6780,0,400,1,0,1,0,0,1,0,-0.00494071146245062
6790,0,400,310,0,310,0,216,87,2.52766798418972,-1.44762845849803
6800,0,400,382,3,379,0,165,210,9.10079051383399,-8.86956521739131
6810,0,400,28535,0,28535,0,16246,11701,331.227272727273,-208.557312252965
6830,0,400,4930,0,4930,0,3124,1705,57.7401185770751,-26.0464426877471
6840,0,400,1228,0,1228,0,870,330,18.4179841897233,-5.40316205533597
6850,0,400,108,0,108,0,52,56,1.81324110671937,-2.32905138339921
6860,0,400,5,0,5,0,3,1,0.00790513833992113,-0.0503952569169961
6870,0,400,4144,0,4144,0,1720,2321,26.544466403162,-46.0148221343874
6880,0,400,2,0,2,0,2,0,0.0770750988142292,0
6882,0,400,20344,7,20337,0,12692,7248,279.155138339921,-125.262845849802
6900,0,400,4,0,4,0,2,2,0.0276679841897233,-0.16600790513834
7000,0,400,6,0,6,0,0,6,0,-0.139328063241107
7020,0,400,206,0,206,0,176,29,13.2173913043478,-1.03359683794466
7030,0,400,12367,10,12357,0,7394,4756,160.352766798419,-99.7885375494072
7040,0,400,19704,0,19704,0,11375,7951,235.580039525692,-141.574110671937
7050,0,400,9799,0,9799,0,6377,3224,127.747035573122,-43.2865612648222
7070,0,400,27,0,27,0,26,1,1.60079051383399,-0.0256916996047432
7100,0,400,3,0,3,0,1,2,0.041501976284585,-0.024703557312253
7130,0,400,92,2,90,0,78,9,5.55928853754941,-0.114624505928854
7150,0,400,341,7,334,0,260,74,17.201581027668,-3.79150197628459
7170,0,400,2,0,2,0,2,0,0.109683794466403,0
7180,0,400,11965,0,11965,0,7259,4495,143.264822134387,-79.4772727272728
7190,0,400,250,0,250,0,112,135,4.77075098814229,-5.67094861660079
7210,0,400,17391,14,17377,0,10836,6180,234.513833992095,-98.2717391304348
7221,0,400,120,0,120,0,19,100,0.527667984189723,-5.13735177865613
7222,0,400,383,0,383,0,95,280,0.908102766798418,-6.4199604743083
7240,0,400,309,0,309,0,150,152,1.70454545454545,-1.78754940711463
7250,0,400,177,0,177,0,36,139,0.173913043478261,-1.51581027667984
7260,0,400,38,0,38,0,21,17,1.22529644268775,-1.31916996047431
7270,0,400,4536,0,4536,0,2621,1815,51.9525691699605,-29.5849802371542
7280,0,400,867,0,867,0,340,511,12.3458498023715,-24.151185770751
7290,0,400,86,0,86,0,53,33,1.33695652173913,-0.792490118577075
7300,0,400,8,0,8,0,6,2,0.260869565217391,-0.106719367588933
7310,0,400,19206,0,19206,0,11785,7049,241.927865612648,-111.715415019763
7315,0,400,1,0,1,0,0,1,0,-0.0118577075098815
7320,0,400,36,0,36,0,9,27,0.0958498023715413,-0.483201581027668
7330,0,400,21,0,21,0,6,14,0.326086956521739,-0.623517786561265
7331,0,400,15,0,15,0,7,8,0.139328063241107,-0.393280632411067
7340,0,400,1,0,1,0,1,0,0.0691699604743083,0
7350,0,400,10904,1,10903,0,4537,6109,71.3231225296442,-133.287549407115
7360,0,400,6148,0,6148,0,3678,2349,70.397233201581,-42.3616600790514
7380,0,400,371,12,359,0,218,140,14.4051383399209,-8.04644268774704
7410,0,400,116,0,116,0,21,94,0.595849802371542,-5.0602766798419
7420,0,400,62,0,62,0,28,33,1.0998023715415,-1.76086956521739
7430,0,400,28,0,28,0,12,15,0.562252964426878,-0.592885375494071
7460,0,400,79,0,79,0,66,13,5.52075098814229,-0.260869565217391
7470,0,400,1,0,1,0,1,0,0.0138339920948616,0
7480,0,400,146,0,146,0,44,99,1.56719367588933,-5.44565217391305
7490,0,400,442,4,438,0,239,192,10.4179841897233,-6.08102766798419
7510,0,400,4371,0,4371,0,2590,1696,47.7164031620553,-27.998023715415
7520,0,400,21,0,21,0,18,3,1.30830039525692,-0.124505928853755
7540,0,400,43,0,43,0,25,18,1.68577075098814,-0.855731225296443
7550,0,400,14922,0,14922,0,8938,5700,173.131422924901,-89.3310276679842
7560,0,400,4751,0,4751,0,1539,3082,15.7727272727273,-62.9634387351779
7570,0,400,11,0,11,0,11,0,0.50494071146245,0
7580,0,400,904,0,904,0,267,626,9.24505928853755,-30.7618577075099
7590,0,400,1678,14,1664,0,622,1006,19.1590909090909,-28.4752964426878
7610,0,400,37820,55,37765,0,21668,15417,551.490118577075,-338.568181818182
7630,0,400,98,0,98,0,68,30,2.71047430830039,-1.39822134387352
7660,0,400,13024,0,13024,0,8181,4587,163.036561264822,-72.6610671936759
7670,0,400,71,0,71,0,34,36,1.41699604743083,-2.05335968379447
7680,0,400,419,14,405,0,270,132,16.2055335968379,-5.33596837944664
22860,0,400,37,0,37,0,20,15,0.259881422924901,-0.485177865612648
