"AOU","fLU_ab","fLU_pr","fLU_tas","Diet.5Cat","IUCN_status","tail"
60,0.0700636942675161,0.772641021217871,-0.888111888111887,"Invertebrate","LC","LT"
70,-1,-0.217726396917149,-0.539393939393936,"VertFishScav","LC","UT"
540,0.708108108108108,0.189521301735198,0.447988904299583,"VertFishScav","LC","LT"
770,1,0.688661459736063,-0.999999999999999,"VertFishScav","LC","LT"
1250,1,0.502902374670184,-0.924528301886791,"VertFishScav","LC","LT"
1320,0.290780141843972,0.199898998841159,-0.113980514144853,"Omnivore","LC","LT"
1350,0.689133425034389,0.473539572864323,-0.759794476557482,"PlantSeed","LC","LT"
1400,0.459637561779244,0.912851555574415,-0.806640625,"PlantSeed","LC","LT"
1410,1,-1,0.67741935483871,"PlantSeed","LC","LT"
1420,0.156398104265401,0.489056603773585,-0.621951219512195,"Invertebrate","LC","LT"
1430,-0.0535211267605627,0.645165726860129,-0.738035264483627,"PlantSeed","LC","UT"
1460,1,0.568290353390641,-1,"PlantSeed","LC","LT"
1720,0.311608961303462,-0.65535323407019,0.496397694524496,"PlantSeed","LC","LT"
1810,-1,-1,1,"PlantSeed","LC","UT"
1840,1,0.375922626622551,-0.139610389610389,"VertFishScav","LC","LT"
1940,-0.497942386831277,-0.015630550621668,0.468917881811204,"VertFishScav","LC","UT"
1960,-1,0.520298047276466,-0.386939571150098,"VertFishScav","LC","UT"
2001,-0.178247734138973,0.821644262614455,-0.280242877160207,"Invertebrate","LC","UT"
2010,0.306930693069305,-0.612200435729847,0.392739273927393,"VertFishScav","LC","LT"
2060,0.215686274509804,0.479886639345935,0.369411764705883,"Omnivore","LC","LT"
2140,0.665306122448979,0.530645886407914,-0.248730964467006,"PlantSeed","LC","LT"
2210,1,0.904230191110157,-0.961538461538457,"PlantSeed","LC","LT"
2240,1,0.481563015960373,-0.999999999999999,"Invertebrate","LC","LT"
2300,0.304066543438078,0.291179995596378,0.196328264145773,"Invertebrate","LC","LT"
2490,-1,0.192755672254764,-0.905333333333333,"Invertebrate","LC","UT"
2580,1,-0.264190981432361,-0.637621023513139,"Invertebrate","LC","LT"
2610,0.224806201550386,0.649289894900249,-0.702772963604853,"Invertebrate","LC","LT"
2640,-1,-0.162913907284767,0.32605729877217,"Invertebrate","LC","UT"
2730,0.082742891802616,-0.161193189794983,0.583069304607007,"Invertebrate","LC","LT"
2890,-0.12181879877842,-0.0577017530968279,0.487923007218072,"PlantSeed","NT","UT"
2920,1,-0.791065775589166,0.715504978662873,"PlantSeed","LC","LT"
2930,0.293433799784717,0.368362472754254,-0.0374882849109656,"PlantSeed","LC","LT"
2940,0.251761103899772,-0.172603932380468,-0.21771584971386,"PlantSeed","LC","LT"
2950,0.175592625109746,0.776129493724175,0.21780250347705,"PlantSeed","LC","LT"
3091,-0.292940280648319,0.274533304689002,0.244960520204365,"PlantSeed","LC","UT"
3120,0.548387096774193,-0.512235586893405,-0.331416247304098,"PlantSeed","LC","LT"
3131,-0.156383628588882,-0.311069707217454,0.581805309734512,"PlantSeed","LC","UT"
3160,-0.0661472955718218,-0.386113595272676,0.46753921452464,"PlantSeed","LC","UT"
3190,-0.629139072847683,0.675239833654709,0.15129449838188,"PlantSeed","LC","UT"
3200,-0.579158316633265,0.906100478468899,-0.226199543031227,"Omnivore","LC","UT"
3250,-0.205676676264912,-0.326461931881117,0.208332248405155,"VertFishScav","LC","UT"
3260,-1,0.437674383530654,-0.748090026842866,"VertFishScav","LC","UT"
3310,-1,0.955103472465802,-0.873015873015873,"VertFishScav","LC","UT"
3370,-0.095496894409938,0.110668156048908,0.159017330032374,"VertFishScav","LC","UT"
3390,0.0451866404715133,0.632702974188758,-0.432848965213564,"VertFishScav","LC","LT"
3420,-0.793103448275863,0.587584970493763,0.119561493662213,"VertFishScav","LC","UT"
3600,-0.340153452685423,-0.121200316137503,0.53185185185185,"Invertebrate","LC","UT"
3850,-0.302970297029703,1,-1,"VertFishScav","LC","UT"
3870,-0.147153015252674,0.140601826114962,0.444952497078694,"Invertebrate","LC","UT"
3930,-1,-0.494725334790927,0.0404217926186285,"Invertebrate","LC","UT"
3940,0.052294376752607,-0.444047987879991,0.442896935933146,"Invertebrate","LC","LT"
3970,-1,0.324822695035462,-0.61576354679803,"Invertebrate","LC","UT"
3990,-1,-0.963386727688787,1,"Invertebrate","LC","UT"
4020,-0.469927561650757,-0.0995615625515073,-0.258840626513806,"Omnivore","LC","UT"
4050,0.0418410041841001,-0.30108795709952,0.594003365458159,"Invertebrate","LC","LT"
4060,-0.0884848484848477,-0.226429250237582,0.0977552498189709,"Invertebrate","LC","UT"
4070,-1,-0.670028328611897,-0.523360075507314,"PlantSeed","LC","UT"
4090,0.0282727496674973,-0.398592911888663,0.621839254002832,"Omnivore","LC","LT"
4110,0.31496062992126,0.894359554800982,0.060734463276836,"Omnivore","LC","LT"
4120,-0.0590032154340839,-0.787779703592264,0.631059337956478,"Invertebrate","LC","UT"
4130,-0.108476064997804,-0.212170946772221,0.0866796695731975,"Invertebrate","LC","UT"
4160,-1,-0.120146283747446,0.717806531115218,"Invertebrate","NT","UT"
4200,0.455915599095705,0.423121668438686,0.240336613892454,"Invertebrate","LC","LT"
4230,0.0326255308518618,-0.542676291502953,0.734170729207841,"Invertebrate","VU","LT"
4280,1,0.304788019405191,0.574007220216607,"FruiNect","LC","LT"
4320,-0.420802751628389,0.0664245597736585,0.521633585606168,"FruiNect","LC","UT"
4430,-0.267931513188338,0.3120580346257,-0.694601849090367,"Invertebrate","LC","UT"
