"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,0,400,3,0,3,0,3,0,0.196781479390175,0
20,0,400,2,0,2,0,2,0,0.065508808255961,0
40,0,400,1,0,1,0,1,0,0.0468661773009599,0
60,0,400,26,2,24,0,15,9,1.59006211180124,-0.207227555053642
70,0,400,30,8,22,0,8,14,0.692828910220215,-0.787690570299266
230,0,400,1,1,0,0,0,0,0,0
440,0,400,2,2,0,0,0,0,0,0
510,0,400,5,0,5,0,1,4,0.0307735742518351,-0.0807453416149067
530,0,400,9,1,8,0,8,0,0.524562394127612,0
540,0,400,131,22,109,0,54,55,3.8977978543196,-3.2673630717109
580,0,400,48,0,48,0,14,34,0.97063805759458,-1.95906267645398
640,0,400,0,0,0,0,0,0,0,0
650,0,400,1,0,1,0,1,0,0.0457368718238284,0
690,0,400,0,0,0,0,0,0,0,0
770,0,400,12,1,11,0,6,5,1.06182947487295,-0.277244494635799
1200,0,400,22,1,21,0,18,3,2.28684359119142,-0.182100508187465
1250,0,400,10,3,7,0,2,5,0.402032749858837,-0.132975719932242
1260,0,400,1,0,1,0,1,0,0.0457368718238284,0
1290,0,400,1,0,1,0,0,1,0,-0.141445511010728
1320,0,400,1134,290,844,0,465,376,44.6206863692569,-29.6860556290998
1330,0,400,1,0,1,0,0,1,0,-0.0626764539808018
1350,0,400,136,27,109,0,68,41,6.8399209486166,-2.21259175607002
1370,0,400,10,1,9,0,2,7,0.100508187464709,-0.405420666290231
1390,0,400,3,0,3,0,2,1,0.0511010728402035,-0.0508187464709203
1400,0,400,136,22,114,0,92,21,10.9159053370576,-0.714285714285713
1410,0,400,5,3,2,0,1,1,0.0454545454545455,-0.018068887634105
1420,0,400,51,7,44,0,26,18,2.45511010728402,-0.756352343308864
1430,0,400,42,0,42,0,26,16,2.24788255223038,-0.592320722755505
1440,0,400,2,0,2,0,0,2,0,-0.206662902315076
1460,0,400,6,0,6,0,4,2,0.231789949181254,-0.0638057594579333
1490,0,400,20,0,20,0,7,13,0.756070016939583,-0.488989271597967
1500,0,400,1,0,1,0,1,0,0.0333145115753812,0
1510,0,400,0,0,0,0,0,0,0,0
1530,0,400,0,0,0,0,0,0,0,0
1670,0,400,1,0,1,0,1,0,0.051948051948052,0
1720,0,400,264,74,190,0,51,137,3.98447204968944,-13.7571993224167
1770,0,400,3,0,3,0,1,2,5.55111512312578e-17,-0.165160926030491
1810,0,400,1,0,1,0,0,1,0,-0.133540372670807
1840,0,400,31,13,18,0,12,6,0.763128176171655,-0.346132128740824
1870,0,400,0,0,0,0,0,0,0,0
1900,0,400,3,1,2,0,2,0,0.348673066064371,0
1940,0,400,293,79,214,0,94,119,6.66092603049125,-9.48531902879729
1960,0,400,128,26,102,0,71,29,6.51383399209486,-1.47882552230378
1970,0,400,3,0,3,0,2,1,0.29192546583851,-0.0163749294184076
1990,0,400,1,1,0,0,0,0,0,0
2000,0,400,29,5,24,0,17,7,1.67560700169396,-0.365047995482778
2001,0,400,257,44,213,0,170,42,17.42518351214,-1.72699040090344
2010,0,400,33,9,24,0,10,14,0.386787125917561,-0.842461885940146
2060,0,400,285,96,189,0,125,64,11.6485036702428,-3.62817617165443
2110,0,400,6,0,6,0,2,3,0.0773574251835122,-0.154432523997741
2120,0,400,0,0,0,0,0,0,0,0
2140,0,400,40,4,36,0,23,13,2.39130434782609,-0.712027103331451
2190,0,400,0,0,0,0,0,0,0,0
2210,0,400,21,0,21,0,11,10,1.45765104460757,-0.352060982495764
2240,0,400,10,0,10,0,5,5,0.380011293054771,-0.132975719932242
2250,0,400,1,0,1,0,0,1,0,-0.0259740259740259
2260,0,400,0,0,0,0,0,0,0,0
2300,0,400,659,212,447,0,284,162,23.9893854694722,-12.2255915277691
2490,0,400,102,28,74,0,44,30,3.80124223602485,-2.21880293619424
2540,0,400,0,0,0,0,0,0,0,0
2550,0,400,1,1,0,0,0,0,0,0
2580,0,400,60,11,49,0,16,32,1.53500846979108,-2.70779220779221
2610,0,400,298,44,254,0,163,91,17.6510446075664,-6.01270468661773
2630,0,400,48,22,26,0,15,11,1.3399209486166,-0.498870694522868
2640,0,400,32,13,19,0,8,11,0.563523433088651,-0.962168266516092
2730,0,400,13029,3740,9289,0,3973,5304,328.975512005112,-533.217169422377
2882,0,400,0,0,0,0,0,0,0,0
2890,0,400,4859,977,3882,0,1883,1994,145.564088085827,-167.976002258611
2920,0,400,19,0,19,0,4,15,0.135516657255788,-1.46809712027103
2930,0,400,173,23,150,0,90,60,8.5248447204969,-4.25917560700169
2940,0,400,243,22,221,0,86,135,5.13466967814794,-10.8565782044043
2950,0,400,187,78,109,0,80,29,7.47808691250635,-1.61379921663148
2971,0,400,3,2,1,0,0,1,0,-0.00649350649350644
3091,0,400,1519,506,1013,0,559,450,55.2029926595144,-38.9124788255223
3100,0,400,17,3,14,0,6,8,0.701863354037267,-0.186335403726708
3120,0,400,33,4,29,0,9,19,0.33201581027668,-1.32778091473744
3131,0,400,4270,1308,2962,0,1190,1769,100.440146809712,-196.050536420102
3160,0,400,39600,9445,30155,0,11714,18406,922.262432387813,-1955.68325808219
3190,0,400,153,66,87,0,61,26,5.02462921788194,-1.61833757015682
3200,0,400,63,11,52,0,44,7,4.34669678147939,-0.392998306041784
3210,0,400,15,0,15,0,12,3,0.958780350084698,-0.0330321852060981
3250,0,400,2941,459,2482,0,1017,1455,73.164932943806,-126.457136868523
3260,0,400,237,29,208,0,127,81,8.76849237718803,-3.93111236589497
3290,0,400,2,0,2,0,1,1,0.0578769057029928,-0.0225861095426313
3310,0,400,8,0,8,0,7,1,0.928571428571429,-0.018068887634105
3370,0,400,808,137,671,0,365,305,27.8495959595089,-28.0903571968826
3390,0,400,183,59,124,0,88,35,7.88424618859402,-1.70835686053077
3420,0,400,201,21,180,0,115,65,10.511010728402,-4.17786561264822
3480,0,400,1,0,1,0,0,1,0,-0.0214568040654997
3490,0,400,0,0,0,0,0,0,0,0
3520,0,400,3,1,2,0,0,1,0,-0.0457368718238284
3600,0,400,97,10,87,0,41,45,2.90215467530079,-3.28147939017504
3620,0,400,6,0,6,0,6,0,0.277809147374365,0
3640,0,400,38,1,37,0,18,18,0.680971202710334,-0.990118577075098
