"AOU","fLU_ab","fLU_pr","fLU_tas","Diet.5Cat","IUCN_status","tail","ORDER","Family","Genus","Species","English_Common_Name","ScientificName","BirdTreeName","comments","newBT","kipps","HWI","Avibase.ID","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments_gbif","gbif_dwnld_type","cleaned_records","bio1","bio12"
1810,-1,-1,1,"PlantSeed","LC","UT","Anseriformes","Anatidae","Cygnus","buccinator","Trumpeter Swan","Cygnus buccinator","Cygnus buccinator","","Cygnus_buccinator",267,42.6805118110236,"AVIBASE-B86C504C","9/27/2022",2498345,598468,598451,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2498345&occurrence_status=present","manual",356444,6.67971246006397,1050.50342582545
1840,1,0.375922627,-0.13961039,"VertFishScav","LC","LT","Pelecaniformes","Threskiornithidae","Eudocimus","albus","White Ibis","Eudocimus albus","Eudocimus albus","","Eudocimus_albus",97.175,35.2388602109089,"AVIBASE-74EDE3CA","9/27/2022",5229205,1426994,1426470,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229205&occurrence_status=present","manual",589072,18.0033936651584,1628.89588716459
1940,-0.497942387,-0.015630551,0.468917882,"VertFishScav","LC","UT","Pelecaniformes","Ardeidae","Ardea","herodias","Great Blue Heron","Ardea herodias","Ardea herodias","","Ardea_herodias",169.5,36.6030817672795,"AVIBASE-93694BB5","9/25/2022",9630752,9144347,9143709,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9630752&occurrence_status=present","manual",4066692,12.311807580175,1460.3380471106
1960,-1,0.520298047,-0.386939571,"VertFishScav","LC","UT","Pelecaniformes","Ardeidae","Ardea","alba","Great Egret","Ardea alba","Casmerodius albus","","Casmerodius_albus",120.703571428571,32.1422563959694,"AVIBASE-49D9148A","9/25/2022",9752617,7733878,7726754,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9752617&occurrence_status=present","manual",3410038,14.0470414201184,1928.02511833295
2001,-0.178247734,0.821644263,-0.280242877,"Invertebrate","LC","UT","Pelecaniformes","Ardeidae","Bubulcus","ibis","Cattle Egret","Bubulcus ibis","Bubulcus ibis","","Bubulcus_ibis",72.9545454545455,29.8911389598029,"AVIBASE-6CCDAC53","9/26/2022",2480830,2936877,2931084,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480830&occurrence_status=present","manual",1267568,14.6270392749245,2173.60924478835
2010,0.306930693,-0.612200436,0.392739274,"VertFishScav","LC","LT","Pelecaniformes","Ardeidae","Butorides","virescens","Green Heron","Butorides virescens","Butorides virescens","","Butorides_virescens",58.025,32.173192191305,"AVIBASE-9973F7CE","9/26/2022",9539567,2136010,2135336,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9539567&occurrence_status=present","manual",1125021,15.8384476534296,1552.86935345799
2060,0.215686275,0.479886639,0.369411765,"Omnivore","LC","LT","Gruiformes","Gruidae","Antigone","canadensis","Sandhill Crane","Antigone canadensis","Grus canadensis","","Grus_canadensis",210,43.7410335211082,"AVIBASE-E196D6F9","9/25/2022",9036008,1481312,1481256,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9036008&occurrence_status=present","manual",653638,5.0803317535545,965.128418650147
2140,0.665306122,0.530645886,-0.248730964,"PlantSeed","LC","LT","Gruiformes","Rallidae","Porzana","carolina","Sora","Porzana carolina","Porzana carolina","","Porzana_carolina",34.75,33.349272114048,"AVIBASE-2CC21529","9/30/2022",2474639,649123,649045,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2474639&occurrence_status=present","manual",219663,11.4989855072464,930.029562345169
2210,1,0.904230191,-0.961538462,"PlantSeed","LC","LT","Gruiformes","Rallidae","Fulica","americana","American Coot","Fulica americana","Fulica americana","","Fulica_americana",65.75,36.2652301360472,"AVIBASE-4FB248BA","9/27/2022",2474393,4088057,4087992,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2474393&occurrence_status=present","manual",2344189,12.1138483965015,1094.43418102992
2240,1,0.481563016,-1,"Invertebrate","LC","LT","Charadriiformes","Scolopacidae","Phalaropus","tricolor","Wilson's Phalarope","Phalaropus tricolor","Steganopus tricolor","manual","Steganopus_tricolor",73,56.1676191273646,"AVIBASE-667C6969","9/29/2022",5229389,352326,351751,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229389&occurrence_status=present","manual",332386,12.2119760479042,825.795561522666
