"AOU","fLU_ab","fLU_pr","fLU_tas","Diet.5Cat","IUCN_status","tail","ORDER","Family","Genus","Species","English_Common_Name","ScientificName","BirdTreeName","comments","newBT","kipps","HWI","Avibase.ID","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments_gbif","gbif_dwnld_type","cleaned_records","bio1","bio12"
4050,0.041841004,-0.301087957,0.594003365,"Invertebrate","LC","LT","Piciformes","Picidae","Dryocopus","pileatus","Pileated Woodpecker","Dryocopus pileatus","Dryocopus pileatus","","Dryocopus_pileatus",56.425,25.3305772394954,"AVIBASE-00635FF9","9/27/2022",5228824,3365509,3365468,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5228824&occurrence_status=present","manual",1672254,10.0257575757576,1349.01889199304
4060,-0.088484848,-0.22642925,0.09775525,"Invertebrate","LC","UT","Piciformes","Picidae","Melanerpes","erythrocephalus","Red-headed Woodpecker","Melanerpes erythrocephalus","Melanerpes erythrocephalus","","Melanerpes_erythrocephalus",40.575,29.0849329671018,"AVIBASE-448D91B7","9/28/2022",2478130,990871,990828,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478130&occurrence_status=present","manual",511485,12.5221991701245,1068.1060966652
4070,-1,-0.670028329,-0.523360076,"PlantSeed","LC","UT","Piciformes","Picidae","Melanerpes","formicivorus","Acorn Woodpecker","Melanerpes formicivorus","Melanerpes formicivorus","","Melanerpes_formicivorus",40.125,27.9929908166218,"AVIBASE-7E327303","9/28/2022",2478133,1102070,1101998,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478133&occurrence_status=present","manual",302995,14.471686746988,1394.79356010568
4090,0.02827275,-0.398592912,0.621839254,"Omnivore","LC","LT","Piciformes","Picidae","Melanerpes","carolinus","Red-bellied Woodpecker","Melanerpes carolinus","Melanerpes carolinus","","Melanerpes_carolinus",35.5222222222222,28.2473116766227,"AVIBASE-078557F2","9/28/2022",2478106,9518947,9518904,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478106&occurrence_status=present","manual",4314684,13.1837606837607,1224.54960884232
4110,0.31496063,0.894359555,0.060734463,"Omnivore","LC","LT","Piciformes","Picidae","Melanerpes","uropygialis","Gila Woodpecker","Melanerpes uropygialis","Melanerpes uropygialis","","Melanerpes_uropygialis",28.575,21.7468455647589,"AVIBASE-377525FA","9/28/2022",2478112,518903,518876,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478112&occurrence_status=present","manual",484405,17.445321637427,483.157602289948
4120,-0.059003215,-0.787779704,0.631059338,"Invertebrate","LC","UT","Piciformes","Picidae","Colaptes","auratus auratus","(Yellow-shafted Flicker) Northern Flicker","Colaptes auratus auratus","Colaptes auratus","manual","Colaptes_auratus",37.5285714285714,24.7775078267865,NA,"9/27/2022",2478259,9409776,9409533,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478259&occurrence_status=present","manual",4769474,8.41493150684937,1442.04656388713
4160,-1,-0.120146284,0.717806531,"Invertebrate","NT","UT","Caprimulgiformes","Caprimulgidae","Antrostomus","carolinensis","Chuck-will's-widow","Antrostomus carolinensis","Caprimulgus carolinensis","","Caprimulgus_carolinensis",106.175,51.5096020386033,"AVIBASE-8D3E8871","9/24/2022",6101173,98951,98935,NA,"code",87598,16.9940366972477,1296.82657618754
4200,0.455915599,0.423121668,0.240336614,"Invertebrate","LC","LT","Caprimulgiformes","Caprimulgidae","Chordeiles","minor","Common Nighthawk","Chordeiles minor","Chordeiles minor","","Chordeiles_minor",118.675,60.7362582863685,"AVIBASE-24E39ACD","9/27/2022",2497035,654472,654359,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2497035&occurrence_status=present","manual",324282,10.9242209631728,1187.31136714443
4230,0.032625531,-0.542676292,0.734170729,"Invertebrate","VU","LT","Apodiformes","Apodidae","Chaetura","pelagica","Chimney Swift","Chaetura pelagica","Chaetura pelagica","","Chaetura_pelagica",86.85,70.3247567844342,"AVIBASE-C3AD1AFF","9/27/2022",4409023,2519356,2519334,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=4409023&occurrence_status=present","manual",1237889,13.8152631578948,1231.7516872703
4280,1,0.304788019,0.57400722,"FruiNect","LC","LT","Apodiformes","Trochilidae","Archilochus","colubris","Ruby-throated Hummingbird","Archilochus colubris","Archilochus colubris","","Archilochus_colubris",27.65,65.0147692557533,"AVIBASE-DEC3D8D0","9/25/2022",5228514,2910944,2910886,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5228514&occurrence_status=present","manual",1400744,13.9656862745098,1423.6202661827
4320,-0.420802752,0.06642456,0.521633586,"FruiNect","LC","UT","Apodiformes","Trochilidae","Selasphorus","platycercus","Broad-tailed Hummingbird","Selasphorus platycercus","Selasphorus platycercus","","Selasphorus_platycercus",31.45,65.1796343537415,"AVIBASE-AFBD5A5F","9/30/2022",2476844,391453,391382,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2476844&occurrence_status=present","manual",156867,10.0925,687.726957192441
4430,-0.267931513,0.312058035,-0.694601849,"Invertebrate","LC","UT","Passeriformes","Tyrannidae","Tyrannus","forficatus","Scissor-tailed Flycatcher","Tyrannus forficatus","Tyrannus forficatus","","Tyrannus_forficatus",45.1,37.4826490713588,"AVIBASE-6F65F82B","10/1/2022",5229687,509092,509106,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229687&occurrence_status=present","manual",174771,16.0393129770993,1159.58719051149
4440,0.067023694,-0.076162338,0.473174351,"Invertebrate","LC","LT","Passeriformes","Tyrannidae","Tyrannus","tyrannus","Eastern Kingbird","Tyrannus tyrannus","Tyrannus tyrannus","","Tyrannus_tyrannus",38.56,33.3056678081277,"AVIBASE-082D833C","10/1/2022",5229688,2614192,2614166,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229688&occurrence_status=present","manual",1344848,11.6106936416185,1330.1755512155
4470,-0.101692463,0.322166717,0.21289205,"Invertebrate","LC","UT","Passeriformes","Tyrannidae","Tyrannus","verticalis","Western Kingbird","Tyrannus verticalis","Tyrannus verticalis","","Tyrannus_verticalis",41.85,33.1752421974018,"AVIBASE-2281F1C7","10/1/2022",5229675,987388,987337,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229675&occurrence_status=present","manual",328992,13.4723270440252,875.940648664095
4480,0.716894977,0.253091045,0.187247204,"Invertebrate","LC","LT","Passeriformes","Tyrannidae","Tyrannus","vociferans","Cassin's Kingbird","Tyrannus vociferans","Tyrannus vociferans","","Tyrannus_vociferans",41.325,31.8386758515348,"AVIBASE-178B8955","10/1/2022",5229681,496990,497018,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229681&occurrence_status=present","manual",449636,14.8366920152092,660.497505612372
4520,0.148753385,-0.347406951,0.476615407,"Invertebrate","LC","LT","Passeriformes","Tyrannidae","Myiarchus","crinitus","Great Crested Flycatcher","Myiarchus crinitus","Myiarchus crinitus","","Myiarchus_crinitus",21.6,21.3887009357444,"AVIBASE-8D6D5F2B","9/28/2022",2483597,2282070,2282012,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483597&occurrence_status=present","manual",1059665,14.7166666666667,1538.66559230816
4530,0.271028037,1,-0.255033557,"Invertebrate","LC","LT","Passeriformes","Tyrannidae","Myiarchus","tyrannulus","Brown-crested Flycatcher","Myiarchus tyrannulus","Myiarchus tyrannulus","","Myiarchus_tyrannulus",15.3480952380952,16.6311413219682,"AVIBASE-FC9E06A0","9/28/2022",2483589,226254,226165,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483589&occurrence_status=present","manual",125196,19.0235576923077,1379.06847614775
4540,0.0199071,0.340981332,0.083802776,"Invertebrate","LC","LT","Passeriformes","Tyrannidae","Myiarchus","cinerascens","Ash-throated Flycatcher","Myiarchus cinerascens","Myiarchus cinerascens","","Myiarchus_cinerascens",19.75,20.4219954120056,"AVIBASE-E0A04985","9/28/2022",2483600,494205,494107,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483600&occurrence_status=present","manual",331230,14.5974226804124,752.552424368007
4560,-0.06331887,-0.561476469,0.444319566,"Invertebrate","LC","UT","Passeriformes","Tyrannidae","Sayornis","phoebe","Eastern Phoebe","Sayornis phoebe","Sayornis phoebe","","Sayornis_phoebe",17.4,20.6417842215256,"AVIBASE-62CA2AF8","9/30/2022",2483606,4634124,4634072,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483606&occurrence_status=present","manual",2538334,11.1315873015873,1132.06927141614
4570,0.749182116,0.351833225,0.403965304,"Invertebrate","LC","LT","Passeriformes","Tyrannidae","Sayornis","saya","Say's Phoebe","Sayornis saya","Sayornis saya","","Sayornis_saya",26.8,25.6056019281985,"AVIBASE-28669A3D","9/30/2022",2483607,1154296,1154230,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483607&occurrence_status=present","manual",618958,7.66067708333338,691.508901251739
4580,-0.58891455,0.271410913,-0.149689144,"Invertebrate","LC","UT","Passeriformes","Tyrannidae","Sayornis","nigricans","Black Phoebe","Sayornis nigricans","Sayornis nigricans","","Sayornis_nigricans",19.45,21.9775063527914,"AVIBASE-B182DED2","9/30/2022",2483612,2378202,2378146,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483612&occurrence_status=present","manual",333619,15.0488636363637,1462.74892417722
4590,-0.495798319,-0.829608295,0.115116017,"Invertebrate","NT","UT","Passeriformes","Tyrannidae","Contopus","cooperi","Olive-sided Flycatcher","Contopus cooperi","Contopus cooperi","","Contopus_cooperi",38.475,37.8667987529132,"AVIBASE-951C150C","9/27/2022",5229743,373421,373380,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229743&occurrence_status=present","manual",258572,9.95588235294122,1626.10474193827
4610,-0.145988823,-0.596224745,0.63935363,"Invertebrate","LC","UT","Passeriformes","Tyrannidae","Contopus","virens","Eastern Wood-Pewee","Contopus virens","Contopus virens","","Contopus_virens",25.55,30.9151678573583,"AVIBASE-9891BF73","9/27/2022",5229734,2292843,2292782,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229734&occurrence_status=present","manual",1173988,14.4297250859107,1781.97077075425
4620,0.05129829,-0.256994946,0.101877608,"Invertebrate","LC","LT","Passeriformes","Tyrannidae","Contopus","sordidulus","Western Wood-Pewee","Contopus sordidulus","Contopus sordidulus","","Contopus_sordidulus",29.025,33.4473824222944,"AVIBASE-F6CA75F0","9/27/2022",5229754,851860,851672,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229754&occurrence_status=present","manual",614885,10.9175070028012,1488.21073651688
4641,0.455026455,-0.206958856,-0.585108287,"Invertebrate","LC","LT","Passeriformes","Tyrannidae","Empidonax","difficilis","Pacific-slope Flycatcher","Empidonax difficilis","Empidonax difficilis","","Empidonax_difficilis",14.05,21.7872374016012,"AVIBASE-44A20283","9/27/2022",9568685,525760,525622,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9568685&occurrence_status=present","manual",240748,12.1831189710611,1464.59423254858
4650,0.141786506,-0.807804823,0.699986341,"Invertebrate","LC","LT","Passeriformes","Tyrannidae","Empidonax","virescens","Acadian Flycatcher","Empidonax virescens","Empidonax virescens","","Empidonax_virescens",19.875,27.5358869447449,"AVIBASE-2778A3F4","9/27/2022",2482802,496871,496827,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482802&occurrence_status=present","manual",232591,16.36452991453,1652.31000547745
4660,0.35940919,-0.183632223,-0.250692137,"Invertebrate","LC","LT","Passeriformes","Tyrannidae","Empidonax","traillii","Willow Flycatcher","Empidonax traillii","Empidonax traillii","","Empidonax_traillii",16.25,23.5387038649142,"AVIBASE-5BC4E0EF","9/27/2022",2482786,661018,660954,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482786&occurrence_status=present","manual",406135,12.7578787878788,1238.47006222124
4661,0.165617301,0.023991258,0.011591674,"Invertebrate","LC","LT","Passeriformes","Tyrannidae","Empidonax","alnorum","Alder Flycatcher","Empidonax alnorum","Empidonax alnorum","","Empidonax_alnorum",12.4,19.1813560236762,"AVIBASE-33808812","9/27/2022",2482809,404454,404433,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482809&occurrence_status=present","manual",139698,9.51243386243391,1125.48871441832
4670,-0.114154744,0.052537465,0.027080256,"Invertebrate","LC","UT","Passeriformes","Tyrannidae","Empidonax","minimus","Least Flycatcher","Empidonax minimus","Empidonax minimus","","Empidonax_minimus",14.15,22.8159233681855,"AVIBASE-F5837054","9/27/2022",2482791,894520,894454,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482791&occurrence_status=present","manual",593781,11.589606741573,1228.59111177525
4680,0.530261969,-0.184291423,-0.168,"Invertebrate","LC","LT","Passeriformes","Tyrannidae","Empidonax","hammondii","Hammond's Flycatcher","Empidonax hammondii","Empidonax hammondii","","Empidonax_hammondii",15.45,23.1448874212704,"AVIBASE-1EB2595E","9/27/2022",2482800,191790,191644,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482800&occurrence_status=present","manual",160006,9.80655976676388,1307.49891336444
4690,-0.648,-0.183463293,0.2911485,"Invertebrate","LC","UT","Passeriformes","Tyrannidae","Empidonax","oberholseri","Dusky Flycatcher","Empidonax oberholseri","Empidonax oberholseri","","Empidonax_oberholseri",12.475,18.7094932873143,"AVIBASE-499FFF98","9/27/2022",2482803,188583,188455,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482803&occurrence_status=present","manual",106660,10.5177811550153,948.245122744269
4740,-0.183798992,0.07984122,0.571551165,"Omnivore","LC","UT","Passeriformes","Alaudidae","Eremophila","alpestris","Horned Lark","Eremophila alpestris","Eremophila alpestris","","Eremophila_alpestris",41.7307692307692,38.6640683136843,"AVIBASE-FC0A1D95","9/27/2022",9415596,1405666,1402567,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9415596&occurrence_status=present","manual",550454,4.9384160756502,854.121574148565
4750,-0.323519572,0.107893879,0.30276654,"Omnivore","LC","UT","Passeriformes","Corvidae","Pica","hudsonia","Black-billed Magpie","Pica hudsonia","Pica hudsonia","","Pica_hudsonia",49.62,24.598420350312,"AVIBASE-640D71AA","9/29/2022",5229487,1693819,1693781,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229487&occurrence_status=present","manual",811467,4.89000000000004,809.542376999393
4760,0.05,0.368010403,-0.340694006,"Omnivore","VU","LT","Passeriformes","Corvidae","Pica","nuttalli","Yellow-billed Magpie","Pica nuttalli","Pica nuttalli","","Pica_nuttalli",49.9,26.2347553477655,"AVIBASE-538A9CA7","9/24/2022",5229489,93523,93518,NA,"code",92449,14.0939560439561,593.376793698105
4770,-0.043871449,-0.447858456,0.529240561,"Omnivore","LC","UT","Passeriformes","Corvidae","Cyanocitta","cristata","Blue Jay","Cyanocitta cristata","Cyanocitta cristata","","Cyanocitta_cristata",22.87,17.392066375969,"AVIBASE-1DA430B8","9/27/2022",2482593,14987744,14987662,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482593&occurrence_status=present","manual",6774521,10.8435714285715,1133.87245822546
4780,0.330687747,-0.452943083,-0.084717476,"Omnivore","LC","LT","Passeriformes","Corvidae","Cyanocitta","stelleri","Steller's Jay","Cyanocitta stelleri","Cyanocitta stelleri","","Cyanocitta_stelleri",19.98,13.6574965415407,"AVIBASE-2225D685","9/27/2022",2482598,1792002,1791568,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482598&occurrence_status=present","manual",684624,8.70954692556637,1570.19680697856
4812,0.024128686,-0.306851424,-0.431978459,"Omnivore","NT","LT","Passeriformes","Corvidae","Aphelocoma","californica","California Scrub-Jay","Aphelocoma californica","Aphelocoma californica","","Aphelocoma_californica",18.4,15.0170942953643,"AVIBASE-151C2B3F","9/25/2022",2482414,1905185,1905129,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482414&occurrence_status=present","manual",855477,13.1052419354839,1041.86835410998
4840,0.733050847,0.103390069,0.973924381,"Omnivore","LC","LT","Passeriformes","Corvidae","Perisoreus","canadensis","Canada Jay","Perisoreus canadensis","Perisoreus canadensis","","Perisoreus_canadensis",27.21,18.0936804212336,"AVIBASE-69A6E32F","9/28/2022",2482436,301213,301053,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482436&occurrence_status=present","manual",269402,1.38224637681162,1384.14428736454
4860,-0.383561644,0.054911436,0.100124831,"VertFishScav","LC","UT","Passeriformes","Corvidae","Corvus","corax","Common Raven","Corvus corax","Corvus corax","","Corvus_corax",167.168181818182,39.7706254436028,"AVIBASE-B9B272F4","9/27/2022",2482492,7484161,7479509,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482492&occurrence_status=present","manual",3235814,5.19183006535951,1592.66839995818
4870,-0.179166667,0.714131024,-0.006419753,"Omnivore","LC","UT","Passeriformes","Corvidae","Corvus","cryptoleucus","Chihuahuan Raven","Corvus cryptoleucus","Corvus cryptoleucus","","Corvus_cryptoleucus",146.72,41.6624853511148,"AVIBASE-F3B84E07","9/27/2022",2482500,101127,101122,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482500&occurrence_status=present","manual",81644,15.0796116504855,502.857494788706
4880,0.196683585,-0.442262465,0.464231422,"Omnivore","LC","LT","Passeriformes","Corvidae","Corvus","brachyrhynchos","American Crow","Corvus brachyrhynchos","Corvus brachyrhynchos","","Corvus_brachyrhynchos",106.929166666667,36.5333777844491,"AVIBASE-69544B59","9/27/2022",2482507,18286252,18285975,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482507&occurrence_status=present","manual",8212695,9.26556886227547,1425.16215912403
4881,1,-0.937519332,0.532258065,"Omnivore","LC","LT","Passeriformes","Corvidae","Corvus","brachyrhynchos / ossifragus","unid. American Crow / Fish Crow","Corvus brachyrhynchos / ossifragus","Corvus ossifragus","manual (possible sp)","Corvus_ossifragus",100.561538461538,36.3177338858978,NA,NA,NA,NA,NA,NA,NA,NA,15.1765957446809,1364.19522493644
4910,-1,1,0.868131868,"Omnivore","LC","UT","Passeriformes","Corvidae","Nucifraga","columbiana","Clark's Nutcracker","Nucifraga columbiana","Nucifraga columbiana","","Nucifraga_columbiana",61.58,32.2279139608811,"AVIBASE-D1FC2D6B","9/28/2022",2482614,217355,217279,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482614&occurrence_status=present","manual",78384,6.18091603053438,935.595437011949
4920,0.564575646,0.28005538,0.4775,"Omnivore","VU","LT","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus","Pinyon Jay","Gymnorhinus cyanocephalus","Gymnorhinus cyanocephalus","","Gymnorhinus_cyanocephalus",39.175,26.62420557264,"AVIBASE-A6905B3C","9/24/2022",5229498,73549,73529,NA,"code",71943,10.199806949807,425.732612383376
4930,-0.10025302,-0.510106994,0.459896321,"Omnivore","LC","UT","Passeriformes","Sturnidae","Sturnus","vulgaris","European Starling","Sturnus vulgaris","Sturnus vulgaris","","Sturnus_vulgaris",49.2384615384615,38.3666560884082,"AVIBASE-94A44032","10/1/2022",9809229,17977036,17950946,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9809229&occurrence_status=present","manual",7804243,10.9256302521009,1363.06734145249
4940,-0.206469822,-0.027237141,0.207390649,"Invertebrate","LC","UT","Passeriformes","Icteridae","Dolichonyx","oryzivorus","Bobolink","Dolichonyx oryzivorus","Dolichonyx oryzivorus","","Dolichonyx_oryzivorus",32.05,35.3976049674749,"AVIBASE-F845062F","9/27/2022",2484417,620005,619921,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484417&occurrence_status=present","manual",340404,13.5352112676057,966.704228167282
4950,-0.031608289,-0.330845703,0.435255186,"PlantSeed","LC","UT","Passeriformes","Icteridae","Molothrus","ater","Brown-headed Cowbird","Molothrus ater","Molothrus ater","","Molothrus_ater",33.9,32.979723790136,"AVIBASE-1E1AB415","9/28/2022",2484391,5346302,5346073,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484391&occurrence_status=present","manual",2584310,10.8744318181818,1137.21318653885
4970,0.16433121,0.773440046,-0.218026023,"Invertebrate","EN","LT","Passeriformes","Icteridae","Xanthocephalus","xanthocephalus","Yellow-headed Blackbird","Xanthocephalus xanthocephalus","Xanthocephalus xanthocephalus","","Xanthocephalus_xanthocephalus",34.2,26.9955003018383,"AVIBASE-3E2D0C9B","10/1/2022",2484195,569351,569313,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484195&occurrence_status=present","manual",418359,11.7794701986755,738.871736215854
4980,-0.117936027,-0.415735702,0.44865276,"Omnivore","LC","UT","Passeriformes","Icteridae","Agelaius","phoeniceus","Red-winged Blackbird","Agelaius phoeniceus","Agelaius phoeniceus","","Agelaius_phoeniceus",27.75,23.9936521941377,"AVIBASE-C86D078E","9/25/2022",9409198,13256991,13256690,"https://www.gbif.org/occurrence/download/0023209-220831081235567","manual",1350521,11.6534383954155,1145.95838374438
5010,-0.039168329,-0.330571827,0.643871679,"Invertebrate","NT","UT","Passeriformes","Icteridae","Sturnella","magna","Eastern Meadowlark","Sturnella magna","Sturnella magna","","Sturnella_magna",28.4,24.8017918071045,"AVIBASE-27410227","10/1/2022",2484254,1651629,1651576,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484254&occurrence_status=present","manual",801856,15.3326714801445,1602.37554830615
5011,0.132331579,0.260515713,0.370074894,"Omnivore","LC","LT","Passeriformes","Icteridae","Sturnella","neglecta","Western Meadowlark","Sturnella neglecta","Sturnella neglecta","","Sturnella_neglecta",32.5,27.7988418014734,"AVIBASE-4A5B4883","10/1/2022",9596413,1565966,1565924,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9596413&occurrence_status=present","manual",906357,11.1470198675497,890.885001031566
5040,1,0.697838346,0.574415744,"Invertebrate","LC","LT","Passeriformes","Icteridae","Icterus","parisorum","Scott's Oriole","Icterus parisorum","Icterus parisorum","","Icterus_parisorum",23.95,24.4922169066335,"AVIBASE-9EE6D524","9/24/2022",5229930,94182,94150,NA,"code",91538,14.9575221238939,545.058401920439
5060,0.063146998,-0.17931325,0.643595259,"Omnivore","LC","LT","Passeriformes","Icteridae","Icterus","spurius","Orchard Oriole","Icterus spurius","Icterus spurius","","Icterus_spurius",19.8428571428571,26.2204065317886,"AVIBASE-5E9777FB","9/28/2022",5229935,920725,920648,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229935&occurrence_status=present","manual",474553,15.55,1353.85685873062
5070,-0.064000867,-0.476382603,0.518622261,"Invertebrate","LC","UT","Passeriformes","Icteridae","Icterus","galbula","Baltimore Oriole","Icterus galbula","Icterus galbula","","Icterus_galbula",25.51,27.3552263804918,"AVIBASE-5110842F","9/28/2022",2484340,2694836,2694708,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484340&occurrence_status=present","manual",1272735,14.4232203389831,1802.6386595049
5080,-0.009009009,-0.038217307,0.075661151,"Invertebrate","LC","UT","Passeriformes","Icteridae","Icterus","bullockii","Bullock's Oriole","Icterus bullockii","Icterus bullockii","","Icterus_bullockii",25.2692307692308,26.2468346707354,"AVIBASE-7E65A952","9/28/2022",5229864,598862,598788,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229864&occurrence_status=present","manual",278044,12.8731292517007,842.002986285807
5100,0.18907414,0.155750548,0.227046055,"Invertebrate","LC","LT","Passeriformes","Icteridae","Euphagus","cyanocephalus","Brewer's Blackbird","Euphagus cyanocephalus","Euphagus cyanocephalus","","Euphagus_cyanocephalus",39.1,31.2069537286977,"AVIBASE-EA5E858A","9/27/2022",2484183,1449162,1449073,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484183&occurrence_status=present","manual",420799,11.3480263157895,994.086904179907
5110,-0.089298848,-0.515405063,0.555308001,"Omnivore","NT","UT","Passeriformes","Icteridae","Quiscalus","quiscula","Common Grackle","Quiscalus quiscula","Quiscalus quiscula","","Quiscalus_quiscula",34.2666666666667,25.8534298602125,"AVIBASE-8BBB3255","9/30/2022",2484155,7874720,7874606,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484155&occurrence_status=present","manual",3591579,10.0016666666667,1055.58460571976
5120,-1,0.717441829,-0.316017316,"Invertebrate","LC","UT","Passeriformes","Icteridae","Quiscalus","mexicanus","Great-tailed Grackle","Quiscalus mexicanus","Quiscalus mexicanus","","Quiscalus_mexicanus",46.05,26.7914835567275,"AVIBASE-5CBA3391","9/30/2022",9476062,2305754,2305625,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9476062&occurrence_status=present","manual",1051008,15.2939446366782,1813.91245217515
5130,-1,0.690402018,-0.686109945,"Omnivore","LC","UT","Passeriformes","Icteridae","Quiscalus","major","Boat-tailed Grackle","Quiscalus major","Quiscalus major","","Quiscalus_major",47.625,29.6993500965578,"AVIBASE-EF47E15D","9/30/2022",2484133,972092,972043,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484133&occurrence_status=present","manual",313890,17.7388111888112,1432.25566373049
5170,-0.142405063,0.007349729,-0.563143631,"PlantSeed","LC","UT","Passeriformes","Fringillidae","Haemorhous","purpureus","Purple Finch","Haemorhous purpureus","Carpodacus purpureus","","Carpodacus_purpureus",22.7571428571429,28.0991394697451,"AVIBASE-B4EE123D","9/28/2022",7804446,1925290,1925180,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7804446&occurrence_status=present","manual",863738,10.1804794520548,1287.64825910931
5180,1,0.231381467,0.476135041,"PlantSeed","LC","LT","Passeriformes","Fringillidae","Haemorhous","cassinii","Cassin's Finch","Haemorhous cassinii","Carpodacus cassinii","","Carpodacus_cassinii",25.55,28.774085888536,"AVIBASE-AC1E519F","9/28/2022",8255548,295378,295144,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8255548&occurrence_status=present","manual",230989,9.71006493506496,946.007847983933
